#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.36256      1.4054  0.00321352
         169     1.35885     1.40512  0.00320629
         170     1.35528     1.40483  0.00320081
         171     1.35189     1.40452  0.00319703
         172     1.34871      1.4042  0.00319486
         173     1.34579     1.40386  0.00319418
         174     1.34315     1.40351  0.00319482
         175     1.34084     1.40315  0.00319658
         176     1.33888     1.40279   0.0031992
         177     1.33732     1.40242  0.00320243
         178     1.33618     1.40204  0.00320599
         179     1.33548     1.40167  0.00320957
         180     1.33524      1.4013  0.00321289
         181     1.33548     1.40094  0.00321565
         182      1.3362     1.40058   0.0032176
         183      1.3374     1.40024  0.00321849
         184     1.33907     1.39991  0.00321812
         185     1.34121     1.39959  0.00321633
         186     1.34378     1.39929    0.003213
         187     1.34677     1.39901  0.00320807
         188     1.35013     1.39875  0.00320152
         189     1.35384     1.39851  0.00319339
         190     1.35785      1.3983  0.00318374
         191      1.3621     1.39811  0.00317271
         192     1.36657     1.39794  0.00316043
         193     1.37119      1.3978   0.0031471
         194     1.37591     1.39769   0.0031329
         195     1.38069      1.3976  0.00311804
         196     1.38548     1.39754  0.00310275
         197     1.39023     1.39751  0.00308722
         198     1.39489     1.39749  0.00307166
         199     1.39942      1.3975  0.00305624
         200     1.40378     1.39753  0.00304112
         201     1.40793     1.39758  0.00302643
         202     1.41184     1.39766  0.00301227
         203     1.41548     1.39774  0.00299871
         204     1.41883     1.39785  0.00298579
         205     1.42185     1.39796  0.00297352
         206     1.42453     1.39809  0.00296188
         207     1.42686     1.39823  0.00295083
         208     1.42882     1.39838   0.0029403
         209     1.43042     1.39853  0.00293023
         210     1.43165     1.39869  0.00292052
         211     1.43252     1.39885  0.00291108
         212     1.43303     1.39901  0.00290181
         213     1.43319     1.39917  0.00289262
         214     1.43302     1.39933  0.00288342
         215     1.43254     1.39948  0.00287414
         216     1.43177     1.39963  0.00286472
         217     1.43073     1.39978   0.0028551
         218     1.42946     1.39991  0.00284525
         219     1.42796     1.40004  0.00283514
         220     1.42629     1.40016  0.00282476
         221     1.42446     1.40027  0.00281412
         222     1.42251     1.40037  0.00280323
         223     1.42046     1.40046   0.0027921
         224     1.41836     1.40054  0.00278078
         225     1.41623     1.40061   0.0027693
         226      1.4141     1.40067  0.00275769
         227       1.412     1.40072  0.00274599
         228     1.40997     1.40076  0.00273424
         229     1.40803     1.40079  0.00272249
         230     1.40621     1.40082  0.00271075
         231     1.40455     1.40083  0.00269907
         232     1.40309     1.40084  0.00268745
         233     1.40184     1.40085  0.00267592
         234     1.40083     1.40085  0.00266448
         235     1.40011     1.40084  0.00265315
         236     1.39969     1.40084  0.00264191
         237      1.3996     1.40083  0.00263077
         238     1.39985     1.40083  0.00261972
         239     1.40048     1.40083  0.00260876
         240     1.40148     1.40083  0.00259789
         241     1.40287     1.40084  0.00258712
         242     1.40464     1.40085  0.00257648
         243     1.40681     1.40088  0.00256599
         244     1.40935     1.40091  0.00255571
         245     1.41225     1.40096   0.0025457
         246      1.4155     1.40102  0.00253604
         247     1.41908     1.40109  0.00252682
         248     1.42295     1.40118  0.00251817
         249     1.42709     1.40128  0.00251021
         250     1.43146      1.4014  0.00250307
         251     1.43603     1.40154  0.00249689
         252     1.44077      1.4017  0.00249183
         253     1.44563     1.40187  0.00248803
         254     1.45059     1.40206  0.00248561
         255     1.45561     1.40227  0.00248472
         256     1.46066      1.4025  0.00248546
         257      1.4657     1.40275  0.00248792
         258     1.47072     1.40301  0.00249219
         259     1.47567     1.40329  0.00249831
         260     1.48056     1.40359  0.00250631
         261     1.48534      1.4039  0.00251621
         262     1.49001     1.40423  0.00252797
         263     1.49455     1.40457  0.00254158
         264     1.49895     1.40493  0.00255697
         265     1.50319      1.4053  0.00257406
         266     1.50725     1.40569  0.00259276
         267     1.51114     1.40608  0.00261296
         268     1.51482     1.40649  0.00263452
