#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10584     1.10584           0
           2     1.09373     1.09979  0.00428252
           3     1.09417     1.09791   0.0032384
           4     1.10669     1.10011  0.00308408
           5     1.11388     1.10286  0.00348691
           6     1.09534     1.10161    0.003123
           7     1.09068     1.10005  0.00304251
           8       1.104     1.10054  0.00270206
           9     1.10067     1.10056  0.00240187
          10     1.10034     1.10053  0.00216178
          11     1.09624     1.10014  0.00200013
          12     1.10444      1.1005  0.00186523
          13     1.10248     1.10066  0.00172796
          14     1.09862     1.10051  0.00161066
          15     1.11074     1.10119  0.00164136
          16     1.11234     1.10189  0.00168024
          17     1.10585     1.10212  0.00159746
          18     1.11236     1.10269  0.00160688
          19     1.10071     1.10259  0.00152568
          20     1.10468     1.10269    0.001453
          21     1.10737     1.10291  0.00140081
          22     1.08692     1.10219  0.00151411
          23     1.10813     1.10245  0.00147014
          24     1.11197     1.10284  0.00146144
          25     1.09713     1.10261   0.0014207
          26     1.11118     1.10294  0.00140371
          27     1.10206     1.10291   0.0013521
          28     1.10458     1.10297  0.00130511
          29     1.09846     1.10281  0.00126933
          30     1.10528      1.1029  0.00122966
          31      1.1068     1.10302  0.00119642
          32     1.10043     1.10294  0.00116177
          33     1.09681     1.10276  0.00114133
          34     1.10136     1.10271  0.00110851
          35     1.10283     1.10272  0.00107684
          36     1.10544     1.10279  0.00104959
          37     1.10128     1.10275  0.00102202
          38     1.09512     1.10255  0.00101466
          39     1.11083     1.10276  0.00101058
          40     1.11286     1.10302  0.00101633
          41     1.11151     1.10322  0.00101245
          42     1.09199     1.10296  0.00102305
          43     1.10485       1.103   0.0010002
          44     1.10286       1.103 0.000977475
          45     1.10441     1.10303 0.000956258
          46     1.10408     1.10305 0.000935742
          47     1.10646     1.10312 0.000918632
          48     1.10228     1.10311 0.000899661
          49     1.10287      1.1031 0.000881314
          50     1.09818       1.103 0.000869161
          51      1.0937     1.10282 0.000871051
          52     1.09864     1.10274 0.000857997
          53     1.09885     1.10267 0.000844944
          54     1.08912     1.10242 0.000865732
          55     1.09737     1.10232 0.000854846
          56     1.09756     1.10224 0.000843808
          57     1.09191     1.10206 0.000848223
          58     1.10467      1.1021 0.000834789
          59     1.10244     1.10211  0.00082066
          60     1.08506     1.10182  0.00085474
          61      1.0979     1.10176 0.000843147
          62     1.11404     1.10196 0.000852497
          63     1.10186     1.10196 0.000838966
          64     1.10085     1.10194 0.000826034
          65     1.11354     1.10212 0.000832392
          66     1.10178     1.10211 0.000819796
          67     1.11155     1.10225 0.000819558
          68     1.08962     1.10207 0.000828293
          69      1.1109      1.1022 0.000826116
          70     1.10282      1.1022 0.000814362
          71     1.10669     1.10227 0.000805339
          72     1.10346     1.10228 0.000794323
          73     1.10272     1.10229 0.000783465
          74     1.10492     1.10233 0.000773682
          75     1.10109     1.10231 0.000763541
          76     1.10616     1.10236 0.000755177
          77     1.11929     1.10258 0.000776719
          78     1.12069     1.10281 0.000800694
          79      1.1067     1.10286 0.000792073
          80     1.09677     1.10279 0.000785819
          81       1.102     1.10278 0.000776177
          82     1.11451     1.10292 0.000779794
          83     1.09687     1.10285 0.000773795
          84     1.09591     1.10276 0.000768974
          85      1.0989     1.10272 0.000761272
          86     1.10146      1.1027  0.00075256
          87     1.10698     1.10275 0.000745515
          88     1.09691     1.10269 0.000739993
          89     1.10991     1.10277 0.000736113
          90     1.11969     1.10296 0.000751563
          91     1.10072     1.10293 0.000743705
          92     1.10102     1.10291 0.000735911
          93      1.1209      1.1031 0.000752994
          94     1.10852     1.10316 0.000747187
          95     1.09899     1.10312 0.000740612
          96     1.09503     1.10303 0.000737678
          97     1.11673     1.10317 0.000743474
          98     1.10235     1.10317 0.000735935
          99     1.10131     1.10315 0.000728739
         100     1.11117     1.10323  0.00072585
