#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.94012     2.94012           0
           2     2.93115     2.93564   0.0031715
           3     2.92241     2.93123  0.00417471
           4      2.9139      2.9269  0.00488627
           5      2.9054      2.9226  0.00548353
           6     2.89814     2.91852  0.00589343
           7     2.88999     2.91444   0.0063054
           8     2.88174     2.91036  0.00671285
           9     2.87394     2.90631  0.00708215
          10     2.86595     2.90227  0.00743566
          11     2.85857      2.8983  0.00774891
          12     2.85213     2.89445  0.00800168
          13     2.84551     2.89069  0.00822437
          14      2.8388     2.88698  0.00843074
          15      2.8345     2.88348  0.00856402
          16     2.83074     2.88019  0.00863989
          17     2.82687     2.87705  0.00868215
          18     2.82343     2.87407  0.00869593
          19     2.82187     2.87132  0.00866136
          20     2.82151     2.86883  0.00857896
          21     2.82137     2.86657  0.00846288
          22     2.82289     2.86459  0.00830784
          23     2.82532     2.86288  0.00812019
          24     2.82787     2.86142  0.00791179
          25     2.83218     2.86025  0.00768131
          26     2.83576     2.85931  0.00744342
          27     2.84069     2.85862  0.00719961
          28     2.84544     2.85815  0.00695786
          29     2.85086      2.8579  0.00672247
          30     2.85708     2.85787  0.00649844
          31     2.86377     2.85806  0.00629161
          32     2.86961     2.85842  0.00610534
          33     2.87643     2.85897  0.00594466
          34     2.88292     2.85967  0.00581142
          35     2.88901     2.86051  0.00570551
          36     2.89581     2.86149  0.00563067
          37     2.90134     2.86257  0.00558056
          38     2.90651     2.86372  0.00555222
          39       2.912     2.86496  0.00554611
          40     2.91729     2.86627  0.00555962
          41     2.92191     2.86763  0.00558719
          42     2.92586     2.86901  0.00562356
          43     2.92867      2.8704  0.00566135
          44      2.9316     2.87179  0.00570098
          45     2.93395     2.87317  0.00573921
          46     2.93652     2.87455  0.00577732
          47     2.93914     2.87593  0.00581555
          48     2.94141     2.87729  0.00585221
          49     2.94316     2.87863  0.00588516
          50     2.94571     2.87998  0.00591837
          51     2.94794     2.88131  0.00595048
          52     2.95117     2.88265  0.00598579
          53     2.95356     2.88399   0.0060205
          54     2.95689     2.88534  0.00605848
          55     2.96079     2.88671  0.00610167
          56     2.96631     2.88813  0.00615604
          57     2.97257     2.88961  0.00622373
          58     2.97798     2.89114  0.00630013
          59     2.98525     2.89273  0.00639209
          60     2.99325     2.89441  0.00650137
          61     3.00275     2.89618  0.00663295
          62     3.01332     2.89807  0.00678971
          63     3.02501     2.90009   0.0069745
          64      3.0376     2.90224  0.00718885
          65     3.05134     2.90453  0.00743521
          66      3.0655     2.90697  0.00771221
          67     3.08178     2.90958   0.0080263
          68     3.09917     2.91237  0.00837855
          69     3.11741     2.91534  0.00876827
          70     3.13692      2.9185  0.00919668
          71     3.15742     2.92187  0.00966317
          72     3.17833     2.92543   0.0101643
          73     3.20031      2.9292   0.0106998
          74     3.22275     2.93316   0.0112666
          75     3.24629     2.93734   0.0118648
          76     3.26909      2.9417   0.0124859
          77     3.29273     2.94626   0.0131296
          78     3.31633     2.95101   0.0137919
          79     3.34049     2.95594   0.0144717
          80     3.36577     2.96106   0.0151705
          81     3.38938     2.96635    0.015878
          82     3.41238     2.97179   0.0165899
          83     3.43534     2.97737   0.0173046
          84     3.45789     2.98309   0.0180193
          85     3.47989     2.98894   0.0187313
          86       3.501     2.99489   0.0194368
          87     3.52038     3.00093     0.02013
          88     3.53866     3.00704    0.020808
          89     3.55745     3.01323   0.0214736
          90     3.57307     3.01945   0.0221176
