#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.17322    -5.17322           0
           2    -5.17509    -5.17415 0.000660678
           3    -5.17687    -5.17506 0.000861751
           4    -5.17858    -5.17594 0.000999672
           5    -5.18036    -5.17682  0.00112464
           6    -5.18145    -5.17759  0.00117172
           7    -5.18319    -5.17839  0.00124742
           8    -5.18511    -5.17923  0.00134485
           9     -5.1869    -5.18008  0.00143996
          10    -5.18897    -5.18097  0.00154584
          11    -5.19084    -5.18187  0.00164529
          12    -5.19235    -5.18274  0.00172437
          13    -5.19421    -5.18362  0.00180317
          14    -5.19639    -5.18454  0.00189094
          15    -5.19736    -5.18539  0.00194852
          16    -5.19829     -5.1862  0.00198662
          17    -5.19963    -5.18699  0.00202074
          18    -5.20104    -5.18777  0.00205375
          19    -5.20161     -5.1885  0.00207083
          20    -5.20178    -5.18916  0.00207112
          21    -5.20216    -5.18978  0.00206297
          22    -5.20184    -5.19033  0.00204078
          23    -5.20129     -5.1908  0.00200692
          24    -5.20096    -5.19123  0.00196742
          25    -5.19983    -5.19157  0.00191854
          26    -5.19941    -5.19187  0.00186828
          27    -5.19838    -5.19211  0.00181457
          28    -5.19768    -5.19231  0.00176061
          29    -5.19672    -5.19247  0.00170645
          30     -5.1954    -5.19256  0.00165237
          31     -5.1939    -5.19261  0.00159963
          32      -5.193    -5.19262  0.00154969
          33    -5.19153    -5.19259  0.00150308
          34    -5.19027    -5.19252  0.00146042
          35    -5.18925    -5.19242  0.00142168
          36    -5.18774    -5.19229  0.00138813
          37    -5.18696    -5.19215  0.00135807
          38    -5.18634      -5.192  0.00133091
          39    -5.18542    -5.19183  0.00130741
          40    -5.18453    -5.19165   0.0012874
          41    -5.18396    -5.19146  0.00126959
          42     -5.1837    -5.19127  0.00125271
          43    -5.18407    -5.19111  0.00123473
          44    -5.18428    -5.19095  0.00121638
          45    -5.18478    -5.19081  0.00119706
          46    -5.18509    -5.19069  0.00117749
          47    -5.18534    -5.19058  0.00115793
          48     -5.1858    -5.19048  0.00113807
          49    -5.18659     -5.1904   0.0011176
          50    -5.18694    -5.19033  0.00109738
          51    -5.18755    -5.19027  0.00107721
          52    -5.18765    -5.19022  0.00105768
          53     -5.1884    -5.19019  0.00103828
          54    -5.18872    -5.19016  0.00101941
          55    -5.18888    -5.19014  0.00100114
          56    -5.18824     -5.1901 0.000983834
          57    -5.18738    -5.19006 0.000967733
          58    -5.18733    -5.19001 0.000952192
          59    -5.18639    -5.18995 0.000938025
          60    -5.18531    -5.18987 0.000925568
          61    -5.18362    -5.18977 0.000916058
          62    -5.18158    -5.18964 0.000910744
          63     -5.1792    -5.18947 0.000911219
          64    -5.17662    -5.18927 0.000918852
          65    -5.17366    -5.18903 0.000935566
          66     -5.1708    -5.18875 0.000961317
          67    -5.16696    -5.18843  0.00100049
          68    -5.16276    -5.18805  0.00105456
          69    -5.15837    -5.18762  0.00112359
          70    -5.15349    -5.18713  0.00120871
          71    -5.14829    -5.18659  0.00130967
          72    -5.14309    -5.18598  0.00142402
          73    -5.13746    -5.18532  0.00155189
          74    -5.13174    -5.18459  0.00169138
          75    -5.12552    -5.18381  0.00184314
          76    -5.11987    -5.18296  0.00200168
          77     -5.1138    -5.18207  0.00216788
          78    -5.10779    -5.18111  0.00233992
          79    -5.10143     -5.1801  0.00251833
          80    -5.09432    -5.17903  0.00270555
          81    -5.08816    -5.17791  0.00289543
          82    -5.08224    -5.17674  0.00308623
          83    -5.07616    -5.17553  0.00327835
          84    -5.07011    -5.17428  0.00347126
          85    -5.06412    -5.17298  0.00366436
          86    -5.05839    -5.17165  0.00385642
          87     -5.0534    -5.17029  0.00404454
          88    -5.04872    -5.16891  0.00422791
          89    -5.04333     -5.1675  0.00440956
          90    -5.03951    -5.16607  0.00458413
          91    -5.03516    -5.16464  0.00475414
          92    -5.03179    -5.16319  0.00491686
          93    -5.02851    -5.16174  0.00507278
          94    -5.02547    -5.16029  0.00522187
          95    -5.02311    -5.15885  0.00536284
          96    -5.02115    -5.15742  0.00549546
          97    -5.01986      -5.156  0.00561879
          98    -5.01865     -5.1546   0.0057336
          99    -5.01764    -5.15321  0.00584019
         100    -5.01729    -5.15185  0.00593785
         101    -5.01743    -5.15052  0.00602637
         102    -5.01761    -5.14922  0.00610654
         103    -5.01811    -5.14795  0.00617851
         104    -5.01937    -5.14671  0.00624156
         105     -5.0208    -5.14551  0.00629626
         106    -5.02236    -5.14435  0.00634314
         107    -5.02406    -5.14323   0.0063827
         108    -5.02604    -5.14214  0.00641517
         109    -5.02784    -5.14109  0.00644145
         110    -5.02974    -5.14008  0.00646195
         111    -5.03204    -5.13911  0.00647661
         112    -5.03443    -5.13817  0.00648586
         113    -5.03781    -5.13728  0.00648899
         114     -5.0417    -5.13644  0.00648601
         115     -5.0449    -5.13565  0.00647828
         116    -5.04874     -5.1349  0.00646561
         117    -5.05277     -5.1342  0.00644834
         118    -5.05727    -5.13355  0.00642656
         119    -5.06194    -5.13294  0.00640067
         120    -5.06675    -5.13239  0.00637106
         121    -5.07124    -5.13189  0.00633842
         122    -5.07615    -5.13143   0.0063029
         123    -5.08148    -5.13102  0.00626473
         124     -5.0866    -5.13067  0.00622444
         125    -5.09164    -5.13035  0.00618247
         126    -5.09718    -5.13009  0.00613901
         127    -5.10139    -5.12986  0.00609483
         128     -5.1062    -5.12968  0.00605002
         129    -5.11114    -5.12954  0.00600483
         130    -5.11632    -5.12943   0.0059595
         131    -5.12124    -5.12937  0.00591433
         132    -5.12649    -5.12935  0.00586957
         133    -5.13065    -5.12936  0.00582544
         134    -5.13521     -5.1294  0.00578213
         135    -5.13936    -5.12948  0.00573977
         136    -5.14337    -5.12958  0.00569848
         137    -5.14704    -5.12971  0.00565831
         138    -5.15006    -5.12985  0.00561923
         139    -5.15328    -5.13002  0.00558133
         140    -5.15547     -5.1302  0.00554442
         141    -5.15722     -5.1304  0.00550841
         142    -5.15851    -5.13059  0.00547318
         143    -5.15931    -5.13079  0.00543858
         144    -5.16007      -5.131  0.00540461
         145    -5.15987     -5.1312  0.00537101
         146    -5.15949    -5.13139  0.00533771
         147    -5.15846    -5.13157  0.00530458
         148     -5.1568    -5.13175  0.00527147
         149    -5.15481     -5.1319  0.00523837
         150    -5.15267    -5.13204  0.00520528
         151    -5.14995    -5.13216  0.00517216
         152    -5.14681    -5.13225  0.00513903
         153    -5.14298    -5.13232  0.00510592
         154    -5.13864    -5.13236  0.00507293
         155    -5.13396    -5.13237  0.00504021
         156    -5.12928    -5.13236  0.00500794
         157    -5.12448     -5.1323  0.00497629
         158    -5.11913    -5.13222   0.0049455
         159    -5.11417    -5.13211  0.00491569
         160    -5.10844    -5.13196   0.0048872
         161    -5.10256    -5.13178  0.00486025
         162    -5.09688    -5.13156  0.00483502
         163    -5.09039    -5.13131  0.00481195
         164    -5.08477    -5.13103  0.00479097
         165    -5.07887    -5.13071  0.00477235
         166    -5.07334    -5.13036   0.0047561
         167    -5.06731    -5.12999  0.00474258
         168    -5.06159    -5.12958  0.00473179
         169    -5.05639    -5.12915  0.00472357
         170    -5.05069    -5.12868  0.00471828
         171    -5.04562     -5.1282  0.00471562
         172    -5.04108    -5.12769  0.00471533
         173    -5.03743    -5.12717  0.00471685
         174    -5.03426    -5.12664  0.00471988
         175    -5.03102    -5.12609  0.00472443
         176    -5.02822    -5.12553   0.0047302
         177    -5.02696    -5.12498  0.00473614
         178    -5.02545    -5.12442  0.00474242
         179     -5.0251    -5.12386  0.00474828
         180    -5.02575    -5.12332  0.00475308
         181    -5.02698    -5.12279  0.00475653
         182    -5.02863    -5.12227  0.00475844
         183     -5.0313    -5.12177  0.00475834
         184    -5.03495     -5.1213  0.00475581
         185    -5.03897    -5.12085  0.00475088
         186    -5.04345    -5.12044  0.00474353
         187    -5.04805    -5.12005  0.00473393
         188    -5.05361     -5.1197  0.00472192
         189    -5.05978    -5.11938  0.00470757
         190    -5.06602     -5.1191  0.00469117
         191    -5.07226    -5.11885  0.00467301
         192     -5.0795    -5.11865  0.00465317
         193    -5.08644    -5.11848  0.00463205
         194    -5.09377    -5.11836  0.00460992
         195     -5.1005    -5.11826  0.00458719
         196    -5.10748    -5.11821  0.00456412
         197    -5.11417    -5.11819    0.004541
         198    -5.12157    -5.11821  0.00451809
         199    -5.12812    -5.11826  0.00449566
         200    -5.13465    -5.11834  0.00447393
         201    -5.14052    -5.11845  0.00445304
         202    -5.14643    -5.11859  0.00443315
         203    -5.15145    -5.11875  0.00441426
         204    -5.15598    -5.11893  0.00439639
         205    -5.16001    -5.11913  0.00437951
         206     -5.1638    -5.11935  0.00436362
         207    -5.16705    -5.11958  0.00434862
         208    -5.16915    -5.11982  0.00433424
         209    -5.17054    -5.12006  0.00432029
         210    -5.17154     -5.1203  0.00430667
         211     -5.1723    -5.12055   0.0042933
         212    -5.17254     -5.1208  0.00428005
         213    -5.17244    -5.12104  0.00426682
         214    -5.17187    -5.12128  0.00425349
         215    -5.17056    -5.12151  0.00423987
         216      -5.169    -5.12173  0.00422594
         217    -5.16768    -5.12194  0.00421177
         218     -5.1656    -5.12214  0.00419721
         219    -5.16293    -5.12232  0.00418218
         220    -5.16018     -5.1225   0.0041667
         221    -5.15785    -5.12266  0.00415092
         222    -5.15494     -5.1228  0.00413477
         223    -5.15193    -5.12293  0.00411829
         224    -5.14918    -5.12305  0.00410157
