#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.9         1.9           0
           2     1.89993     1.89997 2.41778e-05
           3     1.89973     1.89989 6.70444e-05
           4     1.89939     1.89976 0.000119493
           5     1.89891     1.89959 0.000180121
           6     1.89829     1.89937 0.000248058
           7     1.89754     1.89911 0.000322728
           8     1.89664      1.8988 0.000403742
           9     1.89561     1.89845 0.000490832
          10     1.89442     1.89805 0.000583819
          11     1.89309      1.8976 0.000682593
          12     1.89161      1.8971 0.000787097
          13     1.88997     1.89655 0.000897318
          14     1.88817     1.89595  0.00101325
          15     1.88621      1.8953  0.00113491
          16     1.88407      1.8946  0.00126239
          17     1.88176     1.89384  0.00139576
          18     1.87927     1.89303   0.0015351
          19     1.87659     1.89217  0.00168056
          20     1.87372     1.89125  0.00183233
          21     1.87064     1.89027  0.00199061
          22     1.86734     1.88922  0.00215562
          23     1.86383     1.88812  0.00232757
          24     1.86008     1.88695  0.00250668
          25     1.85609     1.88572   0.0026932
          26     1.85186     1.88441  0.00288737
          27     1.84736     1.88304  0.00308947
          28     1.84258      1.8816  0.00329977
          29     1.83753     1.88008  0.00351857
          30     1.83217     1.87848  0.00374615
          31     1.82651      1.8768  0.00398278
          32     1.82053     1.87505  0.00422876
          33     1.81422      1.8732   0.0044844
          34     1.80756     1.87127  0.00475001
          35     1.80053     1.86925   0.0050259
          36     1.79314     1.86714  0.00531241
          37     1.78535     1.86493  0.00560985
          38     1.77717     1.86262  0.00591851
          39     1.76857     1.86021  0.00623866
          40     1.75956     1.85769  0.00657056
          41      1.7501     1.85507  0.00691446
          42     1.74021     1.85233  0.00727056
          43     1.72985     1.84948  0.00763907
          44     1.71903     1.84652  0.00802016
          45     1.70775     1.84343  0.00841395
          46     1.69598     1.84023  0.00882053
          47     1.68374      1.8369  0.00923994
          48     1.67101     1.83344  0.00967217
          49     1.65781     1.82986   0.0101172
          50     1.64413     1.82614   0.0105748
          51     1.62998      1.8223   0.0110448
          52     1.61537     1.81832    0.011527
          53     1.60032      1.8142    0.012021
          54     1.58484     1.80996   0.0125264
          55     1.56894     1.80557   0.0130426
          56     1.55266     1.80106   0.0135691
          57     1.53601     1.79641   0.0141053
          58     1.51903     1.79163   0.0146504
          59     1.50175     1.78671   0.0152036
          60      1.4842     1.78167   0.0157641
          61     1.46642      1.7765   0.0163308
          62     1.44844     1.77121   0.0169029
          63     1.43031      1.7658   0.0174793
          64     1.41206     1.76027   0.0180589
          65     1.39374     1.75463   0.0186407
          66     1.37538     1.74889   0.0192235
          67     1.35704     1.74304   0.0198063
          68     1.33874     1.73709   0.0203879
          69     1.32053     1.73106   0.0209673
          70     1.30244     1.72493   0.0215433
          71     1.28452     1.71873   0.0221148
          72      1.2668     1.71245    0.022681
          73     1.24932     1.70611   0.0232407
          74     1.23211      1.6997    0.023793
          75      1.2152     1.69324   0.0243369
          76     1.19862     1.68674   0.0248717
