#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.92        1.92           0
           2     1.91993     1.91997  2.4432e-05
           3     1.91972     1.91988 6.77494e-05
           4     1.91938     1.91976  0.00012075
           5      1.9189     1.91959 0.000182018
           6     1.91827     1.91937 0.000250674
           7     1.91751      1.9191  0.00032614
           8     1.91661     1.91879 0.000408022
           9     1.91556     1.91843 0.000496051
          10     1.91436     1.91802 0.000590049
          11     1.91302     1.91757 0.000689907
          12     1.91152     1.91707 0.000795569
          13     1.90986     1.91651 0.000907026
          14     1.90804     1.91591  0.00102427
          15     1.90606     1.91525  0.00114733
          16      1.9039     1.91454  0.00127629
          17     1.90156     1.91378  0.00141123
          18     1.89904     1.91296  0.00155225
          19     1.89633     1.91208  0.00169948
          20     1.89342     1.91115  0.00185312
          21      1.8903     1.91016  0.00201338
          22     1.88696      1.9091  0.00218047
          23      1.8834     1.90799  0.00235463
          24     1.87961      1.9068  0.00253609
          25     1.87557     1.90555  0.00272509
          26     1.87127     1.90423  0.00292189
          27     1.86671     1.90285  0.00312677
          28     1.86187     1.90138     0.00334
          29     1.85674     1.89984   0.0035619
          30     1.85131     1.89823  0.00379275
          31     1.84557     1.89653  0.00403282
          32      1.8395     1.89474  0.00428242
          33      1.8331     1.89288  0.00454187
          34     1.82634     1.89092  0.00481149
          35     1.81921     1.88887  0.00509163
          36      1.8117     1.88673   0.0053826
          37     1.80379     1.88449  0.00568473
          38     1.79548     1.88214  0.00599831
          39     1.78674      1.8797  0.00632363
          40     1.77758     1.87714  0.00666095
          41     1.76797     1.87448  0.00701052
          42     1.75791     1.87171  0.00737255
          43     1.74739     1.86881  0.00774725
          44     1.73639     1.86581  0.00813479
          45     1.72491     1.86267  0.00853528
          46     1.71295     1.85942  0.00894884
          47      1.7005     1.85604  0.00937548
          48     1.68756     1.85253  0.00981519
          49     1.67414     1.84889   0.0102679
          50     1.66023     1.84511   0.0107335
          51     1.64584     1.84121   0.0112116
          52     1.63099     1.83716   0.0117022
          53     1.61569     1.83299   0.0122047
          54     1.59996     1.82867   0.0127187
          55     1.58381     1.82422   0.0132438
          56     1.56726     1.81963   0.0137792
          57     1.55035     1.81491   0.0143244
          58     1.53311     1.81005   0.0148786
          59     1.51557     1.80506   0.0154409
          60     1.49775     1.79993   0.0160105
          61     1.47971     1.79468   0.0165863
          62     1.46148     1.78931   0.0171674
          63     1.44309     1.78381   0.0177528
          64      1.4246      1.7782   0.0183412
          65     1.40603     1.77248   0.0189317
          66     1.38744     1.76664    0.019523
          67     1.36887     1.76071   0.0201141
          68     1.35035     1.75467   0.0207037
          69     1.33193     1.74854   0.0212909
          70     1.31365     1.74233   0.0218744
          71     1.29553     1.73604   0.0224533
          72     1.27763     1.72967   0.0230264
          73     1.25998     1.72324   0.0235928
          74     1.24261     1.71674   0.0241514
          75     1.22556     1.71019   0.0247014
          76     1.20885      1.7036   0.0252419
          77     1.19252     1.69696    0.025772
          78     1.17661     1.69029   0.0262908
          79     1.16113     1.68359   0.0267977
          80     1.14613     1.67687   0.0272919
          81     1.13163     1.67014   0.0277726
          82     1.11766      1.6634   0.0282394
          83     1.10426     1.65667   0.0286914
          84     1.09143     1.64994   0.0291283
          85     1.07922     1.64322   0.0295493
          86     1.06765     1.63653    0.029954
          87     1.05674     1.62987    0.030342
          88     1.04651     1.62324   0.0307129
          89     1.03698     1.61665   0.0310661
          90     1.02818     1.61011   0.0314015
          91      1.0201     1.60363   0.0317187
          92     1.01278     1.59721   0.0320175
          93     1.00621     1.59085   0.0322978
          94     1.00039     1.58457   0.0325593
          95    0.995325     1.57837    0.032802
          96    0.991007     1.57225    0.033026
          97     0.98742     1.56622   0.0332313
          98    0.984545     1.56028   0.0334181
          99     0.98236     1.55445   0.0335865
         100    0.980835     1.54871   0.0337369
         101    0.979935     1.54308   0.0338696
         102     0.97962     1.53755   0.0339851
         103    0.979847     1.53214   0.0340837
         104     0.98057     1.52684   0.0341662
         105    0.981739     1.52164   0.0342329
         106    0.983305     1.51657   0.0342846
         107    0.985215      1.5116   0.0343219
         108     0.98742     1.50675   0.0343456
         109    0.989866       1.502   0.0343563
         110    0.992505     1.49737   0.0343548
         111     0.99529     1.49285   0.0343418
         112    0.998176     1.48843    0.034318
         113     1.00112     1.48412   0.0342842
         114     1.00409     1.47991    0.034241
         115     1.00705      1.4758   0.0341893
         116     1.00997     1.47178   0.0341296
         117     1.01283     1.46786   0.0340625
         118      1.0156     1.46403   0.0339888
         119     1.01828     1.46028    0.033909
         120     1.02083     1.45662   0.0338236
         121     1.02327     1.45304   0.0337331
         122     1.02557     1.44953   0.0336381
         123     1.02774      1.4461   0.0335389
         124     1.02978     1.44275   0.0334361
         125     1.03169     1.43946   0.0333299
         126     1.03347     1.43624   0.0332208
         127     1.03512     1.43308    0.033109
         128     1.03666     1.42998   0.0329949
         129      1.0381     1.42694   0.0328786
         130     1.03944     1.42396   0.0327606
         131     1.04068     1.42104   0.0326409
         132     1.04185     1.41816   0.0325198
         133     1.04295     1.41534   0.0323974
         134     1.04399     1.41257   0.0322739
         135     1.04498     1.40985   0.0321495
         136     1.04593     1.40717   0.0320243
         137     1.04684     1.40454   0.0318984
         138     1.04772     1.40196   0.0317718
         139     1.04857     1.39941   0.0316448
         140      1.0494     1.39691   0.0315174
         141     1.05021     1.39446   0.0313896
         142     1.05101     1.39204   0.0312616
         143     1.05178     1.38966   0.0311334
         144     1.05254     1.38732   0.0310051
         145     1.05328     1.38501   0.0308767
         146       1.054     1.38275   0.0307484
         147      1.0547     1.38051   0.0306201
         148     1.05538     1.37832   0.0304919
         149     1.05602     1.37615   0.0303639
         150     1.05664     1.37402   0.0302361
         151     1.05723     1.37193   0.0301085
         152     1.05779     1.36986   0.0299813
         153     1.05832     1.36782   0.0298544
         154     1.05882     1.36582   0.0297279
         155     1.05929     1.36384   0.0296018
         156     1.05973     1.36189   0.0294762
         157     1.06015     1.35997    0.029351
         158     1.06055     1.35807   0.0292264
         159     1.06093      1.3562   0.0291022
         160     1.06132     1.35436   0.0289787
         161      1.0617     1.35254   0.0288556
         162      1.0621     1.35075   0.0287331
         163     1.06252     1.34898   0.0286112
         164     1.06297     1.34724   0.0284899
         165     1.06344     1.34552   0.0283691
         166     1.06396     1.34382   0.0282488
         167     1.06452     1.34215   0.0281291
         168     1.06513      1.3405     0.02801
         169     1.06578     1.33887   0.0278914
         170     1.06648     1.33727   0.0277733
         171     1.06722     1.33569   0.0276557
         172     1.06799     1.33414   0.0275387
         173     1.06879      1.3326   0.0274222
         174      1.0696     1.33109   0.0273062
         175     1.07042      1.3296   0.0271908
         176     1.07122     1.32813   0.0270759
         177       1.072     1.32669   0.0269616
         178     1.07273     1.32526   0.0268478
         179     1.07341     1.32385   0.0267347
         180     1.07401     1.32247   0.0266222
         181     1.07453      1.3211   0.0265103
         182     1.07494     1.31974   0.0263991
         183     1.07524     1.31841   0.0262887
         184     1.07542     1.31709   0.0261789
         185     1.07547     1.31578     0.02607
         186     1.07538     1.31449   0.0259618
         187     1.07515     1.31321   0.0258545
         188     1.07479     1.31194   0.0257481
         189     1.07429     1.31068   0.0256425
         190     1.07365     1.30943   0.0255379
         191     1.07289      1.3082   0.0254342
         192     1.07202     1.30697   0.0253315
         193     1.07103     1.30574   0.0252297
         194     1.06995     1.30453   0.0251289
         195     1.06878     1.30332   0.0250291
         196     1.06755     1.30212   0.0249303
         197     1.06626     1.30092   0.0248325
         198     1.06493     1.29973   0.0247357
         199     1.06357     1.29854   0.0246398
         200      1.0622     1.29736   0.0245449
         201     1.06083     1.29618    0.024451
         202     1.05947     1.29501    0.024358
         203     1.05814     1.29384    0.024266
         204     1.05685     1.29268   0.0241748
         205      1.0556     1.29153   0.0240845
         206     1.05442     1.29037   0.0239951
         207     1.05331     1.28923   0.0239065
         208     1.05228     1.28809   0.0238187
         209     1.05134     1.28696   0.0237316
         210      1.0505     1.28583   0.0236453
         211     1.04975     1.28471   0.0235597
         212     1.04912      1.2836   0.0234748
         213      1.0486      1.2825   0.0233905
         214     1.04821      1.2814   0.0233068
         215     1.04795     1.28032   0.0232237
         216     1.04782     1.27924   0.0231411
         217     1.04784     1.27817    0.023059
         218     1.04801     1.27712   0.0229774
         219     1.04834     1.27607   0.0228962
         220     1.04883     1.27504   0.0228154
         221      1.0495     1.27402    0.022735
         222     1.05035     1.27301   0.0226549
