#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.91        1.91           0
           2     1.90993     1.90997 2.43049e-05
           3     1.90973     1.90989 6.73969e-05
           4     1.90938     1.90976 0.000120122
           5      1.9089     1.90959  0.00018107
           6     1.90828     1.90937 0.000249366
           7     1.90753     1.90911 0.000324434
           8     1.90663      1.9088 0.000405882
           9     1.90558     1.90844 0.000493441
          10     1.90439     1.90804 0.000586934
          11     1.90306     1.90758  0.00068625
          12     1.90157     1.90708 0.000791332
          13     1.89992     1.90653 0.000902171
          14     1.89811     1.90593  0.00101876
          15     1.89613     1.90528  0.00114112
          16     1.89399     1.90457  0.00126934
          17     1.89166     1.90381  0.00140349
          18     1.88916       1.903  0.00154367
          19     1.88646     1.90213  0.00169002
          20     1.88357      1.9012  0.00184272
          21     1.88047     1.90021    0.002002
          22     1.87715     1.89916  0.00216805
          23     1.87362     1.89805  0.00234111
          24     1.86984     1.89688   0.0025214
          25     1.86583     1.89564  0.00270917
          26     1.86156     1.89432  0.00290465
          27     1.85703     1.89294  0.00310814
          28     1.85223     1.89149  0.00331991
          29     1.84713     1.88996  0.00354026
          30     1.84174     1.88835  0.00376947
          31     1.83604     1.88667  0.00400782
          32     1.83002      1.8849  0.00425561
          33     1.82366     1.88304  0.00451314
          34     1.81695      1.8811  0.00478075
          35     1.80987     1.87906  0.00505875
          36     1.80242     1.87693  0.00534748
          37     1.79457     1.87471  0.00564726
          38     1.78632     1.87238  0.00595838
          39     1.77766     1.86995  0.00628111
          40     1.76857     1.86742  0.00661571
          41     1.75904     1.86477  0.00696244
          42     1.74906     1.86202   0.0073215
          43     1.73862     1.85915   0.0076931
          44     1.72771     1.85616  0.00807741
          45     1.71633     1.85305  0.00847454
          46     1.70447     1.84982   0.0088846
          47     1.69212     1.84647  0.00930762
          48     1.67929     1.84299  0.00974358
          49     1.66597     1.83937   0.0101924
          50     1.65218     1.83563    0.010654
          51     1.63791     1.83175   0.0111281
          52     1.62319     1.82774   0.0116144
          53     1.60801      1.8236   0.0121127
          54      1.5924     1.81931   0.0126224
          55     1.57638      1.8149    0.013143
          56     1.55997     1.81035    0.013674
          57     1.54319     1.80566   0.0142147
          58     1.52608     1.80084   0.0147643
          59     1.50866     1.79589   0.0153221
          60     1.49098      1.7908   0.0158871
          61     1.47307      1.7856   0.0164584
          62     1.45496     1.78026    0.017035
          63      1.4367     1.77481   0.0176158
          64     1.41833     1.76924   0.0181999
          65     1.39989     1.76356    0.018786
          66     1.38141     1.75777   0.0193731
          67     1.36295     1.75187     0.01996
          68     1.34455     1.74588   0.0205457
          69     1.32623      1.7398    0.021129
          70     1.30804     1.73363   0.0217087
          71     1.29003     1.72739    0.022284
          72     1.27222     1.72106   0.0228536
          73     1.25465     1.71467   0.0234166
          74     1.23736     1.70822   0.0239721
          75     1.22038     1.70172   0.0245191
          76     1.20374     1.69517   0.0250567
          77     1.18747     1.68857   0.0255841
          78     1.17161     1.68195   0.0261005
          79     1.15618     1.67529   0.0266051
          80     1.14122     1.66862   0.0270971
          81     1.12676     1.66193    0.027576
          82     1.11281     1.65523    0.028041
          83     1.09942     1.64853   0.0284915
          84     1.08661     1.64184    0.028927
          85      1.0744     1.63517   0.0293469
          86     1.06282     1.62851   0.0297507
          87     1.05189     1.62188    0.030138
          88     1.04163     1.61529   0.0305083
          89     1.03207     1.60874   0.0308613
          90     1.02322     1.60223   0.0311966
          91      1.0151     1.59578   0.0315139
          92     1.00772     1.58939    0.031813
          93     1.00108     1.58306   0.0320937
          94    0.995184     1.57681   0.0323559
          95    0.990039     1.57063   0.0325995
          96    0.985634     1.56454   0.0328245
          97    0.981957     1.55853    0.033031
          98    0.978988     1.55262   0.0332191
          99    0.976707      1.5468    0.033389
         100    0.975085     1.54108    0.033541
         101    0.974089     1.53547   0.0336755
         102    0.973679     1.52996   0.0337927
         103    0.973814     1.52456   0.0338933
         104    0.974449     1.51927   0.0339776
         105    0.975534     1.51409   0.0340464
         106    0.977021     1.50903   0.0341001
         107     0.97886     1.50407   0.0341395
         108    0.980999     1.49923   0.0341652
         109    0.983389      1.4945    0.034178
         110    0.985979     1.48987   0.0341785
         111    0.988723     1.48536   0.0341674
         112    0.991576     1.48095   0.0341456
         113    0.994496     1.47665   0.0341138
         114    0.997447     1.47244   0.0340725
         115      1.0004     1.46834   0.0340226
         116     1.00331     1.46433   0.0339646
         117     1.00617     1.46041   0.0338993
         118     1.00895     1.45659   0.0338273
         119     1.01163     1.45285    0.033749
         120      1.0142     1.44919   0.0336651
         121     1.01665     1.44562   0.0335762
         122     1.01898     1.44212   0.0334826
         123     1.02117      1.4387   0.0333848
         124     1.02323     1.43535   0.0332833
         125     1.02516     1.43207   0.0331784
         126     1.02696     1.42885   0.0330705
         127     1.02864      1.4257   0.0329599
         128      1.0302     1.42261   0.0328469
         129     1.03166     1.41958   0.0327318
         130     1.03302     1.41661   0.0326148
         131     1.03429     1.41369   0.0324961
         132     1.03547     1.41082    0.032376
         133     1.03659     1.40801   0.0322546
         134     1.03764     1.40524   0.0321321
         135     1.03864     1.40253   0.0320087
         136     1.03959     1.39986   0.0318844
         137     1.04051     1.39724   0.0317593
         138     1.04139     1.39466   0.0316337
         139     1.04225     1.39212   0.0315076
         140     1.04308     1.38963    0.031381
         141     1.04389     1.38718   0.0312541
         142     1.04469     1.38477   0.0311269
         143     1.04546     1.38239   0.0309995
         144     1.04622     1.38006    0.030872
         145     1.04696     1.37776   0.0307445
         146     1.04768      1.3755   0.0306169
         147     1.04838     1.37328   0.0304894
         148     1.04905     1.37108    0.030362
         149      1.0497     1.36893   0.0302347
         150     1.05032      1.3668   0.0301077
         151     1.05091     1.36471   0.0299809
         152     1.05148     1.36265   0.0298544
         153     1.05201     1.36062   0.0297282
         154     1.05251     1.35862   0.0296024
         155     1.05297     1.35665   0.0294771
         156     1.05342      1.3547   0.0293521
         157     1.05383     1.35279   0.0292277
         158     1.05423      1.3509   0.0291037
         159     1.05462     1.34903   0.0289802
         160     1.05499      1.3472   0.0288573
         161     1.05537     1.34538    0.028735
         162     1.05576      1.3436   0.0286131
         163     1.05617     1.34183   0.0284919
         164      1.0566     1.34009   0.0283712
         165     1.05706     1.33838   0.0282511
         166     1.05756     1.33669   0.0281315
         167      1.0581     1.33502   0.0280124
         168     1.05868     1.33337   0.0278939
         169     1.05931     1.33175    0.027776
         170     1.05999     1.33015   0.0276586
         171     1.06071     1.32858   0.0275417
         172     1.06146     1.32702   0.0274253
         173     1.06224     1.32549   0.0273094
         174     1.06304     1.32399   0.0271941
         175     1.06385      1.3225   0.0270793
         176     1.06464     1.32103   0.0269651
         177     1.06542     1.31959   0.0268514
         178     1.06615     1.31817   0.0267382
         179     1.06684     1.31676   0.0266257
         180     1.06745     1.31538   0.0265138
         181     1.06799     1.31401   0.0264025
         182     1.06842     1.31266   0.0262919
         183     1.06875     1.31133    0.026182
         184     1.06896     1.31001   0.0260728
         185     1.06905     1.30871   0.0259644
         186       1.069     1.30742   0.0258567
         187     1.06881     1.30614   0.0257499
         188     1.06849     1.30488    0.025644
         189     1.06803     1.30363   0.0255389
         190     1.06744     1.30238   0.0254347
         191     1.06672     1.30115   0.0253315
         192     1.06589     1.29992   0.0252291
         193     1.06494     1.29871   0.0251278
         194      1.0639      1.2975   0.0250274
         195     1.06277     1.29629    0.024928
         196     1.06156     1.29509   0.0248295
         197      1.0603      1.2939   0.0247321
         198     1.05899     1.29272   0.0246356
         199     1.05764     1.29154   0.0245401
         200     1.05628     1.29036   0.0244456
         201     1.05492     1.28919    0.024352
         202     1.05357     1.28802   0.0242594
         203     1.05224     1.28686   0.0241677
         204     1.05094      1.2857   0.0240769
         205     1.04969     1.28455   0.0239869
         206      1.0485     1.28341   0.0238978
         207     1.04737     1.28227   0.0238096
         208     1.04632     1.28113   0.0237221
         209     1.04536        1.28   0.0236354
         210     1.04449     1.27888   0.0235495
         211     1.04371     1.27777   0.0234642
         212     1.04305     1.27666   0.0233796
         213      1.0425     1.27556   0.0232957
         214     1.04207     1.27447   0.0232124
         215     1.04177     1.27339   0.0231296
         216      1.0416     1.27231   0.0230474
         217     1.04157     1.27125   0.0229658
         218     1.04169      1.2702   0.0228845
         219     1.04197     1.26916   0.0228038
         220     1.04241     1.26813   0.0227234
         221     1.04302     1.26711   0.0226434
         222     1.04381      1.2661   0.0225637
         223     1.04478     1.26511   0.0224843
         224     1.04595     1.26413   0.0224052
         225     1.04731     1.26317   0.0223264
         226     1.04887     1.26222   0.0222477
         227     1.05063     1.26129   0.0221692
         228     1.05259     1.26037   0.0220909
         229     1.05474     1.25947   0.0220127
         230     1.05709     1.25859   0.0219345
         231     1.05963     1.25773   0.0218565
         232     1.06234     1.25689   0.0217785
         233     1.06521     1.25607   0.0217006
         234     1.06823     1.25526   0.0216227
         235     1.07138     1.25448   0.0215448
         236     1.07464     1.25372    0.021467
         237     1.07798     1.25298   0.0213892
         238     1.08139     1.25226   0.0213115
         239     1.08484     1.25156   0.0212338
         240      1.0883     1.25088   0.0211562
         241     1.09176     1.25022   0.0210788
         242     1.09518     1.24958   0.0210014
         243     1.09855     1.24895   0.0209242
         244     1.10185     1.24835   0.0208471
         245     1.10505     1.24777   0.0207702
         246     1.10814      1.2472   0.0206935
         247      1.1111     1.24665   0.0206171
         248     1.11392     1.24611   0.0205409
         249     1.11659     1.24559    0.020465
         250      1.1191     1.24509   0.0203894
         251     1.12143     1.24459   0.0203141
         252      1.1236     1.24411   0.0202391
         253     1.12559     1.24364   0.0201646
         254     1.12741     1.24319   0.0200904
         255     1.12906     1.24274   0.0200166
         256     1.13054      1.2423   0.0199432
         257     1.13185     1.24187   0.0198702
         258     1.13301     1.24145   0.0197977
         259     1.13401     1.24103   0.0197256
         260     1.13487     1.24063   0.0196539
         261     1.13559     1.24022   0.0195828
         262     1.13618     1.23983    0.019512
         263     1.13665     1.23943   0.0194418
         264     1.13701     1.23905    0.019372
         265     1.13727     1.23866   0.0193027
         266     1.13744     1.23828   0.0192339
         267     1.13751      1.2379   0.0191656
         268     1.13751     1.23753   0.0190977
         269     1.13744     1.23716   0.0190304
         270      1.1373     1.23679   0.0189635
         271     1.13711     1.23642   0.0188971
         272     1.13686     1.23605   0.0188311
         273     1.13657     1.23569   0.0187657
         274     1.13623     1.23533   0.0187007
         275     1.13586     1.23497   0.0186362
         276     1.13545      1.2346   0.0185722
         277     1.13501     1.23425   0.0185086
         278     1.13454     1.23389   0.0184455
         279     1.13405     1.23353   0.0183828
         280     1.13353     1.23317   0.0183207
         281     1.13299     1.23282   0.0182589
         282     1.13242     1.23246   0.0181977
         283     1.13183      1.2321   0.0181368
         284     1.13121     1.23175   0.0180764
         285     1.13057     1.23139   0.0180165
         286      1.1299     1.23104    0.017957
         287      1.1292     1.23068   0.0178979
