#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         118 4.01025e-11 1.46222e-11 1.14238e-12
         119 4.06456e-11 1.48409e-11 1.15352e-12
         120 4.11889e-11 1.50604e-11 1.16462e-12
         121 4.17322e-11 1.52809e-11 1.17567e-12
         122 4.22755e-11 1.55021e-11 1.18667e-12
         123 4.28186e-11 1.57242e-11 1.19762e-12
         124 4.33616e-11 1.59471e-11 1.20853e-12
         125 4.39043e-11 1.61708e-11 1.21938e-12
         126 4.44465e-11 1.63952e-11 1.23018e-12
         127 4.49883e-11 1.66203e-11 1.24092e-12
         128 4.55295e-11 1.68462e-11 1.25161e-12
         129   4.607e-11 1.70727e-11 1.26224e-12
         130 4.66098e-11 1.72999e-11 1.27282e-12
         131 4.71487e-11 1.75278e-11 1.28334e-12
         132 4.76867e-11 1.77562e-11 1.29379e-12
         133 4.82236e-11 1.79853e-11 1.30419e-12
         134 4.87593e-11  1.8215e-11 1.31452e-12
         135 4.92939e-11 1.84452e-11 1.32479e-12
         136 4.98271e-11 1.86759e-11 1.33499e-12
         137  5.0359e-11 1.89072e-11 1.34513e-12
         138 5.08893e-11  1.9139e-11  1.3552e-12
         139 5.14181e-11 1.93712e-11  1.3652e-12
         140 5.19451e-11 1.96039e-11 1.37513e-12
         141 5.24704e-11 1.98369e-11   1.385e-12
         142 5.29939e-11 2.00704e-11 1.39479e-12
         143 5.35154e-11 2.03043e-11  1.4045e-12
         144 5.40349e-11 2.05386e-11 1.41415e-12
         145 5.45522e-11 2.07731e-11 1.42372e-12
         146 5.50673e-11  2.1008e-11 1.43321e-12
         147 5.55802e-11 2.12432e-11 1.44263e-12
         148 5.60906e-11 2.14787e-11 1.45197e-12
         149 5.65986e-11 2.17144e-11 1.46123e-12
         150  5.7104e-11 2.19503e-11 1.47041e-12
         151 5.76067e-11 2.21864e-11 1.47952e-12
         152 5.81067e-11 2.24228e-11 1.48854e-12
         153 5.86039e-11 2.26592e-11 1.49747e-12
         154 5.90982e-11 2.28959e-11 1.50633e-12
         155 5.95896e-11 2.31326e-11  1.5151e-12
         156 6.00778e-11 2.33694e-11 1.52378e-12
         157 6.05629e-11 2.36063e-11 1.53238e-12
         158 6.10447e-11 2.38433e-11 1.54089e-12
         159 6.15232e-11 2.40803e-11 1.54932e-12
         160 6.19983e-11 2.43172e-11 1.55765e-12
         161   6.247e-11 2.45542e-11  1.5659e-12
         162 6.29381e-11 2.47912e-11 1.57406e-12
         163 6.34025e-11  2.5028e-11 1.58213e-12
         164 6.38632e-11 2.52648e-11  1.5901e-12
         165 6.43201e-11 2.55015e-11 1.59798e-12
         166 6.47731e-11 2.57381e-11 1.60577e-12
         167 6.52222e-11 2.59745e-11 1.61347e-12
         168 6.56672e-11 2.62108e-11 1.62107e-12
         169 6.61081e-11 2.64469e-11 1.62858e-12
         170 6.65449e-11 2.66828e-11 1.63599e-12
         171 6.69773e-11 2.69184e-11 1.64331e-12
         172 6.74055e-11 2.71538e-11 1.65053e-12
         173 6.78292e-11 2.73889e-11 1.65765e-12
         174 6.82485e-11 2.76237e-11 1.66467e-12
         175 6.86632e-11 2.78582e-11  1.6716e-12
         176 6.90733e-11 2.80924e-11 1.67842e-12
         177 6.94787e-11 2.83262e-11 1.68515e-12
         178 6.98793e-11 2.85597e-11 1.69177e-12
         179 7.02751e-11 2.87927e-11  1.6983e-12
         180  7.0666e-11 2.90254e-11 1.70472e-12
         181  7.1052e-11 2.92575e-11 1.71104e-12
         182 7.14329e-11 2.94893e-11 1.71726e-12
         183 7.18087e-11 2.97205e-11 1.72338e-12
         184 7.21794e-11 2.99513e-11 1.72939e-12
         185 7.25449e-11 3.01815e-11  1.7353e-12
         186  7.2905e-11 3.04112e-11 1.74111e-12
         187 7.32598e-11 3.06404e-11 1.74681e-12
         188 7.36093e-11 3.08689e-11 1.75241e-12
         189 7.39532e-11 3.10969e-11  1.7579e-12
         190 7.42916e-11 3.13242e-11 1.76328e-12
         191 7.46245e-11 3.15509e-11 1.76857e-12
         192 7.49517e-11  3.1777e-11 1.77374e-12
         193 7.52732e-11 3.20023e-11 1.77881e-12
         194 7.55889e-11  3.2227e-11 1.78377e-12
         195 7.58989e-11  3.2451e-11 1.78863e-12
         196  7.6203e-11 3.26742e-11 1.79338e-12
         197 7.65012e-11 3.28967e-11 1.79802e-12
         198 7.67934e-11 3.31184e-11 1.80256e-12
         199 7.70797e-11 3.33393e-11 1.80699e-12
         200 7.73598e-11 3.35594e-11 1.81131e-12
         201 7.76339e-11 3.37787e-11 1.81552e-12
         202 7.79018e-11 3.39971e-11 1.81962e-12
         203 7.81635e-11 3.42147e-11 1.82362e-12
         204  7.8419e-11 3.44313e-11 1.82751e-12
         205 7.86682e-11 3.46471e-11 1.83129e-12
         206  7.8911e-11  3.4862e-11 1.83496e-12
         207 7.91475e-11 3.50759e-11 1.83853e-12
         208 7.93776e-11 3.52889e-11 1.84199e-12
         209 7.96012e-11  3.5501e-11 1.84533e-12
         210 7.98184e-11  3.5712e-11 1.84858e-12
         211  8.0029e-11  3.5922e-11 1.85171e-12
         212  8.0233e-11  3.6131e-11 1.85473e-12
         213 8.04305e-11  3.6339e-11 1.85765e-12
         214 8.06213e-11 3.65459e-11 1.86046e-12
         215 8.08055e-11 3.67518e-11 1.86316e-12
         216  8.0983e-11 3.69566e-11 1.86575e-12
         217 8.11537e-11 3.71602e-11 1.86824e-12
         218 8.13177e-11 3.73628e-11 1.87062e-12
         219 8.14749e-11 3.75642e-11 1.87289e-12
         220 8.16253e-11 3.77645e-11 1.87505e-12
         221 8.17689e-11 3.79636e-11 1.87711e-12
         222 8.19056e-11 3.81616e-11 1.87906e-12
         223 8.20355e-11 3.83583e-11 1.88091e-12
         224 8.21584e-11 3.85538e-11 1.88265e-12
         225 8.22744e-11 3.87482e-11 1.88428e-12
         226 8.23835e-11 3.89412e-11 1.88581e-12
         227 8.24856e-11 3.91331e-11 1.88723e-12
         228 8.25807e-11 3.93236e-11 1.88855e-12
         229 8.26688e-11 3.95129e-11 1.88977e-12
         230   8.275e-11 3.97009e-11 1.89088e-12
         231  8.2824e-11 3.98876e-11 1.89188e-12
         232 8.28911e-11 4.00729e-11 1.89279e-12
         233 8.29511e-11  4.0257e-11 1.89359e-12
         234  8.3004e-11 4.04396e-11 1.89429e-12
         235 8.30499e-11  4.0621e-11 1.89489e-12
         236 8.30887e-11 4.08009e-11 1.89538e-12
         237 8.31204e-11 4.09795e-11 1.89578e-12
         238 8.31451e-11 4.11566e-11 1.89607e-12
         239 8.31626e-11 4.13324e-11 1.89627e-12
         240  8.3173e-11 4.15067e-11 1.89636e-12
         241 8.31764e-11 4.16796e-11 1.89636e-12
         242 8.31726e-11 4.18511e-11 1.89626e-12
         243 8.31618e-11 4.20211e-11 1.89606e-12
         244 8.31438e-11 4.21896e-11 1.89577e-12
         245 8.31188e-11 4.23567e-11 1.89537e-12
         246 8.30867e-11 4.25222e-11 1.89489e-12
         247 8.30475e-11 4.26863e-11 1.89431e-12
         248 8.30012e-11 4.28489e-11 1.89363e-12
         249 8.29478e-11 4.30099e-11 1.89286e-12
         250 8.28874e-11 4.31694e-11   1.892e-12
         251 8.28199e-11 4.33274e-11 1.89104e-12
         252 8.27454e-11 4.34838e-11    1.89e-12
         253 8.26639e-11 4.36387e-11 1.88886e-12
         254 8.25754e-11  4.3792e-11 1.88763e-12
         255 8.24798e-11 4.39437e-11 1.88632e-12
         256 8.23773e-11 4.40938e-11 1.88492e-12
         257 8.22679e-11 4.42424e-11 1.88342e-12
         258 8.21515e-11 4.43893e-11 1.88185e-12
         259 8.20281e-11 4.45346e-11 1.88018e-12
         260 8.18979e-11 4.46783e-11 1.87844e-12
         261 8.17608e-11 4.48204e-11  1.8766e-12
         262 8.16168e-11 4.49608e-11 1.87469e-12
         263  8.1466e-11 4.50996e-11 1.87269e-12
         264 8.13084e-11 4.52368e-11 1.87062e-12
         265  8.1144e-11 4.53723e-11 1.86846e-12
         266 8.09728e-11 4.55061e-11 1.86622e-12
         267  8.0795e-11 4.56383e-11 1.86391e-12
         268 8.06104e-11 4.57688e-11 1.86151e-12
         269 8.04192e-11 4.58976e-11 1.85904e-12
         270 8.02214e-11 4.60247e-11  1.8565e-12
         271 8.00169e-11 4.61502e-11 1.85388e-12
         272 7.98059e-11 4.62739e-11 1.85119e-12
         273 7.95884e-11 4.63959e-11 1.84843e-12
         274 7.93644e-11 4.65163e-11 1.84559e-12
         275  7.9134e-11 4.66349e-11 1.84269e-12
         276 7.88971e-11 4.67518e-11 1.83972e-12
         277 7.86539e-11 4.68669e-11 1.83668e-12
         278 7.84043e-11 4.69804e-11 1.83357e-12
         279 7.81485e-11 4.70921e-11  1.8304e-12
         280 7.78864e-11 4.72021e-11 1.82716e-12
         281 7.76182e-11 4.73103e-11 1.82386e-12
         282 7.73437e-11 4.74168e-11  1.8205e-12
         283 7.70632e-11 4.75216e-11 1.81708e-12
         284 7.67767e-11 4.76246e-11  1.8136e-12
         285 7.64841e-11 4.77258e-11 1.81006e-12
         286 7.61855e-11 4.78254e-11 1.80647e-12
         287 7.58811e-11 4.79231e-11 1.80282e-12
         288 7.55708e-11 4.80191e-11 1.79911e-12
         289 7.52547e-11 4.81133e-11 1.79535e-12
         290 7.49329e-11 4.82058e-11 1.79154e-12
         291 7.46053e-11 4.82965e-11 1.78768e-12
         292 7.42722e-11 4.83855e-11 1.78377e-12
         293 7.39334e-11 4.84727e-11 1.77981e-12
         294 7.35892e-11 4.85581e-11 1.77581e-12
         295 7.32394e-11 4.86418e-11 1.77176e-12
         296 7.28843e-11 4.87237e-11 1.76766e-12
         297 7.25238e-11 4.88038e-11 1.76353e-12
         298 7.21581e-11 4.88822e-11 1.75935e-12
         299 7.17871e-11 4.89588e-11 1.75513e-12
         300  7.1411e-11 4.90336e-11 1.75088e-12
         301 7.10298e-11 4.91067e-11 1.74658e-12
         302 7.06436e-11  4.9178e-11 1.74226e-12
         303 7.02524e-11 4.92476e-11 1.73789e-12
         304 6.98563e-11 4.93154e-11  1.7335e-12
         305 6.94554e-11 4.93814e-11 1.72907e-12
         306 6.90497e-11 4.94457e-11 1.72462e-12
         307 6.86394e-11 4.95082e-11 1.72013e-12
         308 6.82244e-11  4.9569e-11 1.71562e-12
         309 6.78049e-11  4.9628e-11 1.71108e-12
         310 6.73809e-11 4.96853e-11 1.70652e-12
         311 6.69525e-11 4.97408e-11 1.70194e-12
         312 6.65198e-11 4.97946e-11 1.69733e-12
         313 6.60828e-11 4.98466e-11 1.69271e-12
         314 6.56417e-11 4.98969e-11 1.68806e-12
         315 6.51964e-11 4.99455e-11  1.6834e-12
         316 6.47471e-11 4.99923e-11 1.67873e-12
         317 6.42939e-11 5.00374e-11 1.67404e-12
         318 6.38368e-11 5.00808e-11 1.66933e-12
         319 6.33758e-11 5.01225e-11 1.66462e-12
         320 6.29112e-11 5.01625e-11  1.6599e-12
         321 6.24429e-11 5.02007e-11 1.65517e-12
         322 6.19711e-11 5.02373e-11 1.65043e-12
         323 6.14958e-11 5.02721e-11 1.64569e-12
         324 6.10171e-11 5.03053e-11 1.64095e-12
         325 6.05351e-11 5.03368e-11  1.6362e-12
         326 6.00498e-11 5.03666e-11 1.63145e-12
         327 5.95614e-11 5.03947e-11  1.6267e-12
         328 5.90699e-11 5.04211e-11 1.62196e-12
         329 5.85755e-11 5.04459e-11 1.61722e-12
         330 5.80781e-11  5.0469e-11 1.61248e-12
         331 5.75779e-11 5.04905e-11 1.60775e-12
         332  5.7075e-11 5.05104e-11 1.60303e-12
         333 5.65695e-11 5.05286e-11 1.59832e-12
         334 5.60614e-11 5.05451e-11 1.59362e-12
         335 5.55508e-11 5.05601e-11 1.58894e-12
         336 5.50379e-11 5.05734e-11 1.58426e-12
         337 5.45226e-11 5.05851e-11 1.57961e-12
         338 5.40052e-11 5.05952e-11 1.57497e-12
         339 5.34856e-11 5.06037e-11 1.57034e-12
         340  5.2964e-11 5.06107e-11 1.56574e-12
         341 5.24404e-11 5.06161e-11 1.56116e-12
         342  5.1915e-11 5.06199e-11  1.5566e-12
         343 5.13879e-11 5.06221e-11 1.55206e-12
         344  5.0859e-11 5.06228e-11 1.54755e-12
         345 5.03286e-11 5.06219e-11 1.54306e-12
         346 4.97967e-11 5.06195e-11 1.53861e-12
         347 4.92634e-11 5.06156e-11 1.53418e-12
         348 4.87288e-11 5.06102e-11 1.52978e-12
         349 4.81929e-11 5.06033e-11 1.52541e-12
         350  4.7656e-11 5.05949e-11 1.52107e-12
         351  4.7118e-11  5.0585e-11 1.51677e-12
         352  4.6579e-11 5.05736e-11 1.51251e-12
         353 4.60392e-11 5.05607e-11 1.50828e-12
         354 4.54987e-11 5.05464e-11 1.50408e-12
         355 4.49575e-11 5.05307e-11 1.49993e-12
         356 4.44157e-11 5.05135e-11 1.49581e-12
         357 4.38734e-11 5.04949e-11 1.49174e-12
         358 4.33307e-11 5.04749e-11 1.48771e-12
         359 4.27877e-11 5.04535e-11 1.48372e-12
         360 4.22446e-11 5.04307e-11 1.47977e-12
         361 4.17013e-11 5.04065e-11 1.47587e-12
         362  4.1158e-11  5.0381e-11 1.47201e-12
         363 4.06148e-11 5.03541e-11  1.4682e-12
         364 4.00717e-11 5.03258e-11 1.46444e-12
         365 3.95289e-11 5.02962e-11 1.46073e-12
         366 3.89864e-11 5.02653e-11 1.45706e-12
         367 3.84444e-11 5.02331e-11 1.45345e-12
         368  3.7903e-11 5.01996e-11 1.44989e-12
         369 3.73621e-11 5.01648e-11 1.44638e-12
         370  3.6822e-11 5.01288e-11 1.44292e-12
         371 3.62827e-11 5.00914e-11 1.43951e-12
         372 3.57443e-11 5.00529e-11 1.43616e-12
         373 3.52069e-11 5.00131e-11 1.43286e-12
         374 3.46706e-11  4.9972e-11 1.42961e-12
         375 3.41354e-11 4.99298e-11 1.42642e-12
         376 3.36016e-11 4.98864e-11 1.42329e-12
         377  3.3069e-11 4.98418e-11 1.42022e-12
         378  3.2538e-11  4.9796e-11  1.4172e-12
         379 3.20085e-11 4.97491e-11 1.41423e-12
         380 3.14806e-11  4.9701e-11 1.41133e-12
         381 3.09545e-11 4.96518e-11 1.40848e-12
         382 3.04302e-11 4.96015e-11 1.40569e-12
         383 2.99077e-11 4.95501e-11 1.40296e-12
         384 2.93873e-11 4.94975e-11 1.40029e-12
         385  2.8869e-11  4.9444e-11 1.39768e-12
         386 2.83528e-11 4.93893e-11 1.39513e-12
         387 2.78389e-11 4.93336e-11 1.39263e-12
         388 2.73273e-11 4.92769e-11  1.3902e-12
         389 2.68182e-11 4.92192e-11 1.38782e-12
         390 2.63115e-11 4.91605e-11 1.38551e-12
         391 2.58075e-11 4.91007e-11 1.38325e-12
         392 2.53062e-11   4.904e-11 1.38105e-12
         393 2.48077e-11 4.89784e-11 1.37891e-12
         394  2.4312e-11 4.89158e-11 1.37683e-12
         395 2.38193e-11 4.88522e-11 1.37481e-12
         396 2.33296e-11 4.87878e-11 1.37285e-12
         397  2.2843e-11 4.87224e-11 1.37095e-12
         398 2.23596e-11 4.86562e-11  1.3691e-12
         399 2.18795e-11 4.85891e-11 1.36731e-12
         400 2.14028e-11 4.85211e-11 1.36558e-12
         401 2.09295e-11 4.84523e-11 1.36391e-12
         402 2.04598e-11 4.83827e-11  1.3623e-12
         403 1.99936e-11 4.83122e-11 1.36073e-12
         404 1.95311e-11  4.8241e-11 1.35923e-12
         405 1.90724e-11  4.8169e-11 1.35778e-12
         406 1.86176e-11 4.80962e-11 1.35639e-12
         407 1.81666e-11 4.80226e-11 1.35505e-12
         408 1.77197e-11 4.79484e-11 1.35376e-12
         409 1.72768e-11 4.78734e-11 1.35252e-12
         410 1.68381e-11 4.77977e-11 1.35134e-12
         411 1.64036e-11 4.77213e-11 1.35021e-12
         412 1.59734e-11 4.76442e-11 1.34913e-12
         413 1.55476e-11 4.75665e-11  1.3481e-12
         414 1.51262e-11 4.74882e-11 1.34712e-12
         415 1.47093e-11 4.74092e-11 1.34619e-12
         416  1.4297e-11 4.73296e-11  1.3453e-12
         417 1.38894e-11 4.72494e-11 1.34446e-12
         418 1.34865e-11 4.71686e-11 1.34367e-12
         419 1.30884e-11 4.70873e-11 1.34292e-12
         420 1.26952e-11 4.70054e-11 1.34222e-12
         421 1.23069e-11  4.6923e-11 1.34156e-12
         422 1.19236e-11   4.684e-11 1.34094e-12
         423 1.15453e-11 4.67566e-11 1.34037e-12
         424 1.11722e-11 4.66727e-11 1.33983e-12
         425 1.08043e-11 4.65883e-11 1.33933e-12
         426 1.04416e-11 4.65034e-11 1.33887e-12
         427 1.00842e-11 4.64181e-11 1.33845e-12
         428 9.73227e-12 4.63324e-11 1.33807e-12
         429 9.38572e-12 4.62463e-11 1.33772e-12
         430 9.04468e-12 4.61598e-11  1.3374e-12
         431 8.70918e-12 4.60729e-11 1.33712e-12
         432  8.3793e-12 4.59856e-11 1.33687e-12
         433 8.05509e-12  4.5898e-11 1.33665e-12
         434  7.7366e-12 4.58101e-11 1.33645e-12
         435 7.42388e-12 4.57219e-11 1.33629e-12
         436   7.117e-12 4.56333e-11 1.33616e-12
         437   6.816e-12 4.55445e-11 1.33605e-12
         438 6.52093e-12 4.54554e-11 1.33597e-12
         439 6.23185e-12  4.5366e-11 1.33591e-12
         440 5.94881e-12 4.52765e-11 1.33587e-12
         441 5.67184e-12 4.51867e-11 1.33586e-12
         442 5.40101e-12 4.50966e-11 1.33586e-12
         443 5.13635e-12 4.50064e-11 1.33589e-12
         444 4.87791e-12 4.49161e-11 1.33594e-12
         445 4.62574e-12 4.48255e-11   1.336e-12
         446 4.37988e-12 4.47348e-11 1.33608e-12
         447 4.14037e-12  4.4644e-11 1.33617e-12
         448 3.90724e-12 4.45531e-11 1.33628e-12
         449 3.68055e-12 4.44621e-11  1.3364e-12
         450 3.46033e-12 4.43709e-11 1.33653e-12
         451 3.24662e-12 4.42798e-11 1.33668e-12
         452 3.03944e-12 4.41885e-11 1.33683e-12
         453 2.83885e-12 4.40972e-11 1.33699e-12
         454 2.64487e-12 4.40059e-11 1.33716e-12
         455 2.45754e-12 4.39146e-11 1.33734e-12
         456 2.27689e-12 4.38233e-11 1.33752e-12
         457 2.10294e-12  4.3732e-11  1.3377e-12
         458 1.93573e-12 4.36408e-11 1.33789e-12
         459  1.7753e-12 4.35496e-11 1.33808e-12
         460 1.62165e-12 4.34584e-11 1.33827e-12
         461 1.47483e-12 4.33673e-11 1.33847e-12
         462 1.33485e-12 4.32764e-11 1.33866e-12
         463 1.20174e-12 4.31855e-11 1.33885e-12
         464 1.07553e-12 4.30947e-11 1.33903e-12
         465 9.56227e-13 4.30041e-11 1.33922e-12
         466 8.43861e-13 4.29136e-11 1.33939e-12
         467 7.38448e-13 4.28233e-11 1.33957e-12
         468 6.40007e-13 4.27332e-11 1.33973e-12
         469 5.48555e-13 4.26432e-11 1.33989e-12
         470 4.64106e-13 4.25535e-11 1.34005e-12
         471 3.86677e-13  4.2464e-11 1.34019e-12
         472 3.16278e-13 4.23747e-11 1.34032e-12
         473 2.52924e-13 4.22856e-11 1.34044e-12
         474 1.96624e-13 4.21968e-11 1.34055e-12
         475 1.47388e-13 4.21083e-11 1.34065e-12
         476 1.05225e-13 4.20201e-11 1.34073e-12
         477 7.01418e-14 4.19321e-11  1.3408e-12
         478 4.21441e-14 4.18445e-11 1.34086e-12
         479 2.12369e-14 4.17572e-11  1.3409e-12
         480 7.42371e-15 4.16702e-11 1.34092e-12
         481 7.07004e-16 4.15836e-11 1.34093e-12
         482 1.08788e-15 4.14973e-11 1.34092e-12
         483 8.56626e-15 4.14114e-11 1.34089e-12
