#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.18369    -5.70579   0.0554192
         153    -5.18511    -5.70239   0.0551614
         154    -5.18711    -5.69904   0.0549046
         155    -5.18881    -5.69575    0.054649
         156    -5.19078    -5.69251   0.0543944
         157    -5.19287    -5.68933    0.054141
         158    -5.19535     -5.6862   0.0538885
         159    -5.19713    -5.68313   0.0536373
         160    -5.19922     -5.6801   0.0533873
         161    -5.20204    -5.67713   0.0531382
         162    -5.20417    -5.67421   0.0528903
         163    -5.20618    -5.67134   0.0526437
         164      -5.208    -5.66852   0.0523985
         165    -5.20945    -5.66573   0.0521547
         166    -5.21155      -5.663   0.0519123
         167    -5.21289     -5.6603   0.0516713
         168    -5.21298    -5.65764   0.0514323
         169    -5.21362    -5.65501   0.0511951
         170    -5.21374    -5.65242   0.0509597
         171    -5.21347    -5.64985   0.0507263
         172    -5.21266    -5.64731    0.050495
         173    -5.21149    -5.64479   0.0502659
         174    -5.21026    -5.64229    0.050039
         175    -5.20839    -5.63981   0.0498145
         176    -5.20577    -5.63735   0.0495925
         177    -5.20363     -5.6349   0.0493728
         178    -5.20094    -5.63246   0.0491556
         179    -5.19701    -5.63003   0.0489411
         180    -5.19383     -5.6276   0.0487292
         181    -5.19068    -5.62519   0.0485197
         182    -5.18746    -5.62278   0.0483127
         183    -5.18467    -5.62039    0.048108
         184    -5.18203    -5.61801   0.0479055
         185    -5.17928    -5.61564   0.0477052
         186    -5.17631    -5.61327   0.0475071
         187    -5.17299    -5.61092   0.0473114
         188     -5.1701    -5.60857   0.0471178
         189    -5.16737    -5.60624   0.0469263
         190    -5.16451    -5.60392   0.0467369
         191    -5.16214     -5.6016   0.0465494
         192    -5.15966     -5.5993   0.0463638
         193    -5.15753    -5.59701     0.04618
         194    -5.15577    -5.59474    0.045998
         195    -5.15437    -5.59248   0.0458175
         196    -5.15305    -5.59024   0.0456385
         197    -5.15225    -5.58801    0.045461
         198    -5.15243    -5.58581   0.0452846
         199     -5.1518    -5.58363   0.0451095
         200    -5.15126    -5.58147   0.0449357
         201    -5.15113    -5.57933   0.0447632
         202    -5.15202    -5.57721   0.0445915
         203    -5.15199    -5.57512    0.044421
         204    -5.15272    -5.57305   0.0442515
         205    -5.15438    -5.57101   0.0440828
         206     -5.1564    -5.56899   0.0439147
         207    -5.15833    -5.56701   0.0437473
         208    -5.16067    -5.56506   0.0435806
         209    -5.16328    -5.56313   0.0434145
         210    -5.16663    -5.56125   0.0432488
         211    -5.17059    -5.55939   0.0430834
         212    -5.17426    -5.55758   0.0429185
         213    -5.17869     -5.5558   0.0427538
         214    -5.18313    -5.55406   0.0425895
         215    -5.18832    -5.55236   0.0424253
         216    -5.19422     -5.5507   0.0422613
         217    -5.20112    -5.54909   0.0420973
         218    -5.20805    -5.54752   0.0419332
         219    -5.21558    -5.54601   0.0417691
