#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -6.01292    -6.01292           0
           2    -6.01157    -6.01225  0.00047745
           3    -6.00937    -6.01129 0.000846364
           4     -6.0063    -6.01004  0.00125158
           5    -6.00239    -6.00851  0.00169603
           6    -5.99762     -6.0067  0.00217816
           7    -5.99199    -6.00459  0.00269597
           8     -5.9855    -6.00221  0.00324761
           9    -5.97816    -5.99954  0.00383148
          10    -5.96995    -5.99658  0.00444621
          11    -5.96088    -5.99333  0.00509064
          12    -5.95093     -5.9898  0.00576378
          13    -5.94011    -5.98598  0.00646479
          14    -5.92841    -5.98186  0.00719296
          15    -5.91582    -5.97746  0.00794768
          16    -5.90233    -5.97277  0.00872843
          17    -5.88771    -5.96776  0.00954171
          18    -5.87219    -5.96245   0.0103844
          19    -5.85599    -5.95685   0.0112485
          20    -5.83886    -5.95095   0.0121349
          21    -5.81985    -5.94471   0.0130646
          22    -5.80085    -5.93817   0.0140119
          23    -5.78019     -5.9313    0.014992
          24     -5.7588    -5.92411   0.0159976
          25    -5.73693    -5.91662   0.0170199
          26    -5.71359    -5.90882   0.0180682
          27    -5.68902    -5.90067   0.0191453
          28    -5.66392    -5.89222   0.0202428
          29    -5.63732    -5.88343    0.021368
          30    -5.60994    -5.87431   0.0225167
          31    -5.58127    -5.86486   0.0236917
          32    -5.55155    -5.85507   0.0248924
          33    -5.52052    -5.84493   0.0261211
          34    -5.48865    -5.83445   0.0273741
          35     -5.4557    -5.82363   0.0286512
          36     -5.4214    -5.81246   0.0299548
          37    -5.38647    -5.80094   0.0312797
          38    -5.34968    -5.78907    0.032633
          39    -5.31225    -5.77684   0.0340095
          40    -5.27319    -5.76425   0.0354134
          41    -5.23322     -5.7513   0.0368421
          42    -5.19256      -5.738   0.0382915
          43    -5.15025    -5.72433   0.0397658
          44    -5.10677    -5.71029   0.0412647
          45    -5.06185    -5.69588   0.0427897
          46    -5.01623    -5.68111   0.0443371
          47    -4.97014    -5.66598   0.0459017
          48    -4.92238    -5.65049   0.0474877
          49    -4.87344    -5.63463   0.0490951
          50    -4.82308     -5.6184   0.0507253
          51     -4.7713    -5.60179   0.0523796
          52     -4.7186    -5.58481   0.0540558
          53    -4.66499    -5.56745   0.0557523
          54    -4.60929    -5.54971   0.0574741
          55    -4.55295    -5.53158   0.0592175
          56      -4.496    -5.51309   0.0609792
          57     -4.4375    -5.49422   0.0627612
          58    -4.37822    -5.47498   0.0645613
          59    -4.31817    -5.45537   0.0663776
          60    -4.25741    -5.43541    0.068208
          61    -4.19549    -5.41508   0.0700531
          62    -4.13295     -5.3944   0.0719108
          63    -4.06982    -5.37338    0.073779
          64    -4.00666    -5.35202   0.0756536
          65    -3.94207    -5.33033   0.0775371
          66    -3.87637     -5.3083   0.0794302
          67    -3.81082    -5.28595   0.0813284
          68    -3.74477    -5.26329   0.0832306
          69    -3.67734     -5.2403   0.0851389
          70      -3.611    -5.21702   0.0870461
          71    -3.54271    -5.19344   0.0889571
          72    -3.47471    -5.16957    0.090868
          73     -3.4071    -5.14543   0.0927753
          74    -3.34018    -5.12103   0.0946746
