#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.30055    -5.30055           0
           2    -5.29811    -5.29933 0.000863297
           3    -5.29412    -5.29759  0.00153037
           4    -5.28858    -5.29534  0.00226338
           5     -5.2815    -5.29257  0.00306786
           6    -5.27285    -5.28928  0.00394135
           7    -5.26265    -5.28548  0.00488056
           8    -5.25088    -5.28116  0.00588253
           9    -5.23753    -5.27631  0.00694477
          10    -5.22258    -5.27093  0.00806525
          11    -5.20602    -5.26503  0.00924233
          12    -5.18783     -5.2586   0.0104747
          13    -5.16751    -5.25159   0.0117816
          14    -5.14601    -5.24405   0.0131339
          15    -5.12257    -5.23595   0.0145426
          16    -5.09693    -5.22726   0.0160205
          17    -5.06954    -5.21799   0.0175603
          18    -5.04061    -5.20813    0.019151
          19    -5.00987     -5.1977   0.0207923
          20    -4.97704    -5.18666   0.0224901
          21     -4.9428    -5.17505   0.0242324
          22    -4.90592    -5.16282   0.0260363
          23    -4.86707    -5.14996   0.0278995
          24    -4.82621    -5.13647   0.0298204
          25    -4.78305    -5.12233   0.0318024
          26    -4.73803    -5.10755   0.0338401
          27    -4.69087    -5.09212    0.035934
          28    -4.64102    -5.07601   0.0380914
          29    -4.58916    -5.05922   0.0403079
          30    -4.53477    -5.04174   0.0425868
          31    -4.47851    -5.02357   0.0449219
          32    -4.41911    -5.00468   0.0473231
          33    -4.35799    -4.98508   0.0497816
          34    -4.29411    -4.96476   0.0523015
          35    -4.22863    -4.94373   0.0548734
          36    -4.16054    -4.92197   0.0575002
          37     -4.0886    -4.89945   0.0601962
          38    -4.01468    -4.87617   0.0629541
          39    -3.93731    -4.85209   0.0657817
          40    -3.85718    -4.82722   0.0686788
          41    -3.77449    -4.80154   0.0716428
          42    -3.68922    -4.77506   0.0746718
          43    -3.60137    -4.74777   0.0777641
          44    -3.51068    -4.71965   0.0809199
          45    -3.41716    -4.69071   0.0841391
          46    -3.32156    -4.66094   0.0874161
          47    -3.22414    -4.63037   0.0907442
          48    -3.12279    -4.59896   0.0941323
          49    -3.01925    -4.56672   0.0975759
          50    -2.91216    -4.53363     0.10108
          51    -2.80377    -4.49971    0.104634
          52    -2.69202    -4.46495    0.108243
          53    -2.57776    -4.42934    0.111904
          54    -2.46186    -4.39291    0.115611
          55    -2.34447    -4.35566    0.119358
          56    -2.22579    -4.31763    0.123137
          57    -2.10502    -4.27881    0.126948
          58    -1.98286    -4.23923    0.130785
          59    -1.85879    -4.19888    0.134648
          60    -1.73473    -4.15781    0.138526
          61    -1.60898    -4.11603    0.142417
          62    -1.48321    -4.07356    0.146314
          63    -1.35743    -4.03045    0.150209
          64     -1.2326    -3.98673    0.154093
          65    -1.10679    -3.94243    0.157964
          66   -0.982161    -3.89757    0.161813
          67   -0.856772    -3.85219     0.16564
          68   -0.733016    -3.80632    0.169437
          69   -0.611114    -3.76001    0.173193
          70   -0.490081     -3.7133    0.176907
          71    -0.36988    -3.66621    0.180574
          72   -0.253121     -3.6188    0.184183
          73    -0.13663     -3.5711    0.187735
          74  -0.0220423    -3.52314    0.191226
          75   0.0887693    -3.47498    0.194646
          76    0.197066    -3.42667    0.197991
          77    0.303152    -3.37823    0.201258
          78     0.40637    -3.32971    0.204443
          79    0.506068    -3.28115    0.207541
          80    0.603286     -3.2326     0.21055
          81    0.697139    -3.18408    0.213467
          82    0.786749    -3.13566    0.216286
          83    0.873415    -3.08736    0.219008
          84    0.956995    -3.03921     0.22163
          85     1.03591    -2.99127    0.224148
          86      1.1098    -2.94358    0.226557
          87     1.18024    -2.89618    0.228858
          88     1.24642     -2.8491    0.231048
          89     1.30802    -2.80239    0.233126
          90     1.36596    -2.75608    0.235091
          91     1.41827    -2.71021    0.236941
          92     1.46638    -2.66481    0.238675
          93     1.51057    -2.61991    0.240294
          94     1.55063    -2.57555    0.241799
          95     1.58593    -2.53174    0.243189
          96     1.61801    -2.48851    0.244467
          97     1.64556     -2.4459    0.245634
          98     1.66924     -2.4039    0.246691
          99     1.68971    -2.36255     0.24764
         100     1.70575    -2.32187    0.248483
         101     1.71879    -2.28187    0.249223
         102     1.72884    -2.24254    0.249862
         103     1.73642    -2.20391    0.250404
         104     1.74154    -2.16598    0.250854
         105     1.74449    -2.12873    0.251214
         106     1.74529    -2.09219    0.251489
         107      1.7447    -2.05633    0.251682
         108     1.74249    -2.02115    0.251798
         109     1.73892    -1.98666    0.251839
         110     1.73469    -1.95283    0.251812
         111     1.72906    -1.91966    0.251719
         112      1.7239    -1.88713    0.251564
         113     1.71818    -1.85522    0.251353
         114     1.71279    -1.82392    0.251089
         115     1.70688    -1.79322    0.250776
         116     1.70177    -1.76309    0.250418
         117     1.69587    -1.73353    0.250016
         118     1.69045    -1.70451    0.249576
         119     1.68509    -1.67603    0.249099
         120      1.6803    -1.64806    0.248588
         121     1.67658    -1.62058    0.248047
         122     1.67274    -1.59359    0.247479
         123      1.6695    -1.56706    0.246885
         124     1.66589    -1.54098    0.246266
         125      1.6626    -1.51536    0.245626
         126     1.65936    -1.49016    0.244966
         127     1.65735    -1.46538    0.244287
         128     1.65581    -1.44099    0.243593
         129     1.65373      -1.417    0.242883
         130     1.65253    -1.39339     0.24216
         131     1.65072    -1.37015    0.241423
         132     1.64898    -1.34728    0.240675
         133     1.64729    -1.32476    0.239917
         134     1.64585     -1.3026    0.239148
         135     1.64465    -1.28076    0.238371
         136     1.64365    -1.25926    0.237586
         137     1.64262    -1.23808    0.236795
         138     1.64105    -1.21722    0.235996
         139     1.63967    -1.19666    0.235191
         140     1.63752    -1.17642    0.234381
         141      1.6358    -1.15647    0.233566
         142     1.63428    -1.13682    0.232746
         143     1.63202    -1.11746    0.231923
         144     1.62998    -1.09838    0.231096
         145     1.62891    -1.07957    0.230266
         146     1.62712    -1.06103    0.229434
         147     1.62513    -1.04276      0.2286
         148     1.62391    -1.02474    0.227764
         149     1.62225    -1.00697    0.226927
         150     1.62041   -0.989459    0.226089
         151     1.61863   -0.972187    0.225251
         152     1.61691   -0.955153    0.224412
         153     1.61548   -0.938352    0.223574
         154     1.61383   -0.921779    0.222735
         155     1.61316   -0.905425    0.221898
         156     1.61102   -0.889294    0.221061
         157     1.61052   -0.873371    0.220225
         158     1.60849   -0.857663    0.219391
         159     1.60682   -0.842163    0.218558
         160     1.60476    -0.82687    0.217727
         161     1.60252   -0.811781    0.216897
         162      1.5991   -0.796899    0.216068
         163     1.59615   -0.782217     0.21524
         164     1.59342   -0.767732    0.214415
         165     1.59019   -0.753441    0.213591
         166     1.58693   -0.739343    0.212769
         167     1.58269   -0.725438    0.211949
         168     1.57846   -0.711725     0.21113
         169     1.57452   -0.698197    0.210314
         170     1.57043   -0.684852      0.2095
         171     1.56698   -0.671683    0.208688
         172     1.56254   -0.658694    0.207879
         173      1.5584   -0.645878    0.207072
         174     1.55487    -0.63323    0.206268
         175     1.55107   -0.620748    0.205466
         176     1.54709   -0.608431    0.204668
         177     1.54419   -0.596269    0.203872
         178     1.54127   -0.584261     0.20308
         179     1.53958   -0.572396    0.202292
         180     1.53846   -0.560669    0.201508
         181     1.53772   -0.549075    0.200728
         182     1.53716   -0.537612    0.199952
         183     1.53848   -0.526268    0.199181
         184     1.53953   -0.515041    0.198415
         185     1.54129   -0.503925    0.197653
         186     1.54396   -0.492915    0.196897
         187     1.54754   -0.482004    0.196146
         188     1.55175   -0.471186    0.195401
         189     1.55581   -0.460461    0.194661
         190      1.5609   -0.449822    0.193927
         191      1.5667   -0.439264    0.193199
         192     1.57267   -0.428786    0.192477
         193      1.5785   -0.418385     0.19176
