layers,neurons,activation,optimizer,loss,val_loss
2,16,linear,adam,mse,0.5319441556930542
2,16,linear,adam,mae,0.5139007568359375
2,16,linear,sgd,mse,0.5331389904022217
2,16,linear,sgd,mae,0.5070012807846069
2,16,linear,rmsprop,mse,0.5319497585296631
2,16,linear,rmsprop,mae,0.5153298377990723
2,32,relu,adam,mse,0.01648675464093685
2,32,relu,adam,mae,0.08914563804864883
2,32,relu,sgd,mse,0.043476782739162445
2,32,relu,sgd,mae,0.1801958978176117
2,32,relu,rmsprop,mse,0.01909647509455681
2,32,relu,rmsprop,mae,0.06052857264876366
2,32,tanh,adam,mse,0.037327587604522705
2,32,tanh,adam,mae,0.10830654203891754
2,32,tanh,sgd,mse,0.07807694375514984
2,32,tanh,sgd,mae,0.28042536973953247
2,32,tanh,rmsprop,mse,0.028148626908659935
2,32,tanh,rmsprop,mae,0.13504254817962646
2,32,sigmoid,adam,mse,0.48188579082489014
2,32,sigmoid,adam,mae,0.4503821134567261
2,32,sigmoid,sgd,mse,0.8592208027839661
2,32,sigmoid,sgd,mae,0.9248229265213013
2,32,sigmoid,rmsprop,mse,0.41901183128356934
2,32,sigmoid,rmsprop,mae,0.4451562464237213
2,32,linear,adam,mse,0.5317142605781555
2,32,linear,adam,mae,0.5212359428405762
2,32,linear,sgd,mse,0.5327371954917908
2,32,linear,sgd,mae,0.5035291910171509
2,32,linear,rmsprop,mse,0.5420466065406799
2,32,linear,rmsprop,mae,0.5374707579612732
3,8,relu,adam,mse,0.0252134520560503
3,8,relu,adam,mae,0.18431785702705383
3,8,relu,sgd,mse,0.017615774646401405
3,8,relu,sgd,mae,0.9406114220619202
3,8,relu,rmsprop,mse,0.05285225063562393
3,8,relu,rmsprop,mae,0.5209692120552063
3,8,tanh,adam,mse,0.30630072951316833
3,8,tanh,adam,mae,0.08556211739778519
3,8,tanh,sgd,mse,0.03767082467675209
3,8,tanh,sgd,mae,0.11687105894088745
3,8,tanh,rmsprop,mse,0.011515102349221706
3,8,tanh,rmsprop,mae,0.1278301179409027
3,8,sigmoid,adam,mse,0.9677568078041077
3,8,sigmoid,adam,mae,0.9071203470230103
3,8,sigmoid,sgd,mse,1.0678938627243042
3,8,sigmoid,sgd,mae,0.9509105086326599
3,8,sigmoid,rmsprop,mse,1.0099958181381226
3,8,sigmoid,rmsprop,mae,0.9225670695304871
3,8,linear,adam,mse,0.5351153612136841
3,8,linear,adam,mae,0.520108163356781
3,8,linear,sgd,mse,0.5506792068481445
3,8,linear,sgd,mae,0.5147008299827576
3,8,linear,rmsprop,mse,0.5312716960906982
3,8,linear,rmsprop,mae,0.5138089060783386
3,16,relu,adam,mse,0.011731939390301704
3,16,relu,adam,mae,0.03591393306851387
3,16,relu,sgd,mse,0.0144570954144001
3,16,relu,sgd,mae,0.162480890750885
3,16,relu,rmsprop,mse,0.028241492807865143
3,16,relu,rmsprop,mae,0.06330765783786774
3,16,tanh,adam,mse,0.028866015374660492
3,16,tanh,adam,mae,0.07787606120109558
3,16,tanh,sgd,mse,0.01745721884071827
3,16,tanh,sgd,mae,0.16469641029834747
3,16,tanh,rmsprop,mse,0.012126872316002846
3,16,tanh,rmsprop,mae,0.10011390596628189
3,16,sigmoid,adam,mse,0.9225863814353943
3,16,sigmoid,adam,mae,0.8283764123916626
3,16,sigmoid,sgd,mse,1.0857025384902954
3,16,sigmoid,sgd,mae,0.9568943977355957
3,16,sigmoid,rmsprop,mse,0.8722248673439026
3,16,sigmoid,rmsprop,mae,0.7022449374198914
3,16,linear,adam,mse,0.5284165740013123
3,16,linear,adam,mae,0.516391396522522
3,16,linear,sgd,mse,0.5301341414451599
3,16,linear,sgd,mae,0.5076711773872375
3,16,linear,rmsprop,mse,0.5455843806266785
3,16,linear,rmsprop,mae,0.5262410640716553
3,32,relu,adam,mse,0.0043065594509243965
3,32,relu,adam,mae,0.07791242748498917
3,32,relu,sgd,mse,0.012267730198800564
3,32,relu,sgd,mae,0.11667844653129578
3,32,relu,rmsprop,mse,0.003282183315604925
3,32,relu,rmsprop,mae,0.054848238825798035
3,32,tanh,adam,mse,0.014291828498244286
3,32,tanh,adam,mae,0.07226024568080902
3,32,tanh,sgd,mse,0.019465863704681396
3,32,tanh,sgd,mae,0.16792531311511993
3,32,tanh,rmsprop,mse,0.014253673143684864
3,32,tanh,rmsprop,mae,0.11319633573293686
3,32,sigmoid,adam,mse,0.9511105418205261
3,32,sigmoid,adam,mae,0.4905470311641693
3,32,sigmoid,sgd,mse,1.0265734195709229
3,32,sigmoid,sgd,mae,0.9611366391181946
3,32,sigmoid,rmsprop,mse,0.3783911168575287
3,32,sigmoid,rmsprop,mae,0.4145699739456177
3,32,linear,adam,mse,0.5300744771957397
3,32,linear,adam,mae,0.5034858584403992
3,32,linear,sgd,mse,0.5337085723876953
3,32,linear,sgd,mae,0.5114505290985107
3,32,linear,rmsprop,mse,0.5471987128257751
3,32,linear,rmsprop,mae,0.5025126338005066
