#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.08476     0.08476           0
           2    0.067856    0.076308  0.00597647
           3    0.072436   0.0750173  0.00412132
           4    0.048268     0.06833  0.00656464
           5    0.058292   0.0663224  0.00555021
           6     0.08262   0.0690387  0.00524792
           7    0.062672   0.0681291  0.00457636
           8    0.097524   0.0718035   0.0052771
           9    0.076608   0.0723373  0.00471768
          10    0.048804    0.069984   0.0047971
          11    0.065056    0.069536  0.00438187
          12    0.063704     0.06905  0.00404357
          13    0.063184   0.0685988  0.00375762
          14    0.064212   0.0682854  0.00350226
          15    0.088756   0.0696501  0.00352465
          16    0.053756   0.0686568   0.0034415
          17     0.06676   0.0685452  0.00324087
          18    0.063928   0.0682887  0.00307095
          19    0.078748   0.0688392  0.00295825
          20    0.086768   0.0697356  0.00294303
          21    0.071116   0.0698013  0.00280362
          22    0.066924   0.0696705  0.00267923
          23     0.06996   0.0696831  0.00256277
          24     0.08736   0.0704197  0.00255964
          25    0.050496   0.0696227  0.00257834
          26    0.081416   0.0700763  0.00251876
          27    0.057408   0.0696071  0.00246878
          28     0.09218   0.0704133  0.00250879
          29    0.047692   0.0696298  0.00254168
          30    0.089392   0.0702885  0.00254089
          31    0.066816   0.0701765  0.00246139
          32    0.065988   0.0700456  0.00238795
          33     0.07678   0.0702497  0.00232429
          34    0.067716   0.0701752  0.00225712
          35    0.077612   0.0703877  0.00220261
          36    0.059188   0.0700766  0.00216329
          37     0.07668    0.070255  0.00211217
          38    0.042716   0.0695303  0.00217737
          39    0.066412   0.0694504  0.00212301
          40    0.073804   0.0695592  0.00207272
          41    0.073592   0.0696576   0.0020245
          42    0.079284   0.0698868  0.00198923
          43    0.068776   0.0698609  0.00194313
          44    0.067068   0.0697975  0.00190001
          45     0.08054   0.0700362  0.00187272
          46    0.049876   0.0695979   0.0018826
          47    0.053736   0.0692604  0.00187255
          48    0.074572   0.0693711   0.0018368
          49     0.07666   0.0695198  0.00180533
          50     0.08228    0.069775  0.00178717
          51    0.058456   0.0695531  0.00176585
          52    0.051416   0.0692043  0.00176601
          53     0.09218   0.0696378   0.0017851
          54    0.066016   0.0695707   0.0017533
          55    0.093336   0.0700028  0.00177387
          56    0.061996   0.0698599  0.00174794
          57    0.078396   0.0700096  0.00172368
          58    0.074504   0.0700871   0.0016957
          59    0.074092    0.070155  0.00166832
          60    0.090584   0.0704955   0.0016749
          61    0.088132   0.0707846  0.00167221
          62    0.082532   0.0709741  0.00165594
          63    0.065392   0.0708855  0.00163202
          64    0.069028   0.0708564  0.00160678
          65      0.0747   0.0709156  0.00158315
          66    0.077592   0.0710167  0.00156239
          67    0.078692   0.0711313  0.00154327
          68     0.07042   0.0711208  0.00152061
          69    0.105956   0.0716257  0.00158016
          70     0.06534   0.0715359  0.00156013
          71    0.037528   0.0710569  0.00161001
          72    0.087792   0.0712893  0.00160434
          73    0.057184   0.0710961  0.00159395
          74    0.079824   0.0712141  0.00157677
          75    0.094028   0.0715182  0.00158482
          76    0.062292   0.0713968  0.00156861
          77    0.074468   0.0714367  0.00154874
          78     0.04466   0.0710934  0.00156647
          79     0.07978   0.0712034   0.0015505
          80    0.071876   0.0712118  0.00153114
          81    0.068068    0.071173  0.00151273
          82    0.026764   0.0706314  0.00158827
          83    0.066048   0.0705762  0.00157009
          84    0.075628   0.0706363  0.00155255
          85    0.079036   0.0707352  0.00153743
          86    0.081196   0.0708568  0.00152436
          87    0.069088   0.0708365  0.00150697
          88    0.078348   0.0709218  0.00149226
          89    0.085716    0.071088  0.00148472
          90    0.075128   0.0711329   0.0014689
          91    0.076636   0.0711934  0.00145401
          92    0.073092    0.071214  0.00143835
          93    0.072048    0.071223  0.00142291
          94    0.061616   0.0711208  0.00141144
          95    0.073848   0.0711495  0.00139687
          96    0.056824   0.0710003  0.00139027
          97    0.064916   0.0709376  0.00137735
          98    0.081992   0.0710504  0.00136791
          99    0.052052   0.0708585  0.00136749
         100    0.058116    0.070731  0.00135973
