#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     49.3659     49.3659           0
           2     50.7357     50.0508    0.484288
           3     40.4672     46.8563     2.62822
           4     54.4721     48.7602     2.56989
           5     48.0201     48.6122     2.06017
           6     42.2741     47.5559     1.96909
           7     47.1678     47.5004     1.68857
           8     42.1915     46.8368     1.60261
           9     45.7653     46.7177     1.42896
          10     42.5169     46.2977     1.34639
          11     44.9543     46.1755     1.22952
          12     44.9508     46.0735     1.13129
          13     54.2907     46.7056     1.20801
          14     47.2689     46.7458      1.1224
          15     34.2085       45.91     1.32266
          16     51.8747     46.2828     1.29146
          17     44.2564     46.1636     1.22098
          18     45.7334     46.1397     1.15338
          19      47.963     46.2357     1.09666
          20     46.3979     46.2438     1.04186
          21     36.0916     45.7603      1.0987
          22     44.9716     45.7245     1.04934
          23      47.524     45.8027     1.00663
          24     42.9716     45.6848    0.971575
          25     47.7567     45.7676     0.93624
          26     43.2121     45.6693    0.905376
          27     42.9477     45.5685    0.877437
          28     49.3017     45.7019     0.85617
          29     43.9616     45.6419    0.828747
          30     43.2657     45.5627    0.804898
          31     39.3593     45.3625    0.803423
          32      41.017     45.2267     0.78971
          33      54.066     45.4946    0.809932
          34     46.0693     45.5115    0.786287
          35     41.2771     45.3905    0.773073
          36     47.9338     45.4612     0.75482
          37     41.6239     45.3575     0.74151
          38     46.1182     45.3775    0.722267
          39     42.7402     45.3099    0.706906
          40     42.9928     45.2519    0.691602
          41     46.7606     45.2887    0.675712
          42     46.8343     45.3255    0.660625
          43     46.1607     45.3449    0.645547
          44     39.4928     45.2119    0.644431
          45     32.9401     44.9392    0.685388
          46     39.9919     44.8317    0.678874
          47     55.9509     45.0683    0.704447
          48     35.3371     44.8655    0.718351
          49     40.6629     44.7798    0.708793
          50     44.1694     44.7676    0.694722
          51     42.8676     44.7303    0.682098
          52     47.0516     44.7749     0.67044
          53     45.7675     44.7937    0.658052
          54     52.5025     44.9364    0.661169
          55     40.6714     44.8589    0.653679
          56     52.8189      45.001     0.65728
          57     43.5752      44.976    0.646224
          58     42.0116     44.9249      0.6371
          59     46.5063     44.9517    0.626866
          60     32.9299     44.7513    0.647648
          61     35.7195     44.6033    0.653736
          62     34.8563     44.4461    0.661825
          63     38.3337      44.349    0.658393
          64     46.2343     44.3785    0.648764
          65      41.544     44.3349    0.640247
          66     46.3022     44.3647     0.63124
          67     45.5025     44.3817    0.622047
          68     45.1816     44.3934     0.61301
          69     39.4606      44.322     0.60828
          70     46.5517     44.3538    0.600424
          71     49.9459     44.4326    0.597111
          72     37.6182     44.3379    0.596271
          73     41.8434     44.3038    0.589082
          74     40.7646     44.2559    0.583059
          75     58.0859     44.4403    0.603741
          76     50.3024     44.5175    0.600704
          77     35.6301      44.402    0.603889
          78     51.6427     44.4949    0.603239
          79     41.2714     44.4541    0.596982
          80     46.5419     44.4802     0.59009
          81     38.3468     44.4044    0.587643
          82     48.0835     44.4493    0.582187
          83     42.9803     44.4316    0.575441
          84     48.3968     44.4788    0.570524
          85      43.109     44.4627    0.564039
          86     53.9368     44.5729    0.568137
          87     44.1713     44.5682    0.561625
          88     37.9636     44.4932    0.560236
          89     41.2468     44.4567    0.555127
          90     47.6367     44.4921    0.550082
          91     40.7408     44.4508     0.54558
          92      53.805     44.5525    0.549042
          93     48.9641     44.5999    0.545184
          94      47.705      44.633    0.540384
          95     45.7018     44.6442    0.534813
          96     50.9457     44.7099    0.533255
          97     43.1611     44.6939    0.527996
          98     42.4946     44.6715    0.523085
          99     38.2567     44.6067    0.521799
         100     52.1593     44.6822    0.522018
