#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.397088    0.397088           0
           2    0.415392     0.40624  0.00647158
           3     0.43798     0.41682  0.00965595
           4     0.36767    0.404533   0.0128718
           5    0.453311    0.414288   0.0134973
           6    0.421964    0.415568   0.0113082
           7    0.403042    0.413778  0.00983329
           8    0.479168    0.421952   0.0115104
           9    0.434701    0.423369   0.0103182
          10    0.404796    0.421511   0.0094521
          11    0.443476    0.423508  0.00880121
          12    0.409044    0.422303  0.00814989
          13    0.410631    0.421405  0.00757227
          14     0.40208    0.420025  0.00715611
          15    0.347743    0.415206  0.00814138
          16    0.466476     0.41841  0.00823906
          17    0.441734    0.419782  0.00786782
          18    0.404133    0.418913   0.0074786
          19    0.402615    0.418055  0.00713401
          20    0.432814    0.418793  0.00681537
          21    0.380451    0.416967  0.00673095
          22    0.420172    0.417113  0.00642657
          23    0.402391    0.416473  0.00617895
          24    0.426734      0.4169  0.00593627
          25    0.429186    0.417392  0.00571912
          26    0.401862    0.416794  0.00553026
          27    0.413968     0.41669  0.00532643
          28    0.423955    0.416949  0.00514251
          29    0.438306    0.417686  0.00501764
          30     0.43649    0.418312  0.00488937
          31    0.409092    0.418015  0.00474069
          32    0.456133    0.419206  0.00473984
          33    0.466669    0.420645  0.00480947
          34    0.380057    0.419451  0.00481389
          35     0.41848    0.419423  0.00467643
          36     0.43898    0.419966  0.00457797
          37    0.395356    0.419301   0.0045023
          38    0.430001    0.419583  0.00439262
          39    0.427121    0.419776  0.00428424
          40     0.44103    0.420307  0.00420995
          41    0.426512    0.420459  0.00410999
          42    0.457162    0.421333  0.00410399
          43    0.433248     0.42161  0.00401789
          44    0.409243    0.421329  0.00393639
          45    0.388571    0.420601  0.00391565
          46     0.45309    0.421307   0.0038937
          47    0.411405    0.421096  0.00381655
          48    0.422222     0.42112  0.00373711
          49    0.420998    0.421117  0.00366085
          50    0.453945    0.421774  0.00364603
          51    0.365817    0.420677  0.00373598
          52    0.377993    0.419856  0.00375323
          53    0.408443     0.41964  0.00368859
          54    0.454186     0.42028  0.00367534
          55    0.394818    0.419817  0.00363755
          56    0.425335    0.419916  0.00357393
          57    0.404217     0.41964  0.00352182
          58    0.415037    0.419561    0.003462
          59     0.40726    0.419352  0.00340959
          60    0.390039    0.418864  0.00338759
          61    0.431913    0.419078   0.0033388
          62    0.441628    0.419442   0.0033047
          63     0.42982    0.419606  0.00325635
          64    0.410786    0.419468  0.00320838
          65    0.432173    0.419664  0.00316497
          66    0.466588    0.420375  0.00319587
          67    0.430039    0.420519  0.00315142
          68    0.447977    0.420923  0.00313084
          69    0.413339    0.420813   0.0030874
          70    0.426131    0.420889  0.00304422
          71    0.419877    0.420875  0.00300138
          72    0.415075    0.420794  0.00296078
          73    0.437121    0.421018  0.00292865
          74    0.408174    0.420844  0.00289422
          75     0.43047    0.420973  0.00285847
          76    0.434136    0.421146   0.0028261
          77    0.395259     0.42081  0.00280933
          78    0.444555    0.421114  0.00278975
          79    0.477955    0.421834  0.00284571
          80    0.379749    0.421308  0.00285835
          81    0.386827    0.420882  0.00285458
          82    0.412303    0.420777  0.00282169
          83    0.360149    0.420047  0.00288069
          84    0.407049    0.419892  0.00285055
          85    0.386827    0.419503  0.00284343
          86    0.428451    0.419607  0.00281227
          87    0.404883    0.419438  0.00278503
          88     0.44342     0.41971  0.00276669
          89    0.412738    0.419632  0.00273671
          90    0.421332    0.419651  0.00270637
          91    0.390399    0.419329  0.00269565
          92    0.421505    0.419353  0.00266645
          93    0.420133    0.419361  0.00263779
          94    0.417979    0.419347  0.00260977
          95    0.375199    0.418882  0.00262335
          96    0.437387    0.419075   0.0026031
          97    0.416309    0.419046  0.00257642
          98    0.413306    0.418988  0.00255079
          99     0.37246    0.418518  0.00256796
         100    0.398542    0.418318  0.00255003
