#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.482624   -0.482624           0
           2   -0.484776     -0.4837 0.000760847
           3   -0.483672   -0.483691 0.000507289
           4   -0.483872   -0.483736 0.000382487
           5   -0.487024   -0.484394 0.000663008
           6    -0.48412   -0.484348 0.000554073
           7   -0.484608   -0.484385 0.000476163
           8   -0.480704   -0.483925 0.000599046
           9    -0.48444   -0.483982 0.000535211
          10   -0.482168   -0.483801 0.000511515
          11   -0.485864   -0.483988 0.000498217
          12   -0.485064   -0.484078 0.000464692
          13   -0.480008   -0.483765 0.000523901
          14    -0.48288   -0.483702 0.000490278
          15   -0.483072    -0.48366 0.000459387
          16      -0.485   -0.483744 0.000438246
          17   -0.480008   -0.483524 0.000464297
          18   -0.483832   -0.483541 0.000438819
          19   -0.480224   -0.483366 0.000449107
          20   -0.482992   -0.483348 0.000427042
          21   -0.485056   -0.483429 0.000414383
          22   -0.481104   -0.483323 0.000408801
          23   -0.482616   -0.483293 0.000392182
          24   -0.483072   -0.483283 0.000375949
          25   -0.480168   -0.483159 0.000381004
          26    -0.48196   -0.483113 0.000369129
          27   -0.483616   -0.483131 0.000355928
          28    -0.48172   -0.483081 0.000346766
          29    -0.48052   -0.482993  0.00034587
          30   -0.481968   -0.482958 0.000336023
          31    -0.48056   -0.482881 0.000333971
          32   -0.482944   -0.482883 0.000323541
          33   -0.484768    -0.48294 0.000318739
          34   -0.481648   -0.482902 0.000311621
          35   -0.483672   -0.482924 0.000303493
          36    -0.48432   -0.482963  0.00029753
          37   -0.481688   -0.482928 0.000291477
          38   -0.483256   -0.482937 0.000283934
          39   -0.480488   -0.482874 0.000283512
          40   -0.479344   -0.482786 0.000289836
          41   -0.480312   -0.482726  0.00028898
          42   -0.480136   -0.482664 0.000288603
          43   -0.482336   -0.482656 0.000281992
          44   -0.483216   -0.482669 0.000275869
          45   -0.482752   -0.482671 0.000269745
          46    -0.48264    -0.48267 0.000263882
          47   -0.484568   -0.482711 0.000261338
          48   -0.482224   -0.482701  0.00025609
          49   -0.484072   -0.482728 0.000252389
          50     -0.4802   -0.482678 0.000252357
          51   -0.481704   -0.482659  0.00024813
          52     -0.4848     -0.4827 0.000246751
          53    -0.48144   -0.482676 0.000243238
          54   -0.480568   -0.482637 0.000241846
          55   -0.483096   -0.482646 0.000237593
          56   -0.481592   -0.482627 0.000234094
          57   -0.482744   -0.482629 0.000229996
          58   -0.483424   -0.482642 0.000226439
          59   -0.484096   -0.482667 0.000223937
          60   -0.482608   -0.482666 0.000220207
          61   -0.483816   -0.482685 0.000217402
          62   -0.480096   -0.482643 0.000217869
          63   -0.483152   -0.482651 0.000214561
          64      -0.484   -0.482672 0.000212241
          65    -0.48044   -0.482638 0.000211736
          66   -0.481984   -0.482628 0.000208759
          67    -0.48272   -0.482629 0.000205648
          68   -0.479544   -0.482584 0.000207569
          69   -0.483136   -0.482592 0.000204715
          70   -0.480352    -0.48256 0.000204277
          71     -0.4834   -0.482572 0.000201742
          72   -0.482536   -0.482571  0.00019894
          73   -0.480816   -0.482547 0.000197663
          74   -0.481648   -0.482535 0.000195365
          75    -0.48212    -0.48253 0.000192839
          76   -0.484408   -0.482554 0.000191879
          77   -0.482544   -0.482554 0.000189387
          78   -0.484456   -0.482579 0.000188522
          79   -0.482328   -0.482575 0.000186162
          80    -0.48288   -0.482579 0.000183874
          81   -0.483144   -0.482586 0.000181736
          82   -0.484216   -0.482606 0.000180603
          83   -0.480336   -0.482579 0.000180486
          84    -0.48156   -0.482567 0.000178745
          85    -0.48128   -0.482552 0.000177282
          86   -0.482584   -0.482552 0.000175221
          87   -0.485872    -0.48259 0.000177314
          88    -0.48364   -0.482602   0.0001757
          89   -0.478328   -0.482554 0.000180169
          90      -0.482   -0.482548 0.000178272
          91   -0.485016   -0.482575 0.000178364
          92    -0.48424   -0.482593 0.000177342
          93   -0.479688   -0.482562 0.000178164
          94   -0.484576   -0.482583 0.000177553
          95   -0.482336   -0.482581 0.000175703
          96   -0.481728   -0.482572 0.000174097
          97    -0.47912   -0.482536 0.000175901
          98   -0.483488   -0.482546 0.000174374
          99   -0.483168   -0.482552 0.000172726
         100   -0.483616   -0.482563 0.000171326
