#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.4794      0.4794           0
           2    0.500504    0.489952  0.00746139
           3     0.40938    0.463095    0.022486
           4    0.496216    0.471375   0.0183258
           5    0.475588    0.472218     0.01468
           6    0.475712      0.4728   0.0122449
           7    0.255296    0.441728   0.0306219
           8    0.456592    0.443586   0.0268505
           9    0.344764    0.432606   0.0260155
          10    0.525876    0.441933   0.0250302
          11     0.47806    0.445217   0.0229691
          12     0.50736    0.450396   0.0216309
          13    0.386676    0.445494   0.0205148
          14    0.370192    0.440115    0.019742
          15      0.4382    0.439988   0.0184263
          16    0.434328    0.439634   0.0172781
          17    0.480784    0.442055   0.0164304
          18    0.336288    0.436179   0.0165349
          19    0.284244    0.428182   0.0174917
          20    0.379496    0.425748   0.0167857
          21    0.492736    0.428938   0.0162867
          22     0.52148    0.433144   0.0160804
          23    0.352572    0.429641   0.0157582
          24    0.512804    0.433106   0.0154779
          25    0.581444     0.43904   0.0159556
          26     0.45202    0.439539   0.0153498
          27    0.536672    0.443136    0.015197
          28    0.388696    0.441192   0.0147781
          29    0.415112    0.440293   0.0142958
          30    0.349096    0.437253   0.0141388
          31    0.507548    0.439521   0.0138634
          32    0.468272    0.440419   0.0134592
          33    0.391744    0.438944   0.0131319
          34    0.573752    0.442909   0.0133308
          35    0.474884    0.443823   0.0129812
          36    0.472168     0.44461   0.0126445
          37    0.420388    0.443955   0.0123197
          38      0.4474    0.444046   0.0119958
          39    0.499932    0.445479   0.0117735
          40    0.542204    0.447897   0.0117249
          41    0.456908    0.448117    0.011441
          42    0.307248    0.444763   0.0116498
          43    0.435968    0.444558   0.0113807
          44    0.259348    0.440349    0.011875
          45    0.500628    0.441688   0.0116864
          46    0.528424    0.443574   0.0115835
          47    0.535292    0.445525   0.0115002
          48    0.481132    0.446267   0.0112845
          49    0.425884    0.445851   0.0110619
          50    0.457404    0.446082   0.0108431
          51    0.500048     0.44714    0.010682
          52    0.574316    0.449586   0.0107529
          53    0.476364    0.450091   0.0105619
          54    0.399392    0.449153   0.0104079
          55     0.40686    0.448384    0.010247
          56    0.491956    0.449162   0.0100936
          57    0.515888    0.450332  0.00998413
          58    0.357048    0.448724  0.00994069
          59     0.49066    0.449435  0.00979758
          60    0.446352    0.449383  0.00963443
          61    0.282496    0.446647  0.00985728
          62    0.329632     0.44476  0.00987732
          63     0.49436    0.445547  0.00975187
          64    0.572744    0.447535  0.00979992
          65    0.648672    0.450629   0.0101259
          66     0.51942    0.451672    0.010026
          67    0.460788    0.451808  0.00987728
          68    0.496608    0.452466  0.00975397
          69    0.404204    0.451767  0.00963766
          70     0.39286    0.450925  0.00953665
          71    0.393388    0.450115   0.0094367
          72    0.436944    0.449932   0.0093074
          73    0.581448    0.451734  0.00935264
          74    0.301588    0.449705  0.00944378
          75    0.430512    0.449449  0.00932133
          76    0.567052    0.450996  0.00932624
          77    0.497372    0.451599  0.00922454
          78    0.351812    0.450319  0.00919456
          79    0.493816     0.45087  0.00909465
          80     0.44538    0.450801  0.00898122
          81    0.601696    0.452664  0.00906149
          82     0.48222    0.453025  0.00895815
          83     0.42446     0.45268  0.00885682
          84    0.528444    0.453582  0.00879719
          85    0.390752    0.452843   0.0087247
          86    0.541344    0.453872  0.00868372
          87    0.350808    0.452688  0.00866434
          88    0.337044    0.451373  0.00866497
          89     0.46748    0.451554   0.0085695
          90    0.363704    0.450578  0.00852969
          91     0.41278    0.450163  0.00844607
          92    0.402424    0.449644  0.00837019
          93     0.53988    0.450614  0.00833623
          94    0.560296    0.451781  0.00832881
          95    0.448808     0.45175   0.0082412
          96    0.519656    0.452457  0.00818565
          97    0.503668    0.452985  0.00811827
          98     0.40342    0.452479  0.00805117
          99    0.493252    0.452891  0.00798037
         100    0.407192    0.452434  0.00791364
