#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.44771     1.44771           0
           2     1.61399     1.53085   0.0587881
           3     1.54195     1.53455   0.0393083
           4     1.48032     1.52099   0.0317333
           5     1.44115     1.50502   0.0291291
           6     1.46589      1.4985   0.0249937
           7     1.53059     1.50309   0.0218395
           8     1.52333     1.50562   0.0192556
           9     1.56427     1.51213   0.0181857
          10     1.48162     1.50908   0.0166211
          11     1.52493     1.51052   0.0151724
          12     1.61323     1.51908   0.0161424
          13      1.5041     1.51793   0.0149418
          14      1.5425     1.51968   0.0139772
          15     1.51945     1.51967   0.0130454
          16      1.5213     1.51977   0.0122304
          17     1.45882     1.51619   0.0120251
          18     1.52855     1.51687   0.0113766
          19     1.43034     1.51232   0.0116539
          20     1.46651     1.51003    0.011294
          21     1.48115     1.50865   0.0108396
          22     1.41691     1.50448   0.0111201
          23     1.56619     1.50717   0.0109556
          24     1.47304     1.50574    0.010591
          25      1.5397      1.5071   0.0102541
          26     1.54712     1.50864  0.00997456
          27     1.57573     1.51113  0.00990976
          28      1.3934     1.50692   0.0104097
          29     1.51089     1.50706   0.0100516
          30     1.50362     1.50694   0.0097172
          31     1.45996     1.50543  0.00952121
          32     1.52607     1.50607   0.0092455
          33     1.53141     1.50684  0.00899717
          34     1.44955     1.50516  0.00888893
          35      1.5857     1.50746   0.0089279
          36     1.48411     1.50681  0.00870341
          37     1.50028     1.50663  0.00846998
          38     1.46111     1.50543  0.00833136
          39     1.46466     1.50439  0.00818307
          40     1.48784     1.50397  0.00798894
          41     1.52864     1.50458  0.00781671
          42     1.46555     1.50365  0.00768562
          43     1.55853     1.50492  0.00761212
          44     1.53788     1.50567  0.00747587
          45     1.48773     1.50527  0.00732037
          46     1.54394     1.50611  0.00720932
          47     1.53576     1.50674  0.00708347
          48     1.43923     1.50534  0.00707417
          49     1.52308      1.5057  0.00693906
          50     1.52223     1.50603  0.00680815
          51     1.55584     1.50701  0.00674433
          52     1.58312     1.50847  0.00677162
          53      1.4509     1.50738  0.00673042
          54     1.45036     1.50633  0.00668812
          55      1.5184     1.50655  0.00657012
          56     1.47756     1.50603  0.00647316
          57     1.50329     1.50598  0.00635978
          58     1.52312     1.50628  0.00625698
          59     1.50117     1.50619  0.00615153
          60     1.54206     1.50679  0.00607799
          61     1.53868     1.50731  0.00600079
          62     1.54991       1.508   0.0059432
          63     1.48898      1.5077  0.00585653
          64     1.51936     1.50788  0.00576786
          65     1.55101     1.50854  0.00571717
          66     1.51575     1.50865  0.00563159
          67     1.48488      1.5083   0.0055587
          68     1.53471     1.50869  0.00549051
          69      1.5078     1.50867  0.00541095
          70     1.57005     1.50955  0.00540422
          71     1.52638     1.50979   0.0053333
          72     1.52128     1.50995  0.00526161
          73     1.49497     1.50974  0.00519353
          74     1.49628     1.50956  0.00512653
          75      1.5277      1.5098  0.00506388
          76     1.60983     1.51112  0.00516547
          77     1.54623     1.51157  0.00511848
          78     1.55776     1.51217  0.00508699
          79     1.52539     1.51233  0.00502535
          80     1.49358      1.5121  0.00496799
          81     1.52145     1.51221    0.004908
          82     1.44872     1.51144  0.00490886
          83     1.52779     1.51164  0.00485366
          84     1.48456     1.51131  0.00480657
          85     1.46283     1.51074  0.00478375
          86     1.46616     1.51023  0.00475613
          87     1.49233     1.51002  0.00470591
          88     1.42226     1.50902  0.00475693
          89     1.48141     1.50871  0.00471359
          90     1.48844     1.50849  0.00466659
          91     1.62757      1.5098  0.00479527
          92     1.52316     1.50994  0.00474535
          93     1.51149     1.50996  0.00469435
          94     1.54451     1.51033  0.00465878
          95     1.51764      1.5104  0.00461038
          96     1.52202     1.51052  0.00456394
          97     1.47846     1.51019  0.00452885
          98      1.5149     1.51024  0.00448289
          99     1.53234     1.51046  0.00444316
         100     1.48277     1.51019  0.00440735
