#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.385698    0.385698           0
           2    0.371242     0.37847  0.00511084
           3    0.379688    0.378876  0.00342329
           4    0.371791    0.377105  0.00299086
           5    0.370926    0.375869  0.00263565
           6    0.366717    0.374344  0.00260053
           7    0.368041    0.373443   0.0023798
           8    0.386709    0.375102  0.00259658
           9    0.372983    0.374866  0.00231872
          10    0.374741    0.374854  0.00208688
          11    0.364102    0.373876  0.00211371
          12    0.385371    0.374834  0.00214365
          13    0.366087    0.374161  0.00208166
          14    0.353374    0.372676  0.00240489
          15    0.360145    0.371841  0.00238526
          16    0.381528    0.372446  0.00231174
          17    0.368848    0.372235  0.00218543
          18    0.373334    0.372296  0.00206487
          19    0.365272    0.371926  0.00198901
          20    0.378551    0.372257  0.00191694
          21    0.369283    0.372116  0.00183088
          22    0.370382    0.372037  0.00174935
          23    0.369688    0.371935  0.00167627
          24    0.370591    0.371879  0.00160736
          25    0.371877    0.371879  0.00154307
          26    0.364156    0.371582  0.00151204
          27    0.363635    0.371287  0.00148441
          28    0.374604    0.371406  0.00143611
          29     0.36838    0.371302  0.00139038
          30    0.363792    0.371051  0.00136638
          31    0.383949    0.371467   0.0013842
          32    0.368367     0.37137  0.00134433
          33    0.358786    0.370989   0.0013566
          34    0.372846    0.371044   0.0013178
          35    0.380009      0.3713   0.0013048
          36    0.366431    0.371165  0.00127555
          37    0.346821    0.370507  0.00140051
          38    0.365258    0.370369  0.00137045
          39     0.36781    0.370303  0.00133688
          40    0.383326    0.370629  0.00134252
          41       0.365    0.370491  0.00131678
          42    0.375234    0.370604  0.00129026
          43    0.366323    0.370505  0.00126409
          44    0.361732    0.370305  0.00125098
          45    0.364428    0.370175  0.00122998
          46    0.378794    0.370362  0.00121744
          47    0.371897    0.370395  0.00119197
          48    0.372465    0.370438  0.00116792
          49    0.382416    0.370682  0.00116939
          50    0.367531    0.370619  0.00114769
          51    0.361546    0.370441   0.0011389
          52    0.364921    0.370335  0.00112193
          53    0.352263    0.369994  0.00115141
          54    0.367846    0.369954  0.00113078
          55    0.377214    0.370086   0.0011179
          56    0.362249    0.369946  0.00110666
          57    0.374416    0.370025  0.00109002
          58    0.368195    0.369993  0.00107168
          59     0.37911    0.370148   0.0010646
          60    0.371011    0.370162  0.00104695
          61    0.369341    0.370149  0.00102988
          62    0.359487    0.369977  0.00102752
          63    0.381424    0.370158  0.00102715
          64    0.385194    0.370393  0.00103762
          65     0.37378    0.370446  0.00102296
          66    0.368285    0.370413  0.00100799
          67    0.387877    0.370673  0.00102609
          68     0.37333    0.370713  0.00101175
          69    0.354834    0.370482  0.00102292
          70     0.38787    0.370731  0.00103803
          71    0.374399    0.370782  0.00102469
          72    0.377925    0.370882  0.00101525
          73    0.387484    0.371109   0.0010265
          74    0.364483     0.37102  0.00101653
          75    0.367499    0.370973  0.00100406
          76    0.370459    0.370966 0.000990868
          77    0.367488    0.370921 0.000979028
          78    0.371957    0.370934 0.000966567
          79    0.367481     0.37089  0.00095532
          80    0.364519    0.370811 0.000946692
          81    0.386062    0.370999 0.000953545
          82     0.37474    0.371045 0.000943007
          83    0.370826    0.371042 0.000931649
          84    0.363435    0.370951 0.000924948
          85    0.364418    0.370874 0.000917255
          86     0.37904    0.370969  0.00091149
          87    0.370354    0.370962  0.00090104
          88    0.381555    0.371083 0.000898805
          89      0.3647    0.371011 0.000891563
          90    0.368299    0.370981 0.000882166
          91     0.36599    0.370926 0.000874175
          92    0.376919    0.370991 0.000867097
          93    0.376213    0.371047 0.000859589
          94    0.362057    0.370952 0.000855749
          95    0.378408     0.37103 0.000850333
          96    0.374013    0.371061 0.000842043
          97    0.368329    0.371033 0.000833833
          98    0.368133    0.371003 0.000825849
          99    0.361879    0.370911 0.000822634
         100    0.356468    0.370767 0.000826991
