#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35909     1.35909           0
           2     1.32764     1.34336     0.01112
           3     1.34806     1.34493  0.00752258
           4     1.37782     1.35315  0.00908496
           5     1.36529     1.35558  0.00758563
           6     1.38691      1.3608  0.00791718
           7      1.3874      1.3646  0.00764368
           8      1.3443     1.36206  0.00709673
           9       1.358     1.36161  0.00632251
          10     1.36714     1.36216  0.00571438
          11     1.34539     1.36064  0.00539447
          12     1.32732     1.35786  0.00561422
          13     1.30155     1.35353  0.00664652
          14     1.39044     1.35617  0.00667417
          15     1.44505     1.36209  0.00846024
          16     1.35274     1.36151  0.00795164
          17     1.36393     1.36165  0.00748518
          18     1.39029     1.36324  0.00723643
          19     1.40804      1.3656  0.00722955
          20     1.35899     1.36527  0.00687562
          21     1.32056     1.36314  0.00686999
          22     1.29953     1.36025  0.00714025
          23     1.36292     1.36037  0.00683075
          24     1.35339     1.36007  0.00655232
          25     1.31352     1.35821  0.00654954
          26     1.38399      1.3592  0.00637222
          27     1.31192     1.35745  0.00637235
          28     1.32978     1.35646  0.00622096
          29      1.3709     1.35696  0.00602632
          30     1.33104      1.3561  0.00588706
          31     1.34916     1.35587  0.00570141
          32      1.3358     1.35525  0.00555765
          33     1.34457     1.35492  0.00539864
          34     1.44252      1.3575  0.00582221
          35     1.32487     1.35657  0.00573002
          36      1.3844     1.35734  0.00562275
          37     1.33752      1.3568  0.00549626
          38     1.37942      1.3574  0.00538376
          39     1.31493     1.35631  0.00535472
          40     1.37204      1.3567  0.00523527
          41      1.3906     1.35753  0.00517245
          42     1.41086      1.3588  0.00520279
          43     1.39376     1.35961  0.00514494
          44     1.35297     1.35946  0.00503022
          45     1.37571     1.35982  0.00493139
          46     1.32634      1.3591  0.00487761
          47     1.33924     1.35867  0.00479209
          48      1.3299     1.35807  0.00472961
          49     1.29787     1.35684  0.00479002
          50     1.38257     1.35736  0.00472177
          51     1.36168     1.35744  0.00462994
          52     1.36421     1.35757  0.00454273
          53      1.3253     1.35696  0.00449765
          54     1.36937     1.35719  0.00442022
          55     1.38668     1.35773  0.00437224
          56     1.31991     1.35706  0.00434601
          57     1.26692     1.35547  0.00454836
          58     1.32365     1.35493  0.00450292
          59     1.32345     1.35439   0.0044581
          60     1.36966     1.35465  0.00439105
          61     1.35893     1.35472  0.00431962
          62     1.35421     1.35471  0.00424996
          63     1.25274     1.35309  0.00448011
          64     1.35718     1.35315  0.00441057
          65     1.30036     1.35234  0.00441688
          66      1.3194     1.35184  0.00437807
          67     1.35621     1.35191  0.00431321
          68     1.30052     1.35115  0.00431547
          69     1.40327     1.35191  0.00431852
          70     1.35186     1.35191  0.00425683
          71      1.3513      1.3519  0.00419688
          72     1.26112     1.35064  0.00432381
          73      1.3795     1.35103  0.00428262
          74     1.38782     1.35153  0.00425349
          75     1.32824     1.35122   0.0042081
          76      1.3329     1.35098  0.00415962
          77     1.28719     1.35015  0.00418729
          78     1.31176     1.34966  0.00416243
          79     1.35605     1.34974  0.00411052
          80     1.31749     1.34934  0.00407886
          81     1.34658      1.3493  0.00402864
          82     1.32778     1.34904  0.00398805
          83     1.46427     1.35043  0.00417466
          84      1.3544     1.35047  0.00412523
          85     1.37822      1.3508  0.00408959
          86       1.368       1.351  0.00404693
          87     1.35447     1.35104  0.00400061
          88     1.41011     1.35171  0.00401106
          89     1.31233     1.35127  0.00399032
          90     1.29323     1.35062  0.00399776
          91     1.36704      1.3508  0.00395789
          92     1.30934     1.35035  0.00394044
          93      1.2961     1.34977  0.00394102
          94     1.37208     1.35001  0.00390623
          95     1.37205     1.35024  0.00387199
          96     1.34346     1.35017   0.0038323
          97     1.36918     1.35037   0.0037978
          98     1.36948     1.35056  0.00376405
          99     1.31067     1.35016  0.00374754
         100      1.2993     1.34965  0.00374442
