#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.896752   -0.896752           0
           2   -0.896384   -0.896568 0.000130108
           3   -0.887672   -0.893603  0.00242274
           4   -0.885192     -0.8915  0.00257247
           5    -0.89224   -0.891648  0.00206223
           6   -0.892496   -0.891789  0.00172336
           7   -0.886408   -0.891021  0.00163969
           8   -0.897488   -0.891829  0.00162182
           9   -0.893288   -0.891991   0.0014497
          10   -0.886216   -0.891414  0.00141509
          11   -0.894432   -0.891688  0.00131278
          12   -0.889264   -0.891486  0.00121883
          13   -0.890176   -0.891385  0.00112923
          14   -0.892456   -0.891462  0.00105116
          15   -0.893984    -0.89163 0.000994437
          16   -0.887088   -0.891346 0.000971956
          17    -0.90248   -0.892001   0.0011138
          18   -0.888776   -0.891822  0.00106623
          19      -0.884    -0.89141  0.00108669
          20   -0.898104   -0.891745  0.00108267
          21   -0.890648   -0.891693  0.00103237
          22    -0.89724   -0.891945  0.00101577
          23   -0.893936   -0.892031 0.000975291
          24   -0.890312    -0.89196 0.000937281
          25   -0.889688   -0.891869 0.000904184
          26   -0.886824   -0.891675 0.000889983
          27   -0.893816   -0.891754 0.000860547
          28   -0.891736   -0.891753 0.000829813
          29   -0.889808   -0.891686 0.000803906
          30   -0.896512   -0.891847 0.000793039
          31    -0.89412   -0.891921 0.000770838
          32   -0.905056   -0.892331 0.000849039
          33   -0.896552   -0.892459 0.000832889
          34   -0.895328   -0.892543 0.000812656
          35   -0.895072   -0.892616 0.000792642
          36    -0.89548   -0.892695 0.000774608
          37    -0.89056   -0.892637 0.000755819
          38   -0.897752   -0.892772 0.000747817
          39   -0.894096   -0.892806 0.000729413
          40   -0.893184   -0.892815 0.000711238
          41   -0.890736   -0.892765 0.000695697
          42   -0.889464   -0.892686 0.000683557
          43   -0.888384   -0.892586 0.000674943
          44   -0.892152   -0.892576 0.000659675
          45   -0.894872   -0.892627 0.000646985
          46   -0.888568   -0.892539  0.00063891
          47   -0.885528    -0.89239 0.000642494
          48   -0.890976    -0.89236 0.000629783
          49    -0.89568   -0.892428 0.000620564
          50   -0.891168   -0.892403 0.000608664
          51    -0.89228     -0.8924 0.000596734
          52   -0.891448   -0.892382  0.00058554
          53   -0.890056   -0.892338 0.000576134
          54    -0.88876   -0.892272 0.000569263
          55   -0.890728   -0.892244 0.000559605
          56   -0.890696   -0.892216 0.000550294
          57   -0.891016   -0.892195 0.000541042
          58   -0.888144   -0.892125 0.000536204
          59   -0.901176   -0.892279  0.00054862
          60    -0.88228   -0.892112 0.000564219
          61   -0.886008   -0.892012 0.000563773
          62   -0.888792    -0.89196 0.000557067
          63   -0.893496   -0.891985 0.000548758
          64   -0.894776   -0.892028 0.000541914
          65   -0.897368    -0.89211 0.000539768
          66   -0.895128   -0.892156 0.000533523
          67    -0.89736   -0.892234 0.000531184
          68   -0.893504   -0.892252 0.000523701
          69   -0.891416    -0.89224 0.000516251
          70   -0.892224    -0.89224 0.000508876
          71      -0.894   -0.892265 0.000502312
          72   -0.890896   -0.892246 0.000495695
          73     -0.8962     -0.8923 0.000491856
          74   -0.894896   -0.892335 0.000486458
          75     -0.8914   -0.892323 0.000480132
          76   -0.893296   -0.892335 0.000473985
          77   -0.909008   -0.892552 0.000514917
          78   -0.889088   -0.892507 0.000510227
          79   -0.893368   -0.892518 0.000503885
          80    -0.88956   -0.892481 0.000498942
          81   -0.901776   -0.892596 0.000505805
          82   -0.896808   -0.892648 0.000502238
          83   -0.893624   -0.892659 0.000496324
          84   -0.895224    -0.89269 0.000491354
          85   -0.897128   -0.892742  0.00048834
          86   -0.885072   -0.892653 0.000490738
          87    -0.89448   -0.892674 0.000485546
          88   -0.887248   -0.892612 0.000483928
          89   -0.899288   -0.892687 0.000484269
          90   -0.893272   -0.892694 0.000478932
          91    -0.88944   -0.892658 0.000475001
          92    -0.89468    -0.89268 0.000470347
          93   -0.890536   -0.892657 0.000465854
          94   -0.896184   -0.892694 0.000462406
          95   -0.890848   -0.892675 0.000457947
          96    -0.89596   -0.892709 0.000454454
          97   -0.890056   -0.892682 0.000450591
          98   -0.889352   -0.892648 0.000447272
          99    -0.89964   -0.892718 0.000448296
         100   -0.890552   -0.892697 0.000444336
