#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.193846    0.193846           0
           2    0.198489    0.196167  0.00164129
           3    0.196089    0.196141   0.0010944
           4    0.199023    0.196862  0.00103103
           5    0.195656    0.196621 0.000852576
           6    0.194226    0.196222 0.000798442
           7    0.195478    0.196115 0.000691418
           8    0.198771    0.196447  0.00068002
           9    0.194064    0.196182 0.000653977
          10    0.195714    0.196136 0.000590258
          11    0.198673    0.196366 0.000579916
          12    0.193909    0.196161   0.0005666
          13    0.192081    0.195848 0.000603725
          14    0.197168    0.195942 0.000567919
          15    0.194861     0.19587 0.000534611
          16    0.194016    0.195754 0.000513599
          17    0.195565    0.195743 0.000483507
          18    0.198038     0.19587 0.000473159
          19    0.193593     0.19575 0.000463186
          20    0.198995    0.195913 0.000467574
          21    0.195263    0.195882  0.00044633
          22    0.196195    0.195896  0.00042627
          23    0.197769    0.195977  0.00041544
          24     0.19285    0.195847 0.000418066
          25    0.198649    0.195959 0.000416092
          26    0.194959    0.195921 0.000401862
          27    0.192285    0.195786 0.000408919
          28    0.192108    0.195655 0.000414882
          29    0.202171    0.195879 0.000457391
          30      0.1953     0.19586 0.000442553
          31    0.197393     0.19591 0.000431032
          32    0.197046    0.195945 0.000419023
          33    0.198503    0.196023 0.000413431
          34    0.199747    0.196132 0.000415529
          35    0.200728    0.196263 0.000423896
          36    0.195867    0.196252 0.000412263
          37    0.199766    0.196347 0.000411914
          38    0.195595    0.196328  0.00040155
          39     0.19706    0.196346 0.000391693
          40    0.194161    0.196292 0.000385692
          41    0.203311    0.196463 0.000412537
          42    0.197249    0.196482 0.000403139
          43    0.200634    0.196578 0.000405165
          44    0.193529    0.196509  0.00040184
          45    0.197943    0.196541 0.000394173
          46    0.201346    0.196645 0.000399208
          47    0.192874    0.196565 0.000398698
          48    0.196563    0.196565 0.000390392
          49    0.199771     0.19663  0.00038787
          50     0.20048    0.196707 0.000387677
          51    0.197153    0.196716 0.000380174
          52    0.194183    0.196667  0.00037597
          53    0.197486    0.196683 0.000369193
          54     0.19587    0.196668 0.000362663
          55    0.194502    0.196628 0.000358201
          56    0.196332    0.196623 0.000351844
          57     0.19426    0.196582 0.000348106
          58    0.195725    0.196567 0.000342418
          59    0.196658    0.196568 0.000336618
          60    0.196487    0.196567  0.00033101
          61    0.192814    0.196506 0.000331253
          62    0.197356    0.196519 0.000326194
          63    0.195556    0.196504 0.000321375
          64    0.199714    0.196554 0.000320244
          65    0.193741    0.196511 0.000318229
          66    0.200686    0.196574 0.000319633
          67    0.195059    0.196551 0.000315661
          68     0.19451    0.196521 0.000312444
          69    0.194864    0.196497 0.000308838
          70    0.195875    0.196489 0.000304554
          71    0.201011    0.196552 0.000306853
          72    0.190153    0.196463 0.000315201
          73     0.19539    0.196449 0.000311226
          74    0.193596     0.19641 0.000309398
          75    0.197368    0.196423 0.000305536
          76    0.198734    0.196453 0.000303025
          77    0.198122    0.196475 0.000299863
          78     0.19643    0.196474 0.000296019
          79    0.194328    0.196447 0.000293516
          80    0.189001    0.196354 0.000304246
          81    0.196562    0.196357 0.000300501
          82    0.196182    0.196355 0.000296844
          83    0.199997    0.196398 0.000296494
          84     0.19451    0.196376 0.000293816
          85    0.196493    0.196377 0.000290362
          86    0.198154    0.196398  0.00028772
          87    0.196894    0.196404 0.000284469
          88    0.195853    0.196397 0.000281306
          89    0.192885    0.196358 0.000280899
          90    0.199222     0.19639 0.000279575
          91    0.201325    0.196444 0.000281713
          92    0.198575    0.196467 0.000279602
          93    0.195913    0.196461 0.000276659
          94    0.195042    0.196446 0.000274128
          95    0.201509    0.196499 0.000276375
          96    0.198582    0.196521 0.000274346
          97     0.19282    0.196483 0.000274158
          98    0.196506    0.196483  0.00027136
          99    0.195351    0.196472  0.00026886
         100     0.19179    0.196425 0.000270217
