#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.295254    0.295254           0
           2    0.291359    0.293307  0.00137718
           3    0.295204    0.293939  0.00105333
           4    0.301416    0.295808  0.00180141
           5    0.286675    0.293982  0.00217857
           6    0.288484    0.293065  0.00199892
           7     0.29003    0.292632  0.00175977
           8    0.294213    0.292829  0.00155086
           9    0.290285    0.292547  0.00140406
          10    0.291822    0.292474  0.00126553
          11    0.292568    0.292483  0.00115051
          12    0.292217     0.29246  0.00105484
          13    0.294262    0.292599 0.000982761
          14    0.297448    0.292945 0.000971675
          15    0.299561    0.293386    0.001002
          16    0.289223    0.293126 0.000972582
          17    0.293483    0.293147 0.000915598
          18    0.301058    0.293587 0.000964449
          19    0.295857    0.293706  0.00092106
          20     0.29909    0.293975 0.000913503
          21    0.294949    0.294022 0.000871179
          22     0.28237    0.293492 0.000979414
          23    0.302701    0.293892  0.00101539
          24    0.282914    0.293435  0.00107117
          25    0.291326    0.293351  0.00103164
          26    0.301423    0.293661  0.00103763
          27    0.293364     0.29365 0.000999256
          28    0.299931    0.293874 0.000988425
          29    0.291913    0.293807 0.000956653
          30    0.285277    0.293522 0.000966093
          31    0.290573    0.293427 0.000939604
          32    0.284924    0.293162 0.000947072
          33    0.294375    0.293198 0.000919087
          34    0.295189    0.293257 0.000893917
          35    0.286789    0.293072 0.000887273
          36    0.295569    0.293141 0.000865333
          37    0.290678    0.293075 0.000844503
          38    0.285784    0.292883 0.000843796
          39    0.285479    0.292693 0.000843246
          40     0.29115    0.292655 0.000823047
          41    0.296962     0.29276  0.00080965
          42    0.289845     0.29269  0.00079334
          43    0.291399     0.29266 0.000775458
          44    0.290515    0.292611 0.000759366
          45    0.299289     0.29276  0.00075685
          46    0.288235    0.292661 0.000746761
          47    0.287644    0.292555 0.000738462
          48    0.290937    0.292521 0.000723846
          49    0.295326    0.292578 0.000711334
          50    0.289454    0.292516 0.000699846
          51    0.287937    0.292426 0.000691858
          52    0.293998    0.292456 0.000679213
          53    0.291714    0.292442 0.000666542
          54    0.293319    0.292458 0.000654396
          55    0.284528    0.292314  0.00065819
          56    0.287342    0.292225 0.000652398
          57    0.297623     0.29232 0.000647787
          58    0.296239    0.292388 0.000640133
          59    0.292483    0.292389 0.000629285
          60    0.294889    0.292431 0.000620175
          61    0.293216    0.292444 0.000610142
          62    0.295876    0.292499 0.000602806
          63    0.297766    0.292583 0.000599006
          64    0.289212     0.29253 0.000591958
          65    0.298714    0.292625 0.000590447
          66    0.300359    0.292743 0.000593015
          67    0.295102    0.292778 0.000585209
          68    0.291044    0.292752 0.000577159
          69    0.288393    0.292689 0.000572242
          70    0.293857    0.292706  0.00056431
          71     0.28462    0.292592 0.000567737
          72    0.293661    0.292607 0.000560046
          73    0.289315    0.292562 0.000554187
          74    0.299921    0.292661 0.000555549
          75    0.293423    0.292671 0.000548234
          76    0.294982    0.292702 0.000541863
          77     0.29075    0.292676 0.000535418
          78      0.2947    0.292702 0.000529182
          79    0.292447    0.292699 0.000522494
          80    0.294528    0.292722 0.000516463
          81     0.29932    0.292803 0.000516471
          82    0.299132     0.29288 0.000515907
          83    0.295811    0.292916 0.000510898
          84    0.296907    0.292963 0.000507021
          85    0.291532    0.292946 0.000501335
          86    0.288268    0.292892 0.000498448
          87    0.299415    0.292967 0.000498326
          88    0.292987    0.292967 0.000492663
          89    0.297523    0.293018  0.00048978
          90    0.296183    0.293054 0.000485598
          91    0.294652    0.293071  0.00048058
          92    0.292636    0.293066 0.000475379
          93    0.293467    0.293071 0.000470287
          94    0.296385    0.293106 0.000466604
          95    0.295655    0.293133 0.000462463
          96    0.283434    0.293032 0.000468552
          97    0.291445    0.293015 0.000464007
          98    0.290559     0.29299 0.000459949
          99    0.290324    0.292963 0.000456091
         100    0.290876    0.292943 0.000452008
