#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.254807    0.254807           0
           2    0.249029    0.251918   0.0020427
           3    0.249345     0.25106  0.00153135
           4    0.253005    0.251546  0.00122324
           5    0.250844    0.251406 0.000986616
           6    0.257346    0.252396  0.00122176
           7    0.250455    0.252119  0.00107823
           8    0.252231    0.252133 0.000943543
           9    0.251212     0.25203  0.00084423
          10    0.252368    0.252064 0.000760482
          11     0.24968    0.251847 0.000721558
          12    0.248207    0.251544 0.000722397
          13    0.250859    0.251491 0.000668744
          14    0.245749    0.251081 0.000736091
          15    0.250752    0.251059 0.000687344
          16    0.246808    0.250794  0.00069384
          17     0.25399    0.250982 0.000678029
          18    0.250883    0.250976 0.000640383
          19    0.252519    0.251057 0.000611802
          20    0.254093    0.251209 0.000599746
          21    0.252228    0.251258 0.000573146
          22    0.252726    0.251324 0.000550969
          23    0.252558    0.251378 0.000529617
          24     0.24822    0.251246 0.000523637
          25    0.244737    0.250986 0.000563715
          26    0.255117    0.251145 0.000563975
          27    0.244288    0.250891 0.000597531
          28    0.244966    0.250679 0.000612518
          29    0.247376    0.250565 0.000601894
          30     0.24764    0.250468  0.00058968
          31    0.245699    0.250314 0.000590379
          32    0.253925    0.250427 0.000582612
          33    0.246533    0.250309 0.000576784
          34    0.254147    0.250422 0.000570759
          35    0.255139    0.250557 0.000570143
          36    0.242987    0.250346 0.000591808
          37    0.243839     0.25017 0.000601376
          38    0.251319    0.250201 0.000586309
          39    0.250448    0.250207  0.00057131
          40    0.252485    0.250264 0.000559858
          41    0.250331    0.250266 0.000546205
          42    0.253712    0.250348 0.000539329
          43    0.249115    0.250319 0.000527547
          44    0.252286    0.250364 0.000517449
          45    0.247162    0.250293 0.000510817
          46    0.244951    0.250176  0.00051274
          47    0.247429    0.250118 0.000505153
          48    0.250273    0.250121 0.000494639
          49    0.246529    0.250048 0.000489947
          50    0.246124    0.249969 0.000486394
          51    0.243633    0.249845 0.000492472
          52    0.245239    0.249757 0.000490902
          53    0.254375    0.249844 0.000489314
          54    0.250949    0.249864  0.00048068
          55    0.255852    0.249973 0.000484113
          56    0.249387    0.249963 0.000475581
          57    0.245005    0.249876 0.000475125
          58    0.246576    0.249819 0.000470327
          59    0.250156    0.249824  0.00046239
          60    0.250821    0.249841 0.000454982
          61    0.249275    0.249832 0.000447618
          62    0.246916    0.249785 0.000442862
          63    0.244046    0.249694 0.000445103
          64    0.254227    0.249764 0.000443748
          65    0.248931    0.249752 0.000437107
          66    0.249616     0.24975 0.000430489
          67     0.25435    0.249818 0.000429505
          68    0.245207     0.24975 0.000428508
          69    0.239395      0.2496 0.000447807
          70    0.249154    0.249594 0.000441455
          71     0.24278    0.249498 0.000445547
          72    0.252741    0.249543 0.000441629
          73    0.253146    0.249592 0.000438329
          74    0.248663     0.24958 0.000432585
          75    0.244754    0.249516 0.000431577
          76    0.248032    0.249496  0.00042634
          77    0.255606    0.249575 0.000428124
          78     0.25357    0.249627 0.000425687
          79    0.254262    0.249685 0.000424323
          80    0.255323    0.249756 0.000424832
          81    0.242408    0.249665 0.000429162
          82    0.251152    0.249683 0.000424311
          83    0.252284    0.249715 0.000420354
          84    0.258713    0.249822 0.000428782
          85    0.253994    0.249871 0.000426538
          86    0.245769    0.249823 0.000424236
          87    0.251529    0.249843 0.000419813
          88    0.248614    0.249829 0.000415274
          89    0.254336    0.249879 0.000413684
          90    0.249127    0.249871 0.000409172
          91    0.245828    0.249827 0.000407081
          92    0.252259    0.249853 0.000403514
          93    0.256531    0.249925 0.000405514
          94    0.246653     0.24989 0.000402691
          95    0.250936    0.249901 0.000398603
          96    0.247528    0.249876 0.000395217
          97    0.245283    0.249829 0.000393969
          98    0.250595    0.249837 0.000390026
          99    0.249651    0.249835 0.000386091
         100    0.253582    0.249872 0.000384044
