#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.530112   -0.530112           0
           2      -0.529   -0.529556 0.000393151
           3   -0.533672   -0.530928  0.00115049
           4   -0.526376    -0.52979  0.00130989
           5   -0.528528   -0.529538  0.00107196
           6   -0.528744   -0.529405 0.000901419
           7   -0.528032   -0.529209 0.000793708
           8   -0.525624   -0.528761 0.000811203
           9    -0.52968   -0.528863 0.000727468
          10    -0.52812   -0.528789 0.000658506
          11   -0.526584   -0.528588 0.000628406
          12   -0.529392   -0.528655 0.000579596
          13   -0.529304   -0.528705 0.000537156
          14   -0.527056   -0.528587 0.000511542
          15   -0.529664   -0.528659 0.000482448
          16   -0.529056   -0.528684 0.000452932
          17   -0.529104   -0.528709 0.000426962
          18   -0.529704   -0.528764 0.000406806
          19    -0.52748   -0.528696 0.000390968
          20   -0.526704   -0.528597 0.000383902
          21   -0.528824   -0.528608 0.000365774
          22    -0.53136   -0.528733 0.000369925
          23   -0.528904    -0.52874 0.000353916
          24    -0.52516   -0.528591 0.000369272
          25   -0.526256   -0.528498 0.000366123
          26   -0.528344   -0.528492 0.000352089
          27    -0.52364   -0.528312 0.000382161
          28   -0.528296   -0.528311 0.000368513
          29   -0.528152   -0.528306 0.000355847
          30   -0.526696   -0.528252 0.000348008
          31   -0.527032   -0.528213 0.000339001
          32    -0.52948   -0.528253 0.000330712
          33   -0.530056   -0.528307 0.000325174
          34   -0.529376   -0.528339 0.000317126
          35   -0.531696   -0.528435 0.000322247
          36   -0.530376   -0.528488 0.000317777
          37   -0.529936   -0.528528 0.000311587
          38    -0.53008   -0.528568 0.000306054
          39   -0.528368   -0.528563  0.00029825
          40   -0.527176   -0.528529 0.000292803
          41   -0.531784   -0.528608 0.000296231
          42   -0.526432   -0.528556 0.000293674
          43   -0.528936   -0.528565 0.000286977
          44   -0.526616   -0.528521 0.000283853
          45    -0.52768   -0.528502 0.000278159
          46   -0.525648    -0.52844 0.000278946
          47    -0.52684   -0.528406 0.000275081
          48    -0.52944   -0.528428 0.000270192
          49    -0.53152   -0.528491 0.000271949
          50   -0.530672   -0.528534 0.000269987
          51   -0.533504   -0.528632  0.00028173
          52    -0.52692   -0.528599 0.000278229
          53    -0.52868     -0.5286 0.000272983
          54   -0.530648   -0.528638 0.000270549
          55   -0.528592   -0.528637 0.000265631
          56    -0.52888   -0.528642 0.000260923
          57   -0.530056   -0.528667 0.000257523
          58   -0.527024   -0.528638 0.000254635
          59   -0.527664   -0.528622 0.000250854
          60   -0.531048   -0.528662 0.000249911
          61    -0.53152   -0.528709 0.000250167
          62   -0.528888   -0.528712 0.000246149
          63   -0.527272   -0.528689   0.0002433
          64   -0.530648    -0.52872 0.000241417
          65   -0.530952   -0.528754 0.000240133
          66   -0.529848   -0.528771 0.000237066
          67   -0.528352   -0.528764  0.00023361
          68   -0.523896   -0.528693 0.000240895
          69   -0.528024   -0.528683 0.000237599
          70       -0.53   -0.528702 0.000234948
          71   -0.527152    -0.52868 0.000232651
          72   -0.525328   -0.528633 0.000234031
          73   -0.527408   -0.528617 0.000231427
          74    -0.52736     -0.5286 0.000228922
          75    -0.52904   -0.528606 0.000225945
          76   -0.530264   -0.528627 0.000224023
          77   -0.529816   -0.528643 0.000221645
          78   -0.529208    -0.52865 0.000218922
          79   -0.528944   -0.528654 0.000216182
          80   -0.526504   -0.528627 0.000215143
          81   -0.530072   -0.528645 0.000213226
          82    -0.52644   -0.528618 0.000212314
          83   -0.528064   -0.528611 0.000209861
          84   -0.529296   -0.528619 0.000207521
          85   -0.530768   -0.528645 0.000206613
          86      -0.528   -0.528637 0.000204347
          87   -0.527368   -0.528623 0.000202518
          88   -0.525064   -0.528582 0.000204214
          89   -0.529808   -0.528596 0.000202383
          90   -0.527536   -0.528584 0.000200477
          91   -0.526432    -0.52856 0.000199664
          92   -0.527584    -0.52855 0.000197775
          93     -0.5296   -0.528561 0.000195971
          94    -0.53028   -0.528579 0.000194737
          95   -0.528328   -0.528577 0.000192705
          96   -0.525376   -0.528543 0.000193561
          97   -0.529728   -0.528556  0.00019195
          98   -0.525832   -0.528528 0.000191993
          99   -0.527648   -0.528519 0.000190259
         100   -0.527896   -0.528513 0.000188459
