#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.031492    0.031492           0
           2     0.02398    0.027736  0.00265589
           3    0.037928   0.0311333  0.00329083
           4      0.0264     0.02995  0.00267242
           5    0.026828   0.0293256  0.00220968
           6    0.031596    0.029704  0.00187352
           7      0.0228   0.0287177  0.00184733
           8    0.037764   0.0298485  0.00193174
           9    0.033468   0.0302507  0.00175847
          10    0.029732   0.0301988  0.00158339
          11    0.031492   0.0303164   0.0014438
          12    0.022944    0.029702  0.00144831
          13    0.030972   0.0297997  0.00134019
          14    0.034164   0.0301114  0.00128021
          15    0.026904   0.0298976  0.00121259
          16    0.035128   0.0302245  0.00118004
          17    0.027944   0.0300904  0.00111823
          18    0.021268   0.0296002  0.00115855
          19    0.034748   0.0298712  0.00112881
          20    0.022512   0.0295032  0.00113075
          21    0.037392   0.0298789  0.00113759
          22    0.023084     0.02957  0.00112703
          23    0.031188   0.0296403  0.00108023
          24    0.038776    0.030021  0.00110024
          25     0.03162    0.030085  0.00105809
          26    0.031456   0.0301377  0.00101871
          27    0.043504   0.0306327  0.00109467
          28    0.026668   0.0304911   0.0010647
          29     0.03152   0.0305266  0.00102857
          30    0.025564   0.0303612   0.0010075
          31    0.028276   0.0302939 0.000977245
          32    0.022808     0.03006 0.000974304
          33     0.04826   0.0306115  0.00108975
          34    0.023616   0.0304058  0.00107695
          35    0.020816   0.0301318  0.00108047
          36     0.03236   0.0301937  0.00105223
          37    0.030756   0.0302089   0.0010239
          38    0.022464   0.0300051  0.00101704
          39    0.030872   0.0300273 0.000991204
          40    0.030332   0.0300349 0.000966453
          41    0.038628   0.0302445 0.000965339
          42    0.027732   0.0301847 0.000944207
          43    0.021108   0.0299736 0.000945549
          44    0.028376   0.0299373 0.000924756
          45    0.034688   0.0300428 0.000910212
          46    0.027264   0.0299824 0.000892427
          47     0.03662   0.0301237 0.000884543
          48     0.02636   0.0300452 0.000869584
          49    0.040988   0.0302686 0.000880046
          50    0.016948   0.0300022 0.000901869
          51    0.028792   0.0299784 0.000884497
          52    0.025176   0.0298861 0.000872296
          53    0.019792   0.0296956 0.000876382
          54     0.02894   0.0296816 0.000860265
          55    0.032264   0.0297286 0.000845904
          56     0.03286   0.0297845 0.000832645
          57    0.019628   0.0296063 0.000836885
          58    0.022952   0.0294916 0.000830283
          59     0.04154   0.0296958 0.000840949
          60      0.0322   0.0297375 0.000827968
          61     0.03402   0.0298077 0.000817366
          62    0.026556   0.0297553 0.000805863
          63    0.038236   0.0298899 0.000804236
          64     0.03762   0.0300107 0.000800689
          65    0.037092   0.0301196 0.000795747
          66     0.02046   0.0299733 0.000797036
          67     0.02244   0.0298608 0.000793031
          68    0.023436   0.0297664 0.000786977
          69    0.038488   0.0298928 0.000785657
          70     0.03982   0.0300346 0.000787129
          71     0.03376    0.030087  0.00077779
          72    0.023632   0.0299974 0.000772137
          73    0.033324    0.030043 0.000762903
          74    0.022532   0.0299415 0.000759316
          75    0.032444   0.0299748 0.000749924
          76    0.018356   0.0298219 0.000755479
          77    0.025408   0.0297646 0.000747839
          78    0.017944   0.0296131  0.00075345
          79    0.033036   0.0296564 0.000745158
          80    0.028884   0.0296467 0.000735906
          81    0.019708    0.029524 0.000736979
          82    0.022228   0.0294351 0.000733343
          83    0.027164   0.0294077 0.000725017
          84    0.030068   0.0294156 0.000716429
          85    0.035824    0.029491 0.000711956
          86    0.030132   0.0294984 0.000703717
          87    0.030808   0.0295135 0.000695789
          88    0.032824   0.0295511 0.000688899
          89    0.016748   0.0294072 0.000696016
          90    0.028464   0.0293968 0.000688361
          91    0.031472   0.0294196 0.000681174
          92    0.034244    0.029472 0.000675786
          93     0.03554   0.0295372 0.000671662
          94    0.041576   0.0296653 0.000676617
          95    0.030116   0.0296701 0.000669511
          96    0.016884   0.0295369 0.000675655
          97    0.047128   0.0297182   0.0006926
          98    0.039144   0.0298144 0.000692179
          99    0.030464    0.029821 0.000685218
         100     0.02992    0.029822 0.000678367
