#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034564    0.034564           0
           2    0.028704    0.031634  0.00207182
           3    0.042272     0.03518  0.00320788
           4    0.046092    0.037908  0.00337193
           5    0.044612   0.0392488  0.00295211
           6    0.040564    0.039468  0.00246821
           7    0.026752   0.0376514  0.00270265
           8     0.04974   0.0391625  0.00275505
           9    0.048416   0.0401907  0.00263381
          10    0.052012   0.0413728  0.00262233
          11     0.04306   0.0415262  0.00238842
          12    0.044708   0.0417913  0.00220405
          13    0.044808   0.0420234  0.00204669
          14    0.041384   0.0419777  0.00190101
          15    0.028384   0.0410715  0.00197853
          16     0.05194   0.0417507  0.00196803
          17    0.042852   0.0418155  0.00185333
          18    0.031864   0.0412627  0.00183097
          19     0.03948   0.0411688  0.00173701
          20     0.04778   0.0414994  0.00168131
          21    0.037144    0.041292  0.00161399
          22     0.04236   0.0413405  0.00154136
          23    0.035356   0.0410803  0.00149614
          24    0.038332   0.0409658  0.00143818
          25    0.052956   0.0414454  0.00145843
          26    0.045392   0.0415972  0.00141022
          27    0.057388   0.0421821  0.00147428
          28     0.03022   0.0417549  0.00148223
          29    0.042972   0.0417968  0.00143172
          30    0.046372   0.0419493  0.00139209
          31    0.041072    0.041921  0.00134747
          32    0.040552   0.0418782  0.00130604
          33    0.044984   0.0419724  0.00126985
          34    0.031752   0.0416718  0.00126758
          35     0.04198   0.0416806   0.0012314
          36    0.040448   0.0416463  0.00119767
          37       0.049   0.0418451  0.00118167
          38    0.034968   0.0416641  0.00116435
          39    0.033168   0.0414463   0.0011547
          40     0.03028   0.0411671  0.00115908
          41    0.048596   0.0413483  0.00114489
          42    0.038624   0.0412834  0.00111946
          43    0.038196   0.0412116  0.00109573
          44    0.048372   0.0413744  0.00108284
          45    0.042332   0.0413956  0.00105899
          46    0.046348   0.0415033  0.00104143
          47    0.062552   0.0419511   0.0011114
          48     0.03964    0.041903  0.00108929
          49    0.037696   0.0418171  0.00107044
          50    0.063924   0.0422593  0.00113668
          51    0.032484   0.0420676  0.00113043
          52     0.03046   0.0418444  0.00113052
          53    0.038664   0.0417844  0.00111078
          54     0.04342   0.0418147  0.00109062
          55    0.044708   0.0418673  0.00107206
          56    0.054084   0.0420854  0.00107488
          57    0.043732   0.0421143  0.00105641
          58    0.048144   0.0422183   0.0010433
          59    0.039716   0.0421759  0.00102648
          60     0.04482   0.0422199  0.00101032
          61    0.036752   0.0421303 0.000997725
          62     0.05102   0.0422737 0.000991882
          63      0.0363   0.0421789  0.00098066
          64    0.043348   0.0421971 0.000965507
          65     0.05134   0.0423378 0.000960845
          66    0.035448   0.0422334  0.00095194
          67     0.03284   0.0420932    0.000948
          68    0.035616   0.0419979 0.000938832
          69    0.048816   0.0420968 0.000930411
          70     0.04872   0.0421914 0.000921918
          71    0.035972   0.0421038 0.000913086
          72    0.037292   0.0420369 0.000902846
          73    0.038612     0.04199 0.000891697
          74       0.033   0.0418685 0.000887884
          75    0.060952    0.042123 0.000911776
          76    0.057908   0.0423307 0.000923132
          77    0.040996   0.0423134 0.000911306
          78    0.051248   0.0424279 0.000906793
          79    0.022992   0.0421819 0.000928089
          80    0.038464   0.0421354 0.000917651
          81    0.037124   0.0420735 0.000908405
          82     0.03594   0.0419987 0.000900401
          83    0.029612   0.0418495 0.000901836
          84      0.0463   0.0419025 0.000892655
          85     0.04542   0.0419439 0.000883112
          86    0.036768   0.0418837 0.000874892
          87    0.063336   0.0421303 0.000898912
          88    0.044084   0.0421525 0.000888971
          89    0.025228   0.0419623 0.000899092
          90    0.046516   0.0420129 0.000890524
          91    0.050476   0.0421059 0.000885581
          92      0.0457    0.042145 0.000876817
          93    0.039492   0.0421164 0.000867852
          94    0.025148   0.0419359 0.000877193
          95    0.043444   0.0419518 0.000868103
          96     0.04388   0.0419719 0.000859292
          97    0.044372   0.0419966  0.00085079
          98     0.02704    0.041844 0.000855688
          99    0.040584   0.0418313 0.000847139
         100    0.044568   0.0418586 0.000839109
