#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682344   -0.682344           0
           2   -0.684872   -0.683608 0.000893783
           3   -0.679176   -0.682131  0.00134538
           4   -0.683872   -0.682566  0.00107717
           5   -0.681848   -0.682422 0.000871254
           6    -0.67868   -0.681799 0.000922683
           7    -0.68032   -0.681587 0.000814693
           8   -0.681152   -0.681533 0.000714672
           9   -0.680696    -0.68144 0.000641286
          10   -0.683456   -0.681642 0.000608021
          11   -0.685392   -0.681983 0.000641252
          12   -0.683232   -0.682087 0.000596208
          13     -0.6846    -0.68228 0.000580847
          14   -0.678368   -0.682001 0.000602835
          15   -0.681256   -0.681951 0.000564686
          16   -0.689608    -0.68243  0.00070354
          17   -0.682632   -0.682441 0.000662256
          18   -0.682256   -0.682431 0.000625544
          19   -0.684216   -0.682525 0.000599633
          20   -0.680376   -0.682418 0.000579199
          21   -0.680904   -0.682346 0.000556085
          22   -0.677496   -0.682125 0.000572835
          23   -0.680808   -0.682068 0.000550784
          24   -0.686008   -0.682232  0.00055176
          25   -0.683152   -0.682269 0.000530915
          26      -0.684   -0.682335 0.000514654
          27   -0.676384   -0.682115 0.000540739
          28   -0.686392   -0.682268 0.000542573
          29   -0.683912   -0.682324 0.000526818
          30   -0.683696    -0.68237 0.000511237
          31   -0.683776   -0.682415 0.000496753
          32   -0.682328   -0.682413 0.000481237
          33   -0.680624   -0.682359 0.000469697
          34    -0.68348   -0.682392 0.000457039
          35   -0.681288    -0.68236 0.000445067
          36   -0.683968   -0.682405  0.00043494
          37   -0.682776   -0.682415   0.0004233
          38   -0.684264   -0.682463 0.000414949
          39      -0.681   -0.682426 0.000406002
          40   -0.678784   -0.682335 0.000405932
          41   -0.680024   -0.682278 0.000399925
          42   -0.683528   -0.682308 0.000391508
          43   -0.684192   -0.682352 0.000384846
          44     -0.6814    -0.68233 0.000376708
          45   -0.681744   -0.682317 0.000368562
          46      -0.682    -0.68231 0.000360614
          47   -0.682728   -0.682319 0.000353051
          48     -0.6798   -0.682267 0.000349575
          49    -0.68184   -0.682258  0.00034255
          50   -0.681976   -0.682252 0.000335745
          51   -0.685272   -0.682312 0.000334341
          52   -0.686016   -0.682383 0.000335415
          53   -0.686936   -0.682469  0.00033991
          54   -0.684992   -0.682516 0.000336811
          55   -0.681672     -0.6825 0.000331036
          56   -0.680704   -0.682468 0.000326675
          57    -0.68184   -0.682457  0.00032113
          58   -0.682432   -0.682457 0.000315594
          59   -0.684312   -0.682488 0.000311807
          60   -0.680984   -0.682463 0.000307617
          61    -0.68464   -0.682499 0.000304637
          62     -0.6798   -0.682455 0.000302817
          63   -0.681584   -0.682441 0.000298326
          64   -0.681448   -0.682426 0.000294068
          65   -0.684224   -0.682454 0.000290842
          66   -0.680864   -0.682429 0.000287431
          67   -0.683536   -0.682446 0.000283615
          68   -0.681168   -0.682427 0.000280066
          69   -0.682936   -0.682435 0.000276104
          70   -0.685704   -0.682481 0.000276082
          71   -0.678032   -0.682419 0.000279215
          72   -0.684336   -0.682445 0.000276604
          73    -0.68468   -0.682476 0.000274504
          74   -0.681832   -0.682467 0.000270932
          75    -0.68128   -0.682451 0.000267782
          76   -0.684408   -0.682477 0.000265493
          77   -0.679184   -0.682434 0.000265468
          78   -0.677352   -0.682369 0.000269942
          79   -0.682312   -0.682368 0.000266526
          80   -0.681728    -0.68236 0.000263315
          81   -0.681192   -0.682346 0.000260459
          82   -0.685104    -0.68238 0.000259445
          83    -0.67928   -0.682342 0.000258993
          84   -0.683432   -0.682355 0.000256234
          85   -0.684016   -0.682375 0.000253964
          86   -0.681192   -0.682361 0.000251383
          87    -0.68376   -0.682377 0.000249007
          88   -0.685368   -0.682411 0.000248486
          89   -0.681496   -0.682401 0.000245907
          90    -0.68128   -0.682388 0.000243489
          91   -0.685512   -0.682423 0.000243221
          92   -0.678272   -0.682378 0.000244726
          93   -0.683952   -0.682394  0.00024268
          94   -0.682704   -0.682398  0.00024012
          95   -0.679368   -0.682366 0.000239701
          96    -0.68124   -0.682354 0.000237491
          97   -0.677856   -0.682308 0.000239527
          98   -0.680112   -0.682285 0.000238129
          99    -0.68096   -0.682272   0.0002361
         100   -0.678408   -0.682233 0.000236879
