#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.400234    0.400234           0
           2    0.399739    0.399986 0.000175163
           3    0.407887     0.40262  0.00215335
           4    0.393362    0.400305  0.00257405
           5    0.388442    0.397933  0.00295706
           6    0.394585    0.397375  0.00251631
           7    0.392811    0.396723  0.00223969
           8    0.410119    0.398397  0.00250878
           9    0.391891    0.397674  0.00233185
          10    0.397773    0.397684  0.00209869
          11     0.40233    0.398107  0.00194993
          12     0.39241    0.397632  0.00184432
          13    0.387775    0.396874  0.00185177
          14    0.389024    0.396313  0.00180239
          15    0.397304    0.396379  0.00168345
          16    0.398754    0.396527  0.00158476
          17    0.409882    0.397313  0.00167496
          18    0.397069    0.397299  0.00158196
          19    0.410409    0.397989  0.00164228
          20    0.394238    0.397802  0.00157085
          21    0.393787    0.397611  0.00150763
          22    0.413141    0.398317  0.00159583
          23    0.396156    0.398223  0.00152921
          24    0.406782    0.398579  0.00150651
          25    0.400977    0.398675   0.0014493
          26      0.4103    0.399122   0.0014609
          27    0.380613    0.398437  0.00155936
          28    0.405416    0.398686  0.00152345
          29    0.415451    0.399264   0.0015768
          30    0.386909    0.398852   0.0015771
          31    0.395422    0.398742  0.00153011
          32    0.405889    0.398965   0.0014985
          33    0.401929    0.399055  0.00145578
          34    0.397432    0.399007  0.00141375
          35    0.398641    0.398997   0.0013734
          36    0.390464     0.39876  0.00135554
          37    0.389804    0.398518  0.00134034
          38    0.398252    0.398511  0.00130508
          39    0.404992    0.398677  0.00128216
          40    0.406573    0.398874  0.00126521
          41    0.410809    0.399165   0.0012674
          42    0.388779    0.398918  0.00126112
          43    0.390692    0.398727  0.00124621
          44    0.393569    0.398609  0.00122339
          45    0.403251    0.398713  0.00120054
          46    0.399074     0.39872  0.00117447
          47    0.405382    0.398862    0.001158
          48    0.408648    0.399066  0.00115168
          49    0.394008    0.398963   0.0011328
          50    0.409058    0.399165  0.00112799
          51    0.394819     0.39908  0.00110908
          52    0.384057    0.398791  0.00112475
          53    0.403023     0.39887  0.00110636
          54    0.396062    0.398818   0.0010871
          55    0.387316    0.398609  0.00108726
          56    0.400609    0.398645  0.00106843
          57    0.395531     0.39859  0.00105109
          58    0.393952     0.39851    0.001036
          59    0.418729    0.398853  0.00107362
          60    0.398593    0.398849  0.00105574
          61    0.390766    0.398716  0.00104671
          62    0.421993    0.399092  0.00109509
          63    0.391589    0.398973  0.00108417
          64    0.395078    0.398912  0.00106893
          65    0.392974     0.39882  0.00105638
          66    0.394468    0.398754  0.00104243
          67    0.395931    0.398712  0.00102773
          68    0.400608     0.39874  0.00101299
          69    0.400514    0.398766 0.000998637
          70    0.383546    0.398548  0.00100776
          71    0.395805     0.39851 0.000994308
          72    0.409471    0.398662 0.000992083
          73    0.399243     0.39867 0.000978525
          74    0.390796    0.398564  0.00097107
          75     0.39198    0.398476 0.000962083
          76     0.39336    0.398409 0.000951776
          77    0.398477    0.398409 0.000939415
          78    0.383762    0.398222 0.000945955
          79     0.40213    0.398271 0.000935273
          80     0.39614    0.398244 0.000923961
          81    0.391243    0.398158 0.000916589
          82     0.40925    0.398293 0.000915338
          83     0.40266    0.398346  0.00090582
          84    0.392284    0.398274 0.000897906
          85    0.400535      0.3983 0.000887736
          86    0.401073    0.398333 0.000877999
          87    0.407609    0.398439 0.000874358
          88    0.402404    0.398484 0.000865582
          89    0.404902    0.398556 0.000858855
          90    0.395637    0.398524 0.000849924
          91     0.39368    0.398471  0.00084225
          92     0.39259    0.398407 0.000835517
          93    0.384396    0.398256 0.000840005
          94    0.402268    0.398299 0.000832152
          95     0.40053    0.398322 0.000823724
          96    0.396761    0.398306 0.000815304
          97    0.389849    0.398219 0.000811547
          98    0.390996    0.398145 0.000806606
          99    0.413309    0.398298 0.000812871
         100    0.390009    0.398215 0.000808958
