#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.24876     0.24876           0
           2    0.197636    0.223198   0.0180751
           3    0.182512    0.209636   0.0163653
           4    0.234972     0.21597   0.0134439
           5    0.185328    0.209842   0.0120714
           6    0.213048    0.210376   0.0100713
           7     0.21402    0.210897  0.00864602
           8     0.17068    0.205869  0.00890762
           9    0.195468    0.204714  0.00799251
          10    0.188204    0.203063   0.0073618
          11     0.14666    0.197935  0.00828804
          12    0.178584    0.196323  0.00775267
          13    0.138452    0.191871  0.00833697
          14    0.215084    0.193529  0.00790463
          15    0.204092    0.194233  0.00740895
          16    0.242836    0.197271  0.00754295
          17    0.235492    0.199519  0.00742677
          18     0.19122    0.199058  0.00702846
          19     0.20976    0.199621  0.00668108
          20    0.222228    0.200752  0.00644193
          21    0.184676    0.199986  0.00618049
          22      0.2166    0.200741  0.00594551
          23    0.199936    0.200706  0.00568712
          24    0.200424    0.200695  0.00545016
          25    0.205512    0.200887  0.00523556
          26    0.213048    0.201355  0.00505504
          27       0.177    0.200453  0.00494765
          28     0.22558     0.20135  0.00485165
          29    0.163752    0.200054  0.00485449
          30     0.15644      0.1986  0.00490553
          31    0.189168    0.198296  0.00475672
          32    0.181972    0.197786  0.00463534
          33    0.203808    0.197968  0.00449847
          34    0.253564    0.199603  0.00465387
          35    0.207504    0.199829  0.00452637
          36     0.19848    0.199792  0.00440079
          37    0.217424    0.200268  0.00430758
          38     0.14798    0.198892  0.00440852
          39    0.262324    0.200519  0.00458571
          40    0.226284    0.201163  0.00451608
          41     0.19796    0.201085   0.0044066
          42    0.222372    0.201592  0.00433073
          43    0.198496     0.20152  0.00423062
          44     0.24122    0.202422  0.00422959
          45    0.207096    0.202526  0.00413687
          46    0.244696    0.203442  0.00414728
          47    0.185692    0.203065   0.0040762
          48    0.182304    0.202632  0.00401416
          49     0.22088    0.203005  0.00394947
          50      0.2353    0.203651  0.00392294
          51    0.229436    0.204156  0.00387847
          52     0.21824    0.204427  0.00381333
          53     0.23708    0.205043  0.00379082
          54    0.185116    0.204674  0.00373854
          55     0.19764    0.204546  0.00367275
          56    0.187316    0.204238  0.00362003
          57    0.176472    0.203751  0.00358915
          58    0.215992    0.203962  0.00353346
          59    0.175408    0.203478  0.00350656
          60    0.206256    0.203525  0.00344843
          61    0.218108    0.203764  0.00340017
          62     0.24724    0.204465  0.00341687
          63    0.191328    0.204257  0.00336899
          64    0.204288    0.204257  0.00331635
          65    0.242432    0.204844  0.00331693
          66    0.226248    0.205169  0.00328249
          67    0.215584    0.205324  0.00323717
          68    0.223896    0.205597  0.00320107
          69    0.228712    0.205932  0.00317216
          70    0.239552    0.206412  0.00316299
          71    0.238196     0.20686  0.00314996
          72      0.2069    0.206861  0.00310621
          73     0.16042    0.206224  0.00312813
          74    0.164996    0.205667  0.00313508
          75    0.231072    0.206006  0.00311152
          76    0.213068    0.206099  0.00307197
          77     0.18408    0.205813  0.00304535
          78     0.20012     0.20574  0.00300719
          79      0.2762    0.206632  0.00309856
          80    0.170472     0.20618  0.00309262
          81      0.2008    0.206114  0.00305515
          82    0.220576     0.20629  0.00302298
          83    0.206928    0.206298  0.00298657
          84    0.170384     0.20587  0.00298146
          85       0.282    0.206766  0.00307798
          86    0.169336     0.20633   0.0030728
          87      0.1942    0.206191  0.00304064
          88    0.229772    0.206459  0.00301788
          89    0.186988     0.20624  0.00299189
          90    0.159144    0.205717  0.00300406
          91    0.226396    0.205944  0.00297963
          92     0.16218    0.205468  0.00298497
          93     0.20524    0.205466  0.00295288
          94    0.170684    0.205096  0.00294456
          95      0.2209    0.205262  0.00291826
          96    0.181276    0.205013  0.00289853
          97     0.22872    0.205257  0.00287894
          98     0.19118    0.205113  0.00285314
          99     0.19308    0.204992  0.00282691
         100    0.206336    0.205005  0.00279867
