#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.051132    0.051132           0
           2    0.039008     0.04507  0.00428648
           3      0.0439     0.04468  0.00287534
           4    0.053416    0.046864  0.00286843
           5    0.058508   0.0491928  0.00309911
           6    0.048348    0.049052  0.00258579
           7     0.03382    0.046876  0.00299515
           8    0.046404    0.046817  0.00262134
           9    0.053624   0.0475733  0.00243675
          10    0.036696   0.0464856  0.00242372
          11    0.046836   0.0465175  0.00220359
          12    0.044212   0.0463253  0.00202832
          13    0.054708   0.0469702  0.00197213
          14    0.051384   0.0472854  0.00185629
          15    0.052096   0.0476061  0.00176003
          16     0.05568   0.0481108  0.00172084
          17    0.054088   0.0484624  0.00165515
          18     0.05382     0.04876  0.00158973
          19    0.047112   0.0486733  0.00150843
          20    0.043096   0.0483944  0.00145855
          21    0.032412   0.0476333  0.00157519
          22    0.051872    0.047826  0.00151533
          23    0.048604   0.0478598  0.00144983
          24    0.037992   0.0474487  0.00144654
          25    0.049152   0.0475168  0.00139028
          26    0.064096   0.0481545  0.00147582
          27     0.04344   0.0479799  0.00143145
          28    0.036816   0.0475811  0.00143478
          29    0.050608   0.0476855   0.0013891
          30    0.049524   0.0477468  0.00134414
          31    0.064728   0.0482946  0.00140799
          32    0.051568   0.0483969   0.0013677
          33    0.040668   0.0481627  0.00134616
          34    0.056744   0.0484151  0.00133001
          35    0.041444   0.0482159  0.00130684
          36    0.051352    0.048303  0.00127344
          37    0.043348   0.0481691  0.00124604
          38     0.05136   0.0482531  0.00121608
          39    0.049348   0.0482811  0.00118522
          40     0.05604   0.0484751  0.00117136
          41    0.045972    0.048414  0.00114438
          42    0.042272   0.0482678  0.00112644
          43    0.075032   0.0488902  0.00126053
          44    0.055964    0.049051  0.00124209
          45    0.055908   0.0492034   0.0012238
          46    0.042192    0.049051  0.00120665
          47    0.044588    0.048956   0.0011847
          48     0.04654   0.0489057  0.00116109
          49    0.058632   0.0491042  0.00115424
          50    0.052248    0.049167  0.00113287
          51    0.066964    0.049516  0.00116316
          52    0.049348   0.0495128  0.00114079
          53    0.055404   0.0496239  0.00112467
          54    0.043328   0.0495073  0.00110987
          55    0.055604   0.0496182  0.00109521
          56    0.046904   0.0495697  0.00107673
          57    0.041312   0.0494248  0.00106754
          58    0.029544   0.0490821  0.00110279
          59    0.044924   0.0490116  0.00108635
          60    0.063416   0.0492517  0.00109445
          61    0.065084   0.0495112  0.00110685
          62    0.056032   0.0496164  0.00109399
          63    0.051756   0.0496503  0.00107715
          64      0.0534   0.0497089  0.00106191
          65    0.060572   0.0498761  0.00105864
          66    0.054128   0.0499405  0.00104456
          67     0.06334   0.0501405  0.00104794
          68    0.053164   0.0501849  0.00103347
          69    0.051896   0.0502097  0.00101879
          70    0.053224   0.0502528  0.00100515
          71    0.059136   0.0503779 0.000998748
          72    0.054352   0.0504331 0.000986401
          73      0.0567    0.050519 0.000976617
          74    0.045576   0.0504522 0.000965701
          75    0.042584   0.0503473 0.000958507
          76    0.050036   0.0503432 0.000945904
          77    0.054512   0.0503973 0.000935167
          78    0.050652   0.0504006 0.000923184
          79    0.060168   0.0505242  0.00091974
          80     0.04856   0.0504997 0.000908571
          81    0.045724   0.0504407 0.000899265
          82     0.04564   0.0503821 0.000890202
          83    0.071416   0.0506356 0.000914837
          84    0.046104   0.0505816 0.000905535
          85    0.060852   0.0507024 0.000902907
          86      0.0484   0.0506757 0.000892805
          87    0.058212   0.0507623 0.000886735
          88     0.05068   0.0507614 0.000876659
          89    0.057036   0.0508319 0.000869639
          90    0.048028   0.0508007 0.000860535
          91     0.04772   0.0507669 0.000851744
          92    0.052272   0.0507832 0.000842643
          93    0.040364   0.0506712 0.000840997
          94     0.05008   0.0506649 0.000832074
          95    0.058328   0.0507456 0.000827216
          96    0.051268    0.050751 0.000818617
          97      0.0479   0.0507216 0.000810705
          98    0.046124   0.0506747 0.000803789
          99    0.057556   0.0507442 0.000798669
         100     0.04638   0.0507006 0.000791874
