#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04842     0.04842           0
           2    0.051832    0.050126  0.00120632
           3    0.028236   0.0428293  0.00601174
           4    0.040144    0.042158  0.00454613
           5    0.058804   0.0454872  0.00470042
           6       0.045    0.045406  0.00391772
           7    0.040972   0.0447726  0.00340887
           8     0.05114   0.0455685  0.00307427
           9    0.044832   0.0454867  0.00273378
          10    0.054656   0.0464036  0.00260965
          11    0.020704   0.0440673  0.00325431
          12    0.018472   0.0419343  0.00361515
          13    0.047592   0.0423695  0.00336315
          14     0.04662   0.0426731   0.0031366
          15    0.042172   0.0426397  0.00292767
          16    0.049472   0.0430667  0.00277566
          17    0.044264   0.0431372  0.00261328
          18    0.044228   0.0431978   0.0024688
          19     0.04862   0.0434832   0.0023553
          20    0.051872   0.0439026  0.00227458
          21    0.036684   0.0435589  0.00219208
          22    0.052512   0.0439658  0.00212988
          23     0.06836   0.0450264  0.00228616
          24     0.05082   0.0452678  0.00220361
          25    0.051256   0.0455074  0.00212844
          26    0.044652   0.0454745  0.00204683
          27    0.037796   0.0451901  0.00199068
          28    0.042488   0.0450936  0.00192192
          29    0.043344   0.0450332   0.0018566
          30    0.036568   0.0447511  0.00181603
          31    0.043224   0.0447018  0.00175811
          32    0.036288   0.0444389  0.00172272
          33    0.035356   0.0441636  0.00169236
          34     0.03492   0.0438918  0.00166428
          35    0.047848   0.0440048  0.00162056
          36    0.052744   0.0442476  0.00159363
          37    0.051476   0.0444429  0.00156248
          38     0.05984   0.0448481  0.00157303
          39    0.053544   0.0450711  0.00154841
          40    0.041864   0.0449909  0.00151178
          41     0.03818   0.0448248    0.001484
          42    0.041624   0.0447486  0.00145063
          43     0.03564   0.0445367  0.00143227
          44    0.040176   0.0444376  0.00140315
          45    0.055528   0.0446841  0.00139344
          46     0.04418   0.0446731  0.00136319
          47    0.052016   0.0448294  0.00134311
          48    0.051692   0.0449723  0.00132272
          49    0.036196   0.0447932  0.00130779
          50    0.037448   0.0446463  0.00128986
          51     0.04078   0.0445705   0.0012668
          52    0.049152   0.0446586   0.0012455
          53    0.040308   0.0445765   0.0012247
          54    0.029512   0.0442976  0.00123338
          55    0.027996   0.0440012  0.00124606
          56    0.036508   0.0438674  0.00123097
          57     0.05332   0.0440332   0.0012205
          58     0.04066    0.043975  0.00120084
          59    0.037732   0.0438692  0.00118514
          60    0.040856    0.043819  0.00116645
          61    0.050196   0.0439235    0.001152
          62    0.043956   0.0439241  0.00113342
          63    0.041088    0.043879  0.00111632
          64    0.034616   0.0437343  0.00110822
          65    0.034992   0.0435998  0.00109931
          66     0.03812   0.0435168  0.00108578
          67    0.044372   0.0435296  0.00106965
          68    0.041452    0.043499  0.00105436
          69    0.042404   0.0434831   0.0010392
          70    0.046176   0.0435216  0.00102506
          71      0.0614   0.0437734  0.00104109
          72    0.041832   0.0437464  0.00102698
          73    0.053152   0.0438753  0.00102096
          74    0.049616   0.0439529  0.00101011
          75     0.04336    0.043945 0.000996674
          76    0.048348   0.0440029 0.000985242
          77    0.042472    0.043983 0.000972647
          78    0.044804   0.0439935 0.000960235
          79    0.047152   0.0440335 0.000948912
          80    0.050848   0.0441187 0.000940866
          81    0.040084   0.0440689 0.000930568
          82    0.036584   0.0439776 0.000923685
          83    0.051172   0.0440643 0.000916614
          84    0.056156   0.0442082 0.000916936
          85    0.046012   0.0442295 0.000906394
          86    0.034956   0.0441216 0.000902246
          87    0.038896   0.0440616 0.000893872
          88    0.041392   0.0440312 0.000884229
          89    0.059996   0.0442106 0.000892304
          90    0.033132   0.0440875 0.000890839
          91     0.05442   0.0442011 0.000888256
          92    0.042788   0.0441857 0.000878734
          93    0.044764   0.0441919 0.000869307
          94     0.04646    0.044216 0.000860394
          95    0.050704   0.0442843 0.000854044
          96    0.047804    0.044321 0.000845934
          97    0.056804   0.0444497 0.000846945
          98     0.04842   0.0444902 0.000839271
          99    0.044796   0.0444933   0.0008308
         100     0.04228   0.0444712 0.000822786
