#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.113608    0.113608           0
           2    0.090924    0.102266  0.00802001
           3    0.125748    0.110093  0.00833257
           4    0.095332    0.106403   0.0070192
           5     0.08162    0.101446  0.00715448
           6    0.105924    0.102193  0.00600086
           7    0.123052    0.105173  0.00583677
           8     0.13702    0.109154   0.0063206
           9     0.09128    0.107168   0.0059221
          10    0.109844    0.107435  0.00533593
          11    0.112096    0.107859  0.00486764
          12    0.079336    0.105482  0.00500883
          13    0.116736    0.106348  0.00469775
          14    0.090084    0.105186  0.00450354
          15    0.117904    0.106034  0.00428237
          16    0.118108    0.106789  0.00408067
          17    0.121512    0.107655  0.00393147
          18      0.1176    0.108207  0.00375168
          19     0.13302    0.109513  0.00377468
          20    0.105904    0.109333  0.00359026
          21    0.130256    0.110329  0.00355486
          22    0.112424    0.110424  0.00339455
          23    0.102048     0.11006  0.00326644
          24     0.08314    0.108938  0.00331733
          25    0.108492     0.10892  0.00318469
          26    0.086756    0.108068  0.00317425
          27    0.127168    0.108775  0.00313452
          28      0.1316    0.109591  0.00312677
          29    0.118976    0.109914  0.00303565
          30    0.080148    0.108922  0.00309237
          31      0.1134    0.109066  0.00299599
          32    0.120528    0.109425  0.00292369
          33    0.108212    0.109388  0.00283533
          34    0.109028    0.109377  0.00275196
          35      0.1119    0.109449  0.00267427
          36    0.113312    0.109557  0.00260214
          37    0.106936    0.109486  0.00253277
          38    0.131216    0.110058  0.00252985
          39    0.108856    0.110027  0.00246517
          40      0.1363    0.110684  0.00248951
          41    0.111984    0.110715  0.00242899
          42    0.114536    0.110806  0.00237286
          43     0.12368    0.111106  0.00233649
          44    0.096132    0.110765  0.00230804
          45    0.108552    0.110716  0.00225727
          46    0.124776    0.111022   0.0022288
          47     0.10212    0.110833  0.00218941
          48    0.127644    0.111183  0.00217163
          49    0.141272    0.111797  0.00221243
          50    0.132112    0.112203  0.00220517
          51     0.10468    0.112056  0.00216686
          52    0.148456    0.112756   0.0022354
          53    0.095744    0.112435  0.00221615
          54    0.100248    0.112209  0.00218657
          55    0.100768    0.112001  0.00215669
          56     0.12118    0.112165  0.00212439
          57     0.12344    0.112363  0.00209631
          58    0.129644    0.112661  0.00208124
          59    0.086856    0.112223  0.00209141
          60    0.094836    0.111933  0.00207653
          61    0.126572    0.112173  0.00205631
          62      0.1332    0.112513  0.00205092
          63    0.105256    0.112397   0.0020216
          64     0.14004    0.112829  0.00203563
          65    0.086384    0.112422  0.00204456
          66    0.091448    0.112105  0.00203813
          67    0.119936    0.112222  0.00201106
          68    0.110116    0.112191  0.00198173
          69    0.137392    0.112556  0.00198638
          70    0.100316    0.112381  0.00196568
          71    0.096412    0.112156  0.00195082
          72    0.086604    0.111801  0.00195574
          73    0.101572    0.111661  0.00193396
          74     0.09148    0.111388  0.00192696
          75    0.134076    0.111691  0.00192487
          76     0.11324    0.111711  0.00189965
          77    0.108976    0.111676  0.00187531
          78     0.12648    0.111865  0.00186085
          79    0.130988    0.112108  0.00185297
          80    0.103532       0.112   0.0018329
          81    0.127432    0.112191  0.00182015
          82    0.106144    0.112117  0.00179945
          83    0.132968    0.112368  0.00179522
          84    0.107896    0.112315  0.00177463
          85    0.112844    0.112321  0.00175377
          86    0.073356    0.111868  0.00179094
          87    0.135196    0.112136  0.00179032
          88    0.133624    0.112381  0.00178655
          89    0.100668    0.112249  0.00177131
          90    0.116148    0.112292  0.00175216
          91    0.104044    0.112202  0.00173525
          92    0.120632    0.112293  0.00171881
          93    0.108604    0.112254  0.00170078
          94    0.128412    0.112425  0.00169136
          95    0.125348    0.112562  0.00167901
          96    0.131356    0.112757   0.0016729
          97    0.089536    0.112518  0.00167269
          98    0.116276    0.112556  0.00165606
          99    0.113404    0.112565  0.00163936
         100     0.12062    0.112645  0.00162494
