#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.9519     15.9519           0
           2      14.008     14.9799    0.687265
           3     13.9511      14.637    0.536961
           4     14.3517     14.5657    0.407429
           5     15.5982     14.7722    0.374637
           6     13.8255     14.6144    0.343819
           7     15.0832     14.6814    0.301154
           8     16.6163     14.9232    0.347312
           9     13.9324     14.8132    0.325703
          10     15.1719      14.849    0.295102
          11     14.4423     14.8121    0.270581
          12     14.3067     14.7699    0.251289
          13     16.4245     14.8972    0.262217
          14     15.0747     14.9099    0.243793
          15     16.4786     15.0145    0.248964
          16     16.2559     15.0921    0.245197
          17     13.7698     15.0143    0.242797
          18      14.647     14.9939    0.230164
          19     14.4863     14.9672    0.219595
          20       15.47     14.9923     0.21005
          21     15.9234     15.0366    0.204674
          22     17.8833      15.166    0.232703
          23     13.9853     15.1147    0.228178
          24     15.7604     15.1416    0.220251
          25     16.5022      15.196    0.218061
          26       14.67     15.1758    0.210611
          27     16.2829     15.2168    0.206763
          28     15.5126     15.2274    0.199649
          29     15.7316     15.2448     0.19352
          30     15.2855     15.2461    0.187074
          31     15.9853       15.27    0.182553
          32     16.8038     15.3179    0.183032
          33     15.5684     15.3255    0.177643
          34     15.6099     15.3338    0.172615
          35     15.0489     15.3257    0.167875
          36     12.8665     15.2574    0.176565
          37     15.7279     15.2701     0.17225
          38     14.4557     15.2487    0.169045
          39     15.0722     15.2442    0.164771
          40     16.0566     15.2645    0.161899
          41      13.512     15.2217    0.163495
          42     14.1754     15.1968     0.16149
          43     13.9021     15.1667    0.160516
          44     14.4515     15.1504    0.157689
          45     16.2692     15.1753    0.156132
          46     14.8851      15.169    0.152866
          47     15.8062     15.1826    0.150213
          48     16.3552      15.207    0.149057
          49     14.4544     15.1916    0.146804
          50     15.1486     15.1908    0.143871
          51     15.4235     15.1953    0.141122
          52     15.2385     15.1962    0.138411
          53     14.6776     15.1864    0.136145
          54      14.453     15.1728    0.134299
          55     15.2748     15.1746     0.13187
          56     16.8112     15.2039    0.132714
          57     14.0974     15.1845    0.131798
          58      13.366     15.1531    0.133202
          59     14.4498     15.1412    0.131477
          60     15.6341     15.1494    0.129542
          61     16.4806     15.1712    0.129243
          62     14.6851     15.1634    0.127396
          63     15.5272     15.1692    0.125505
          64     15.5992     15.1759    0.123724
          65     16.1267     15.1905    0.122682
          66     15.7783     15.1994    0.121146
          67     15.8166     15.2086    0.119688
          68     15.1208     15.2073    0.117935
          69     14.2282     15.1931    0.117076
          70     15.2099     15.1934    0.115404
          71     15.2078     15.1936    0.113778
          72     15.4765     15.1975    0.112266
          73     14.6042     15.1894    0.111022
          74     16.9379      15.213    0.112008
          75     15.9418     15.2227    0.110935
          76     16.1168     15.2345    0.110098
          77     16.0132     15.2446    0.109131
          78     14.8569     15.2396    0.107845
          79     15.1434     15.2384    0.106487
          80      15.282      15.239    0.105157
          81     14.2439     15.2267    0.104574
          82      14.407     15.2167    0.103775
          83     16.4303     15.2313     0.10355
          84     14.6641     15.2246    0.102537
          85     14.1922     15.2124    0.102048
          86     14.0619      15.199    0.101734
          87     14.5901      15.192    0.100805
          88     15.1776     15.1919     0.09966
          89     14.5683     15.1849   0.0987862
          90     14.9745     15.1825   0.0977162
          91     15.0223     15.1808   0.0966582
          92     15.6498     15.1859    0.095742
          93     14.5729     15.1793   0.0949391
          94     17.1682     15.2004   0.0962579
          95     15.6238     15.2049   0.0953478
          96     15.8827      15.212   0.0946156
          97     14.7436     15.2071   0.0937633
          98     15.6724     15.2119   0.0929267
          99     14.1239     15.2009   0.0926356
         100     14.0896     15.1898   0.0923734
