#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      7.9887      7.9887           0
           2     8.12632     8.05751   0.0486574
           3     6.92611     7.68038    0.309631
           4     7.77626     7.70435    0.233149
           5     7.25309     7.61409    0.203238
           6     7.18996     7.54341    0.181242
           7     6.98154     7.46314    0.172209
           8     7.36607     7.45101     0.15111
           9     7.87514     7.49813    0.141478
          10     7.51562     7.49988    0.127341
          11     6.88644     7.44411    0.127392
          12     7.11793     7.41693    0.119641
          13     7.25801     7.40471     0.11106
          14     7.53469     7.41399    0.103515
          15     7.07963      7.3917   0.0989847
          16     6.94046      7.3635   0.0967325
          17     7.37802     7.36435   0.0910461
          18     7.89013     7.39356   0.0905525
          19     8.24654     7.43845   0.0962739
          20     8.15346      7.4742   0.0978731
          21     7.02483     7.45281   0.0955231
          22     7.86953     7.47175   0.0930402
          23     7.08665       7.455   0.0904891
          24     7.40966     7.45312   0.0867384
          25     7.16654     7.44165   0.0840229
          26     7.35432     7.43829   0.0808583
          27     7.97748     7.45826   0.0802917
          28     7.59434     7.46312   0.0775711
          29     7.40706     7.46119   0.0749203
          30      7.1582     7.45109   0.0731006
          31     7.63122      7.4569   0.0709731
          32      7.5513     7.45985   0.0688164
          33      6.9621     7.44477   0.0683641
          34     7.61266     7.44971   0.0665315
          35     7.91202     7.46291   0.0659288
          36     7.64926     7.46809   0.0643003
          37     7.08608     7.45777    0.063386
          38     6.85664     7.44195   0.0636613
          39     7.22781     7.43646   0.0622653
          40     6.75618     7.41945   0.0629884
          41      7.6233     7.42442   0.0616481
          42     6.96746     7.41354   0.0611328
          43     7.44818     7.41435   0.0597164
          44     7.63091     7.41927   0.0585617
          45     7.38624     7.41854   0.0572649
          46     6.75009       7.404   0.0578344
          47     7.03343     7.39612   0.0571388
          48     6.81834     7.38408   0.0572022
          49     7.03783     7.37702   0.0564696
          50     7.71997     7.38388   0.0557552
          51     6.99094     7.37617   0.0551918
          52     7.53682     7.37926   0.0542168
          53     7.36183     7.37893   0.0531948
          54     7.12377     7.37421   0.0524192
          55     7.47062     7.37596   0.0514954
          56      7.6759     7.38132   0.0508536
          57     7.38691     7.38141   0.0499615
          58     7.52542      7.3839   0.0491618
          59     6.96362     7.37677   0.0488419
          60       7.505     7.37891   0.0480746
          61     7.00742     7.37282   0.0476706
          62     7.77054     7.37923   0.0473314
          63     7.71898     7.38463   0.0468863
          64     7.89563     7.39261   0.0468286
          65     7.42656     7.39313   0.0461111
          66     7.09002     7.38854   0.0456406
          67     7.73818     7.39376   0.0452567
          68     7.82668     7.40013   0.0450368
          69     7.71319     7.40466    0.044612
          70     7.43496      7.4051   0.0439768
          71      7.6511     7.40856   0.0434937
          72     7.62774     7.41161    0.042996
          73     7.08395     7.40712   0.0426407
          74      7.1888     7.40417   0.0421664
          75     7.16055     7.40092   0.0417291
          76       7.704     7.40491   0.0413701
          77     6.68822      7.3956   0.0418668
          78     7.57817     7.39794   0.0413954
          79     7.63019     7.40088   0.0409757
          80     7.68006     7.40437   0.0406118
          81     7.82326     7.40954   0.0404384
          82     7.16087     7.40651   0.0400587
          83      7.7311     7.41042   0.0397666
          84      7.3523     7.40973   0.0392992
          85     7.49698     7.41075   0.0388502
          86     7.23849     7.40875   0.0384501
          87     7.59105     7.41085   0.0380652
          88     6.99698     7.40614    0.037922
          89     7.09511     7.40265   0.0376566
          90     7.26118     7.40108    0.037271
          91     7.14754     7.39829   0.0369654
          92     7.24403     7.39661   0.0366017
          93     7.66765     7.39953   0.0363239
          94     7.37619     7.39928   0.0359383
          95     7.49099     7.40024    0.035573
          96     7.51168     7.40141   0.0352214
          97     7.72395     7.40473   0.0350149
          98     6.92798     7.39987   0.0349939
          99     7.43627     7.40023   0.0346424
         100     7.13585     7.39759   0.0343967
