#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.851952   -0.851952           0
           2   -0.848504   -0.850228  0.00121905
           3   -0.844152   -0.848203  0.00184259
           4   -0.843224   -0.846958  0.00175261
           5    -0.84816   -0.847198  0.00141848
           6   -0.844008   -0.846667  0.00127785
           7   -0.847392    -0.84677  0.00109949
           8   -0.852304   -0.847462   0.0011594
           9    -0.84448   -0.847131  0.00107688
          10    -0.84976   -0.847394  0.00100078
          11   -0.844072   -0.847092 0.000954269
          12   -0.842528   -0.846711 0.000947502
          13   -0.851704   -0.847095 0.000949265
          14   -0.851816   -0.847433  0.00093944
          15   -0.850136   -0.847613 0.000893931
          16   -0.850984   -0.847824 0.000862534
          17   -0.846248   -0.847731 0.000816761
          18   -0.850048    -0.84786 0.000781464
          19   -0.848512   -0.847894 0.000741088
          20   -0.851208    -0.84806 0.000722322
          21   -0.849176   -0.848113 0.000689879
          22    -0.85188   -0.848284 0.000679441
          23   -0.842896    -0.84805 0.000689102
          24    -0.85268   -0.848243 0.000686866
          25   -0.851128   -0.848358 0.000669017
          26   -0.849656   -0.848408 0.000645146
          27   -0.851936   -0.848539 0.000634346
          28   -0.847312   -0.848495 0.000613202
          29   -0.851016   -0.848582 0.000598188
          30    -0.85004    -0.84863  0.00058022
          31   -0.849728   -0.848666 0.000562582
          32   -0.852528   -0.848787 0.000557798
          33   -0.847384   -0.848744 0.000542511
          34   -0.847768   -0.848715 0.000527314
          35   -0.848256   -0.848702 0.000512411
          36   -0.842584   -0.848532 0.000525606
          37   -0.846808   -0.848486 0.000513462
          38   -0.849392   -0.848509 0.000500503
          39   -0.846432   -0.848456 0.000490496
          40   -0.852376   -0.848554 0.000487925
          41   -0.845264   -0.848474 0.000482578
          42   -0.845352     -0.8484 0.000476779
          43   -0.846936   -0.848366 0.000466904
          44   -0.846816    -0.84833 0.000457619
          45   -0.850184   -0.848372   0.0004493
          46   -0.847312   -0.848349 0.000440123
          47    -0.84848   -0.848351 0.000430767
          48   -0.849664   -0.848379  0.00042266
          49   -0.847112   -0.848353 0.000414824
          50    -0.84932   -0.848372 0.000406978
          51   -0.849656   -0.848397 0.000399776
          52    -0.84856     -0.8484   0.0003921
          53   -0.847456   -0.848383 0.000385107
          54   -0.849048   -0.848395 0.000378172
          55   -0.849928   -0.848423 0.000372322
          56   -0.853784   -0.848519 0.000377781
          57   -0.845288   -0.848462 0.000375381
          58   -0.846808   -0.848433  0.00036999
          59   -0.846576   -0.848402 0.000365056
          60   -0.847624   -0.848389 0.000359202
          61      -0.852   -0.848448 0.000358158
          62   -0.849496   -0.848465  0.00035278
          63   -0.851912    -0.84852 0.000351398
          64   -0.851272   -0.848563 0.000348529
          65   -0.849224   -0.848573 0.000343315
          66   -0.849856   -0.848592 0.000338663
          67    -0.84836   -0.848589 0.000333626
          68   -0.848104   -0.848582 0.000328796
          69   -0.843336   -0.848506 0.000332705
          70    -0.84876   -0.848509 0.000327971
          71   -0.849448   -0.848523 0.000323618
          72   -0.846144    -0.84849 0.000320806
          73   -0.848784   -0.848494 0.000316436
          74   -0.848392   -0.848492 0.000312163
          75   -0.847688   -0.848481 0.000308185
          76   -0.848128   -0.848477 0.000304165
          77   -0.850272     -0.8485 0.000301107
          78    -0.84776   -0.848491 0.000297396
          79   -0.849056   -0.848498 0.000293718
          80   -0.845984   -0.848466 0.000291722
          81     -0.8486   -0.848468 0.000288125
          82   -0.842856     -0.8484 0.000292627
          83   -0.847744   -0.848392 0.000289208
          84   -0.844504   -0.848345 0.000289445
          85    -0.84556   -0.848313 0.000287889
          86   -0.846064   -0.848287 0.000285726
          87    -0.84564   -0.848256 0.000284057
          88   -0.848352   -0.848257 0.000280831
          89   -0.846984   -0.848243 0.000278039
          90   -0.846984   -0.848229 0.000275302
          91   -0.850856   -0.848258 0.000273786
          92   -0.848624   -0.848262 0.000270839
          93   -0.846192   -0.848239  0.00026884
          94    -0.85324   -0.848293 0.000271192
          95   -0.850144   -0.848312 0.000269036
          96   -0.847896   -0.848308 0.000266269
          97     -0.8466    -0.84829 0.000264105
          98    -0.85216    -0.84833 0.000264346
          99   -0.845312   -0.848299 0.000263427
         100   -0.848048   -0.848297 0.000260805
