#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.801944   -0.801944           0
           2   -0.802648   -0.802296 0.000248902
           3   -0.805928   -0.803507  0.00100234
           4   -0.801672   -0.803048 0.000850242
           5    -0.80356    -0.80315 0.000686332
           6   -0.810576   -0.804388  0.00126629
           7   -0.806344   -0.804667   0.0011158
           8   -0.808984   -0.805207  0.00109907
           9   -0.804112   -0.805085 0.000983661
          10   -0.805488   -0.805126 0.000886119
          11   -0.804232   -0.805044 0.000809278
          12   -0.804472   -0.804997 0.000743242
          13   -0.803888   -0.804911 0.000690945
          14    -0.80352   -0.804812   0.0006487
          15    -0.80372   -0.804739 0.000609525
          16   -0.802112   -0.804575 0.000593134
          17   -0.799896     -0.8043 0.000618817
          18   -0.800344    -0.80408 0.000622239
          19   -0.802504   -0.803997 0.000594993
          20   -0.803496   -0.803972  0.00056577
          21   -0.804584   -0.804001 0.000539579
          22   -0.805672   -0.804077  0.00052037
          23   -0.800744   -0.803932 0.000517531
          24   -0.801016   -0.803811 0.000510032
          25   -0.802688   -0.803766 0.000491603
          26   -0.803376   -0.803751 0.000472924
          27   -0.802504   -0.803705 0.000457657
          28   -0.808648   -0.803881 0.000474145
          29    -0.80416   -0.803891 0.000457893
          30   -0.802824   -0.803855 0.000444008
          31   -0.803808   -0.803854 0.000429688
          32   -0.801408   -0.803777 0.000423002
          33   -0.805448   -0.803828 0.000413203
          34   -0.806792   -0.803915 0.000410144
          35   -0.805384   -0.803957 0.000400567
          36   -0.798384   -0.803802 0.000418286
          37   -0.803536   -0.803795 0.000407042
          38   -0.806464   -0.803865 0.000402345
          39   -0.801872   -0.803814 0.000395261
          40   -0.798736   -0.803687 0.000405255
          41   -0.803328   -0.803678 0.000395466
          42   -0.804808   -0.803705 0.000386963
          43    -0.80428   -0.803719 0.000378195
          44   -0.805408   -0.803757 0.000371543
          45   -0.806168   -0.803811 0.000367129
          46   -0.797136   -0.803666 0.000386761
          47   -0.807376   -0.803745 0.000386505
          48   -0.808632   -0.803846 0.000391636
          49   -0.805632   -0.803883 0.000385335
          50   -0.801808   -0.803841 0.000379856
          51   -0.802088   -0.803807  0.00037396
          52   -0.801504   -0.803763 0.000369382
          53   -0.804384   -0.803774 0.000362598
          54   -0.806056   -0.803817 0.000358337
          55   -0.800976   -0.803765 0.000355524
          56   -0.803536   -0.803761 0.000349199
          57    -0.80124   -0.803717 0.000345862
          58    -0.80184   -0.803684 0.000341409
          59   -0.810128   -0.803793 0.000352659
          60   -0.801896   -0.803762 0.000348196
          61   -0.803952   -0.803765 0.000342502
          62   -0.804976   -0.803785 0.000337534
          63   -0.803688   -0.803783  0.00033218
          64    -0.80416   -0.803789 0.000327042
          65   -0.804656   -0.803802 0.000322282
          66   -0.802976    -0.80379 0.000317642
          67   -0.801616   -0.803757 0.000314554
          68   -0.806992   -0.803805 0.000313505
          69   -0.800136   -0.803752 0.000313438
          70   -0.801096   -0.803714 0.000311247
          71   -0.806136   -0.803748 0.000308728
          72   -0.801376   -0.803715 0.000306192
          73   -0.801368   -0.803683 0.000303681
          74   -0.805816   -0.803712 0.000300942
          75   -0.804144   -0.803717 0.000296985
          76   -0.805904   -0.803746 0.000294468
          77   -0.807656   -0.803797 0.000294989
          78   -0.803096   -0.803788 0.000291344
          79   -0.804192   -0.803793 0.000287701
          80   -0.808312    -0.80385 0.000289597
          81   -0.805032   -0.803864 0.000286389
          82    -0.80316   -0.803856 0.000283026
          83   -0.799952   -0.803808 0.000283496
          84   -0.805832   -0.803833 0.000281143
          85   -0.800048   -0.803788 0.000281339
          86   -0.802536   -0.803773 0.000278444
          87   -0.805304   -0.803791 0.000275799
          88    -0.80796   -0.803838 0.000276703
          89   -0.805008   -0.803852 0.000273906
          90   -0.803848   -0.803852 0.000270863
          91   -0.807696   -0.803894 0.000271161
          92   -0.804192   -0.803897 0.000268233
          93   -0.802912   -0.803886 0.000265558
          94   -0.805448   -0.803903 0.000263252
          95   -0.809168   -0.803958  0.00026625
          96      -0.803   -0.803949 0.000263664
          97   -0.806968    -0.80398 0.000262777
          98   -0.805552   -0.803996 0.000260585
          99   -0.806992   -0.804026 0.000259704
         100   -0.808576   -0.804071 0.000261063
