#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.479143    0.479143           0
           2    0.454432    0.466788  0.00873669
           3    0.444567    0.459381  0.00839628
           4    0.478703    0.464211  0.00756012
           5    0.384333    0.448236   0.0155163
           6    0.384881    0.437677   0.0161277
           7    0.409372    0.433633   0.0143217
           8    0.430368    0.433225   0.0125373
           9    0.411849     0.43085    0.011367
          10    0.445793    0.432344   0.0103281
          11    0.402465    0.429628  0.00973978
          12    0.411501    0.428117  0.00904451
          13    0.434828    0.428634   0.0083635
          14    0.441736    0.429569  0.00781829
          15    0.445872    0.430656  0.00737222
          16    0.413865    0.429607  0.00698575
          17    0.421297    0.429118  0.00659191
          18    0.420985    0.428666  0.00624116
          19    0.411758    0.427776  0.00597578
          20    0.376972    0.425236   0.0061934
          21    0.410623     0.42454  0.00593744
          22    0.405673    0.423683  0.00572916
          23    0.432548    0.424068  0.00549302
          24    0.394945    0.422855  0.00539651
          25    0.441623    0.423605  0.00523261
          26    0.416629    0.423337  0.00503823
          27    0.426969    0.423472  0.00485342
          28    0.451196    0.424462  0.00478003
          29    0.395956    0.423479  0.00471518
          30    0.469902    0.425026  0.00480523
          31    0.441822    0.425568  0.00468067
          32    0.385096    0.424303  0.00470217
          33    0.400679    0.423587  0.00461385
          34    0.376597    0.422205  0.00468057
          35    0.415697    0.422019  0.00455053
          36     0.40954    0.421673  0.00443731
          37    0.380123     0.42055  0.00445721
          38    0.440093    0.421064  0.00436949
          39     0.39911    0.420501  0.00429356
          40    0.409524    0.420227  0.00419498
          41    0.453127    0.421029  0.00416871
          42    0.438664    0.421449  0.00409054
          43    0.417592    0.421359   0.0039964
          44    0.427238    0.421493   0.0039078
          45    0.426371    0.421601  0.00382247
          46     0.44849    0.422186   0.0037838
          47    0.393779    0.421581  0.00375125
          48    0.449274    0.422158   0.0037172
          49    0.416625    0.422045  0.00364306
          50    0.441414    0.422433  0.00359073
          51    0.396743    0.421929  0.00355548
          52    0.445132    0.422375  0.00351499
          53    0.379502    0.421566  0.00354053
          54    0.432045     0.42176  0.00348028
          55    0.425807    0.421834  0.00341778
          56    0.435011    0.422069  0.00336484
          57    0.376174    0.421264  0.00340078
          58    0.431094    0.421434  0.00334636
          59    0.429309    0.421567  0.00329231
          60    0.431118    0.421726  0.00324128
          61    0.411121    0.421552   0.0031928
          62    0.460052    0.422173  0.00320112
          63    0.409482    0.421972  0.00315664
          64    0.425729    0.422031  0.00310787
          65    0.406469    0.421791  0.00306926
          66    0.435971    0.422006  0.00303027
          67     0.40407    0.421738  0.00299684
          68    0.413667     0.42162  0.00295512
          69    0.417393    0.421558  0.00291293
          70    0.392185    0.421139  0.00290138
          71    0.404692    0.420907  0.00286975
          72    0.408302    0.420732  0.00283523
          73    0.416218     0.42067  0.00279706
          74     0.40222    0.420421  0.00277035
          75    0.440035    0.420682  0.00274573
          76    0.395805    0.420355  0.00272904
          77    0.387189    0.419924  0.00272738
          78    0.406934    0.419758   0.0026975
          79    0.446006     0.42009  0.00268373
          80    0.462122    0.420615  0.00270113
          81      0.4304    0.420736  0.00267048
          82    0.432122    0.420875  0.00264152
          83    0.435639    0.421053  0.00261568
          84    0.434039    0.421208   0.0025891
          85    0.430107    0.421312  0.00256076
          86    0.421404    0.421313  0.00253098
          87    0.409671     0.42118  0.00250543
          88    0.420998    0.421177  0.00247696
          89    0.419022    0.421153  0.00244925
          90    0.414753    0.421082  0.00242306
          91    0.425934    0.421135  0.00239702
          92    0.453586    0.421488  0.00239678
          93    0.393468    0.421187  0.00238987
          94    0.382487    0.420775  0.00239965
          95     0.46391    0.421229  0.00241696
          96    0.405222    0.421062  0.00239753
          97    0.394834    0.420792  0.00238801
          98    0.402119    0.420602  0.00237123
          99    0.440573    0.420803  0.00235585
         100    0.393905    0.420534   0.0023476
