#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.48332    -0.48332           0
           2   -0.486928   -0.485124  0.00127562
           3   -0.484336   -0.484861  0.00087704
           4   -0.483712   -0.484574 0.000703274
           5   -0.483216   -0.484302 0.000612825
           6    -0.48452   -0.484339 0.000511759
           7   -0.482304   -0.484048 0.000514618
           8   -0.482432   -0.483846 0.000488329
           9   -0.483168   -0.483771 0.000439843
          10   -0.480376   -0.483431 0.000510312
          11    -0.48456   -0.483534 0.000474125
          12    -0.48628   -0.483763 0.000486721
          13   -0.482936   -0.483699 0.000453416
          14   -0.482408   -0.483607 0.000430305
          15   -0.480704   -0.483413 0.000443003
          16   -0.478792   -0.483125 0.000500697
          17   -0.482464   -0.483086 0.000472749
          18   -0.482688   -0.483064 0.000447001
          19   -0.479472   -0.482875 0.000461717
          20   -0.484152   -0.482938 0.000443027
          21     -0.4828   -0.482932  0.00042198
          22   -0.481712   -0.482876 0.000406425
          23   -0.483784   -0.482916 0.000390665
          24   -0.484136   -0.482967 0.000377681
          25   -0.483328   -0.482981 0.000362851
          26   -0.482104   -0.482947  0.00035046
          27   -0.483048   -0.482951 0.000337499
          28   -0.483168   -0.482959 0.000325535
          29   -0.483816   -0.482988 0.000315648
          30    -0.48316   -0.482994 0.000305179
          31   -0.483912   -0.483024 0.000296767
          32   -0.484952   -0.483084 0.000293547
          33    -0.48156   -0.483038 0.000288261
          34   -0.483928   -0.483064  0.00028097
          35    -0.48316   -0.483067 0.000272955
          36   -0.481872   -0.483034 0.000267383
          37   -0.480896   -0.482976 0.000266325
          38    -0.48388      -0.483 0.000260377
          39    -0.48308   -0.483002 0.000253709
          40   -0.482192   -0.482981 0.000248172
          41   -0.480896   -0.482931 0.000247276
          42    -0.48004   -0.482862 0.000250783
          43   -0.482616   -0.482856 0.000245016
          44   -0.483992   -0.482882 0.000240804
          45   -0.480792   -0.482835 0.000239889
          46   -0.483104   -0.482841 0.000234746
          47   -0.484152   -0.482869 0.000231402
          48   -0.481928    -0.48285  0.00022741
          49   -0.482824   -0.482849 0.000222769
          50   -0.483192   -0.482856  0.00021842
          51   -0.482216   -0.482843 0.000214497
          52   -0.481264   -0.482813 0.000212511
          53   -0.480384   -0.482767 0.000213386
          54   -0.486312   -0.482833   0.0002193
          55   -0.482344   -0.482824 0.000215493
          56   -0.482992   -0.482827 0.000211665
          57   -0.482712   -0.482825 0.000207962
          58     -0.4812   -0.482797 0.000206254
          59     -0.4814   -0.482773 0.000204113
          60    -0.48204   -0.482761 0.000201076
          61   -0.480088   -0.482717 0.000202498
          62   -0.482656   -0.482716 0.000199234
          63   -0.485472    -0.48276 0.000200817
          64   -0.484864   -0.482793 0.000200352
          65    -0.48228   -0.482785 0.000197425
          66   -0.483752     -0.4828 0.000194977
          67   -0.482984   -0.482802 0.000192086
          68    -0.48172   -0.482786  0.00018992
          69   -0.480528   -0.482754 0.000189966
          70      -0.484   -0.482771 0.000188085
          71   -0.483496   -0.482782 0.000185713
          72   -0.483704   -0.482794 0.000183575
          73   -0.480032   -0.482757 0.000184919
          74   -0.480376   -0.482724 0.000185197
          75    -0.48112   -0.482703  0.00018396
          76   -0.483992    -0.48272 0.000182319
          77   -0.485544   -0.482757 0.000183603
          78   -0.483704   -0.482769 0.000181651
          79   -0.480472    -0.48274 0.000181663
          80   -0.486032   -0.482781 0.000183994
          81   -0.483568   -0.482791 0.000181979
          82   -0.481136    -0.48277 0.000180875
          83   -0.481864    -0.48276 0.000179025
          84      -0.482    -0.48275 0.000177122
          85   -0.481984   -0.482741 0.000175268
          86   -0.482048   -0.482733 0.000173415
          87    -0.48276   -0.482734 0.000171422
          88    -0.48488   -0.482758 0.000171201
          89   -0.482152   -0.482751 0.000169412
          90   -0.481824   -0.482741 0.000167843
          91   -0.482776   -0.482741 0.000165999
          92   -0.485856   -0.482775 0.000167611
          93   -0.483256    -0.48278 0.000165889
          94   -0.482672   -0.482779 0.000164128
          95   -0.483888   -0.482791 0.000162815
          96   -0.482856   -0.482792  0.00016112
          97   -0.478544   -0.482748 0.000165303
          98   -0.481776   -0.482738 0.000163913
          99   -0.482112   -0.482732 0.000162379
         100   -0.482816   -0.482732 0.000160758
