#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67756     1.67756           0
           2     1.72891     1.70324   0.0181522
           3     1.71951     1.70866   0.0128867
           4     1.68648     1.70311   0.0107928
           5     1.68219     1.69893  0.00941089
           6     1.65652     1.69186   0.0101556
           7      1.6831     1.69061  0.00878159
           8     1.67012     1.68805  0.00804886
           9     1.70792     1.69026  0.00745126
          10     1.73361     1.69459  0.00786712
          11     1.69565     1.69469  0.00715252
          12     1.71199     1.69613  0.00670018
          13     1.71773     1.69779  0.00638747
          14      1.7483      1.7014  0.00687509
          15     1.67661     1.69975  0.00661234
          16     1.67739     1.69835  0.00634497
          17     1.66974     1.69667  0.00619086
          18     1.65184     1.69418  0.00632802
          19     1.64539     1.69161  0.00649502
          20     1.74758     1.69441  0.00674627
          21     1.60767     1.69028  0.00758481
          22      1.7476     1.69288  0.00767456
          23     1.65581     1.69127  0.00750821
          24     1.64101     1.68918  0.00748168
          25     1.78675     1.69308  0.00813694
          26     1.63248     1.69075    0.008151
          27     1.71092      1.6915  0.00788329
          28     1.73156     1.69293  0.00773054
          29     1.71777     1.69378  0.00751128
          30     1.66038     1.69267  0.00734296
          31     1.67777     1.69219   0.0071218
          32     1.72732     1.69329  0.00698335
          33     1.68811     1.69313   0.0067735
          34     1.66817      1.6924  0.00661393
          35     1.67141      1.6918  0.00645209
          36     1.65791     1.69085  0.00634116
          37     1.70344      1.6912   0.0061789
          38     1.69527      1.6913  0.00601723
          39       1.729     1.69227  0.00594009
          40     1.74291     1.69354  0.00592495
          41     1.67557      1.6931  0.00579661
          42     1.68386     1.69288  0.00566277
          43     1.67257      1.6924  0.00555073
          44     1.63413     1.69108  0.00558033
          45     1.68408     1.69092   0.0054585
          46     1.58109     1.68854  0.00583877
          47     1.57256     1.68607  0.00621417
          48     1.59604     1.68419  0.00636147
          49      1.6413     1.68332  0.00629158
          50     1.68998     1.68345  0.00616715
          51     1.71281     1.68403  0.00607304
          52     1.63821     1.68315  0.00601983
          53      1.7034     1.68353  0.00591837
          54     1.66438     1.68317  0.00581939
          55      1.6468     1.68251  0.00575104
          56     1.64036     1.68176  0.00569738
          57     1.67566     1.68165  0.00559843
          58     1.77108     1.68319  0.00571026
          59     1.68102     1.68316   0.0056136
          60     1.66518     1.68286  0.00552802
          61     1.69435     1.68305  0.00544061
          62     1.63427     1.68226  0.00540945
          63     1.66658     1.68201   0.0053293
          64     1.75787      1.6832  0.00537622
          65      1.6828     1.68319  0.00529351
          66     1.72592     1.68384  0.00525276
          67     1.76424     1.68504  0.00530967
          68     1.76954     1.68628  0.00537503
          69     1.68058      1.6862  0.00529777
          70     1.72024     1.68668  0.00524436
          71     1.71012     1.68701  0.00518088
          72     1.66288     1.68668  0.00511976
          73     1.70336     1.68691  0.00505472
          74     1.69352       1.687   0.0049872
          75     1.77636     1.68819  0.00506104
          76     1.66686     1.68791  0.00500222
          77     1.71466     1.68825  0.00494931
          78     1.69655     1.68836    0.004887
          79     1.72764     1.68886  0.00485037
          80     1.77589     1.68995  0.00491022
          81      1.6944        1.69  0.00484991
          82     1.61265     1.68906  0.00488163
          83     1.67926     1.68894  0.00482425
          84     1.71371     1.68923  0.00477582
          85     1.68478     1.68918  0.00471992
          86     1.74424     1.68982  0.00470825
          87     1.71453     1.69011  0.00466269
          88     1.67274     1.68991  0.00461387
          89     1.64064     1.68936  0.00459512
          90      1.7832      1.6904  0.00466088
          91     1.70142     1.69052  0.00461124
          92     1.65005     1.69008  0.00458205
          93     1.65318     1.68968  0.00454992
          94     1.67187     1.68949  0.00450547
          95     1.66368     1.68922  0.00446622
          96     1.60789     1.68837  0.00449933
          97     1.65048     1.68798  0.00446987
          98     1.64836     1.68758  0.00444251
          99     1.69729     1.68768  0.00439872
         100     1.69566     1.68776  0.00435546
