#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.270272    0.270272           0
           2    0.341904    0.306088   0.0253257
           3    0.287344     0.29984   0.0176377
           4    0.254044    0.288391   0.0165317
           5    0.261612    0.283035   0.0140662
           6     0.32388    0.289843   0.0132672
           7    0.279968    0.288432   0.0114467
           8     0.24468    0.282963   0.0112467
           9     0.29824     0.28466   0.0101243
          10    0.204708    0.276665   0.0118557
          11    0.279356     0.27691   0.0107805
          12    0.279056    0.277089  0.00988357
          13      0.3438     0.28222   0.0103703
          14    0.266632    0.281107  0.00968913
          15    0.346424    0.285461   0.0099738
          16    0.308332    0.286891  0.00945231
          17    0.231632     0.28364  0.00943866
          18    0.256176    0.282114  0.00903678
          19    0.307524    0.283452  0.00865955
          20      0.2796    0.283259  0.00822871
          21    0.292388    0.283694  0.00784834
          22    0.348244    0.286628  0.00802132
          23    0.256264    0.285308  0.00778045
          24    0.292664    0.285614   0.0074623
          25     0.25296    0.284308  0.00727723
          26      0.3196    0.285666   0.0071228
          27    0.355992     0.28827  0.00731976
          28    0.309244    0.289019  0.00709656
          29    0.306924    0.289637  0.00687866
          30    0.338568    0.291268  0.00684001
          31     0.26668    0.290475  0.00666519
          32    0.326792    0.291609  0.00655282
          33    0.285756    0.291432  0.00635665
          34    0.275824    0.290973  0.00618624
          35    0.339816    0.292369  0.00616489
          36    0.337788     0.29363  0.00612138
          37    0.339388    0.294867  0.00607957
          38    0.312296    0.295326  0.00593686
          39     0.29106    0.295216  0.00578564
          40    0.313888    0.295683   0.0056598
          41    0.345932    0.296909   0.0056529
          42    0.264796    0.296144  0.00556977
          43     0.29456    0.296107  0.00544036
          44    0.257188    0.295223  0.00538814
          45    0.273848    0.294748   0.0052893
          46    0.333152    0.295583  0.00523979
          47    0.324712    0.296202  0.00516483
          48    0.272996    0.295719  0.00507981
          49    0.284676    0.295493  0.00498114
          50    0.244508    0.294474  0.00498479
          51     0.27596    0.294111  0.00490025
          52    0.316964     0.29455  0.00482569
          53    0.283884    0.294349  0.00473883
          54    0.242204    0.293383  0.00474844
          55    0.317312    0.293818  0.00468199
          56    0.360304    0.295006  0.00474653
          57    0.334488    0.295698  0.00471353
          58    0.287696     0.29556  0.00463428
          59    0.264564    0.295035  0.00458541
          60    0.319796    0.295448  0.00452752
          61    0.329952    0.296013   0.0044885
          62    0.313812      0.2963  0.00442527
          63    0.306244    0.296458  0.00435784
          64    0.320464    0.296833  0.00430586
          65    0.337576     0.29746    0.004285
          66    0.327576    0.297916   0.0042443
          67    0.270012      0.2975  0.00420134
          68    0.326272    0.297923  0.00416081
          69    0.286484    0.297757  0.00410381
          70     0.22382    0.296701   0.0041789
          71    0.244492    0.295966  0.00418424
          72    0.349256    0.296706  0.00419107
          73    0.249104    0.296054  0.00418408
          74    0.278172    0.295812  0.00413451
          75    0.327236    0.296231  0.00410056
          76      0.2516    0.295644  0.00408844
          77     0.28552    0.295512  0.00403746
          78     0.28832     0.29542  0.00398675
          79    0.283256    0.295266  0.00393926
          80    0.249264    0.294691  0.00393176
          81     0.33244    0.295157  0.00391074
          82    0.258552    0.294711  0.00388844
          83    0.343632      0.2953  0.00388601
          84    0.250428    0.294766  0.00387629
          85    0.193924     0.29358  0.00400813
          86     0.32398    0.293933  0.00397708
          87    0.260548    0.293549  0.00394984
          88    0.263292    0.293206  0.00391989
          89    0.358316    0.293937  0.00394352
          90    0.246776    0.293413  0.00393437
          91    0.345584    0.293986  0.00393268
          92    0.320416    0.294274  0.00390041
          93    0.231452    0.293598  0.00391653
          94    0.254856    0.293186  0.00389649
          95    0.254732    0.292781  0.00387644
          96    0.280452    0.292653  0.00383819
          97    0.301252    0.292741  0.00379964
          98    0.251708    0.292323  0.00378387
          99    0.295752    0.292357  0.00374581
         100    0.312076    0.292555  0.00371354
