#Block Call_Ave Call_Error Put_Ave Put_Error
1 17.6826 0 4.08544 0
2 20.8205 3.13788 2.31206 1.77339
3 17.7796 3.53959 3.66897 1.69986
4 17.2795 2.55236 4.16102 1.2988
5 20.9177 4.14074 3.62606 1.13943
6 18.7413 4.02084 3.62684 0.930343
7 19.2786 3.44045 3.29623 0.85296
8 17.9093 3.27911 3.84096 0.917814
9 16.6356 3.15996 3.6504 0.831563
10 17.9302 3.10873 3.52535 0.754213
11 17.4462 2.8533 4.01107 0.837462
12 17.2981 2.6089 4.69512 1.02585
13 16.8679 2.4381 4.98356 0.986747
14 17.2632 2.29159 4.6889 0.959897
15 17.188 2.13468 4.69359 0.893628
16 17.4487 2.01376 4.68348 0.835973
17 17.5081 1.89253 4.66234 0.785545
18 17.2662 1.80062 4.52066 0.754049
19 17.2912 1.7034 4.55956 0.714319
20 17.5739 1.64053 4.57239 0.677784
21 17.06 1.64288 4.87895 0.713875
22 16.8596 1.57919 4.81882 0.683304
23 16.871 1.50901 4.7133 0.661392
24 17.1926 1.48012 4.90075 0.660397
25 17.0338 1.42853 4.93495 0.634353
26 16.6055 1.43778 5.1783 0.656255
27 16.8724 1.40901 5.17205 0.631513
28 16.4978 1.40846 5.19254 0.608886
29 16.418 1.36137 5.15357 0.588806
30 16.7121 1.34771 5.16492 0.568954
31 17.0341 1.34268 4.99831 0.574964
32 17.1362 1.30405 4.92374 0.561678
33 16.9247 1.28149 4.94924 0.544988
34 16.8077 1.24872 4.84517 0.538861
35 16.7268 1.21521 4.81607 0.524047
36 16.4389 1.21557 4.98555 0.536742
37 16.4047 1.18275 4.99901 0.522207
38 16.2389 1.16309 5.12289 0.523157
39 16.3034 1.1347 5.14715 0.510144
40 16.3798 1.10861 5.19436 0.499463
41 16.3635 1.08136 5.15518 0.488702
42 16.1422 1.07825 5.27726 0.492301
43 15.9766 1.06582 5.38671 0.493017
44 15.7818 1.05938 5.4096 0.482225
45 16.1083 1.08581 5.3786 0.472405
46 16.0845 1.06221 5.3487 0.462988
47 16.0135 1.04179 5.32542 0.453628
48 15.9359 1.0228 5.37935 0.447339
49 15.83 1.00729 5.38747 0.43819
50 15.558 1.02375 5.50642 0.445511
51 15.5212 1.00414 5.50067 0.436726
52 15.4047 0.991513 5.51531 0.428495
53 15.3711 0.973207 5.50504 0.420458
54 15.362 0.955058 5.52253 0.412969
55 15.3003 0.93956 5.4945 0.406359
56 15.298 0.922632 5.49189 0.399045
57 15.3326 0.90696 5.46757 0.392735
58 15.4205 0.895512 5.39279 0.393084
59 15.3085 0.887304 5.40736 0.386638
60 15.2302 0.875894 5.45015 0.38254
61 15.301 0.864321 5.39382 0.380411
62 15.3272 0.850667 5.34407 0.377517
63 15.4014 0.840345 5.29898 0.374203
64 15.4708 0.830011 5.2491 0.371671
65 15.495 0.817502 5.19904 0.369318
66 15.3792 0.813315 5.30651 0.379226
67 15.4763 0.806953 5.31751 0.373685
68 15.5087 0.795656 5.2846 0.369617
69 15.4885 0.7843 5.33076 0.367134
70 15.5485 0.77534 5.34515 0.362138
71 15.6273 0.768395 5.37107 0.357941
72 15.6735 0.759054 5.39612 0.353822
73 15.6133 0.751 5.39522 0.348942
74 15.5172 0.746981 5.36478 0.345537
75 15.489 0.737495 5.3046 0.34617
76 15.4426 0.729202 5.30993 0.341626
77 15.6103 0.738941 5.27733 0.338733
78 15.6442 0.730195 5.32067 0.337159
79 15.6302 0.721029 5.34152 0.333517
80 15.6649 0.712805 5.33568 0.329373
81 15.6946 0.704574 5.29635 0.327651
82 15.6065 0.701482 5.32899 0.325272
83 15.6283 0.693325 5.29434 0.323192
84 15.511 0.695005 5.30897 0.319656
85 15.4417 0.690266 5.33309 0.316793
86 15.4559 0.68234 5.34724 0.313407
87 15.4536 0.674455 5.32365 0.31068
88 15.4111 0.668102 5.35147 0.308387
89 15.4234 0.660667 5.35276 0.304905
90 15.4389 0.65347 5.35718 0.30153
91 15.4587 0.646552 5.38938 0.299932
92 15.5416 0.644838 5.37445 0.29703
93 15.4755 0.641286 5.36525 0.293963
94 15.3916 0.639952 5.34132 0.291801
95 15.499 0.642234 5.36676 0.289832
96 15.4248 0.639827 5.4264 0.292933
97 15.4351 0.63328 5.41779 0.290026
98 15.5702 0.641173 5.44884 0.288726
99 15.5643 0.63469 5.44232 0.285869
100 15.6708 0.63727 5.42389 0.283595
