#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
   0.0942809 0.000324755 0.000283142  0.00559966
    0.282843   0.0200231   0.0171599     0.38124
    0.471405   0.0468083   0.0400665    0.794374
    0.659966    0.094613   0.0703069     1.40827
    0.848528    0.111537   0.0882471     1.74513
     1.03709    0.126267    0.101957     2.02491
     1.22565    0.119219    0.106448     2.11388
     1.41421    0.115313   0.0988742     1.95586
     1.60278    0.104551    0.085734     1.70239
     1.79134   0.0851477   0.0701795     1.41372
      1.9799   0.0634486   0.0510188     1.03811
     2.16846   0.0461477   0.0366385     0.74512
     2.35702   0.0296977   0.0238961    0.478002
     2.54558   0.0171894   0.0143833    0.285704
     2.73415  0.00907361  0.00931667    0.190925
     2.92271  0.00484954  0.00653657    0.202292
     3.11127  0.00199676  0.00343441   0.0847802
     3.29983 0.000922685  0.00182623     0.05668
     3.48839 0.000411111  0.00113179   0.0398178
     3.67696   0.0001375 0.000377623   0.0173254
     3.86552 5.97222e-05  0.00052909   0.0445293
     4.05408 2.26852e-05 0.000594213   0.0551398
     4.24264           0 0.000154552   0.0144401
      4.4312           0  6.2037e-05  0.00611624
     4.61976           0 1.90586e-05  0.00187899
     4.80833           0 7.17593e-06 0.000707475
     4.99689           0 7.33025e-06 0.000722689
     5.18545           0 7.09877e-06 0.000699868
     5.37401           0  3.3179e-06 0.000327112
     5.56257           0 4.01235e-06 0.000395577
   0.0942809 0.000327177 0.000289432  0.00484075
    0.282843   0.0162898   0.0170356    0.327013
    0.471405   0.0440134   0.0406304    0.683222
    0.659966   0.0828292   0.0720958     1.22027
    0.848528    0.102087   0.0902241     1.50883
     1.03709    0.121512    0.104751     1.75797
     1.22565    0.134774    0.110494     1.85653
     1.41421    0.126757    0.102857     1.72312
     1.60278    0.107508   0.0888446     1.49197
     1.79134   0.0878398   0.0727024     1.23774
      1.9799   0.0744875   0.0543715    0.950861
     2.16846   0.0448509   0.0378117    0.649358
     2.35702   0.0264889   0.0242665    0.411387
     2.54558   0.0144597   0.0143942    0.244892
     2.73415  0.00745093  0.00905013    0.165806
     2.92271  0.00341019  0.00608995    0.179052
     3.11127  0.00180139  0.00320112   0.0763208
     3.29983 0.000761111  0.00167407   0.0509095
     3.48839 0.000205556 0.000999471   0.0366042
     3.67696 7.87037e-05 0.000334921    0.015452
     3.86552           0 0.000453505    0.038909
     4.05408           0 0.000509325   0.0480188
     4.24264           0 0.000132474   0.0125726
      4.4312           0 5.31746e-05  0.00531685
     4.61976           0  1.6336e-05  0.00163341
     4.80833           0 6.15079e-06 0.000615009
     4.99689           0 6.28307e-06 0.000628235
     5.18545           0 6.08466e-06 0.000608396
     5.37401           0 2.84392e-06 0.000284359
     5.56257           0 3.43915e-06 0.000343876
   0.0942809 0.000324789 0.000293852  0.00425912
    0.282843   0.0166185   0.0169834    0.286185
    0.471405   0.0466486   0.0413826    0.602631
    0.659966   0.0810741   0.0732181     1.07374
    0.848528    0.116268   0.0934796     1.36058
     1.03709    0.126495    0.107469     1.56254
     1.22565    0.133308    0.113346     1.64981
     1.41421    0.126585    0.105823     1.53721
     1.60278    0.101385   0.0904122     1.31505
     1.79134   0.0837671   0.0740855       1.092
      1.9799   0.0570894   0.0547112    0.832711
     2.16846   0.0439667   0.0385811    0.573479
     2.35702   0.0305759   0.0250552    0.368676
     2.54558    0.017113   0.0147341    0.217013
     2.73415  0.00813148   0.0089353    0.145544
     2.92271  0.00373009  0.00579497    0.159479
     3.11127  0.00275417  0.00314525   0.0670188
     3.29983  0.00119074  0.00161366    0.044962
     3.48839 0.000572222 0.000946065     0.03248
     3.67696  0.00032037 0.000333102   0.0135217
     3.86552 0.000219444 0.000424248   0.0341734
     4.05408 2.77778e-05 0.000449132   0.0424542
     4.24264           0 0.000115914   0.0111275
      4.4312           0 4.65278e-05  0.00470046
     4.61976           0  1.4294e-05  0.00144405
     4.80833           0 5.38194e-06  0.00054371
     4.99689           0 5.49769e-06 0.000555402
     5.18545           0 5.32407e-06 0.000537863
     5.37401           0 2.48843e-06 0.000251393
     5.56257           0 3.00926e-06  0.00030401
   0.0942809 0.000333115 0.000298215  0.00381186
    0.282843   0.0173444   0.0170236    0.254419
    0.471405   0.0409051   0.0413296    0.535699
    0.659966   0.0827565   0.0742779    0.960518
    0.848528    0.114769   0.0958451     1.23315
     1.03709    0.127546    0.109699     1.40738
     1.22565    0.137577    0.116038      1.4919
     1.41421    0.123315    0.107767     1.38067
     1.60278    0.102825   0.0917915     1.17734
     1.79134   0.0823995   0.0750093    0.975214
      1.9799   0.0564944   0.0549094    0.740463
     2.16846    0.041169   0.0388686      0.5106
     2.35702   0.0266218   0.0252293    0.328191
     2.54558   0.0167528   0.0149584    0.194248
     2.73415   0.0109579  0.00916003     0.13138
     2.92271  0.00581852  0.00579758     0.14176
     3.11127  0.00348102  0.00318256   0.0596932
     3.29983  0.00462917  0.00194871   0.0525475
     3.48839  0.00138981  0.00099537   0.0293043
     3.67696 0.000376389 0.000337912   0.0120293
     3.86552 0.000217593 0.000401286   0.0304662
     4.05408 5.41667e-05 0.000405247   0.0380007
     4.24264           0 0.000103035  0.00997766
      4.4312           0  4.1358e-05  0.00421121
     4.61976           0 1.27058e-05  0.00129374
     4.80833           0 4.78395e-06 0.000487118
     4.99689           0 4.88683e-06 0.000497594
     5.18545           0 4.73251e-06  0.00048188
     5.37401           0 2.21193e-06 0.000225227
     5.56257           0  2.6749e-06 0.000272367
   0.0942809 0.000323778 0.000300771  0.00344066
    0.282843    0.020813   0.0174025    0.232246
    0.471405   0.0510366   0.0423003     0.49228
    0.659966   0.0779426   0.0746444    0.865281
    0.848528    0.115073   0.0977679     1.12719
     1.03709    0.121854    0.110915     1.27275
     1.22565    0.126869    0.117121     1.34729
     1.41421    0.119385    0.108929     1.24829
     1.60278    0.106004   0.0932127     1.06956
     1.79134   0.0799329   0.0755016    0.879142
      1.9799   0.0691838   0.0563368    0.682276
     2.16846   0.0512528    0.040107    0.476735
     2.35702   0.0244014   0.0251465    0.295493
