#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         154    -2.51307    -2.54502   0.0314368
         155    -2.49981    -2.54473   0.0312353
         156    -2.48192    -2.54433   0.0310377
         157    -2.56493    -2.54446   0.0308403
         158    -2.56454    -2.54458   0.0306453
         159    -2.55195    -2.54463   0.0304526
         160    -2.58288    -2.54487   0.0302632
         161    -2.53035    -2.54478   0.0300754
         162    -2.53566    -2.54472   0.0298898
         163    -2.51628    -2.54455   0.0297069
         164    -2.46771    -2.54408   0.0295295
         165    -2.46923    -2.54363    0.029354
         166    -2.45786    -2.54311   0.0291817
         167    -2.47477     -2.5427   0.0290099
         168    -2.52077    -2.54257   0.0288375
         169    -2.54526    -2.54259   0.0286668
         170    -2.52448    -2.54248   0.0284984
         171     -2.5615    -2.54259    0.028332
         172    -2.56325    -2.54271   0.0281675
         173    -2.53076    -2.54264   0.0280048
         174    -2.47687    -2.54226   0.0278464
         175    -2.49237    -2.54198   0.0276887
         176     -2.4583     -2.5415   0.0275355
         177     -2.4784    -2.54115   0.0273822
         178    -2.49747     -2.5409   0.0272295
         179    -2.48643     -2.5406   0.0270791
         180    -2.49903    -2.54037   0.0269296
         181     -2.5506    -2.54042   0.0267809
         182    -2.53372    -2.54039   0.0266338
         183    -2.58067    -2.54061   0.0264891
         184    -2.57396    -2.54079   0.0263458
         185    -2.58825    -2.54104   0.0262046
         186    -2.58206    -2.54126   0.0260647
         187    -2.54562    -2.54129   0.0259253
         188    -2.52478     -2.5412   0.0257875
         189    -2.48401     -2.5409   0.0256529
         190    -2.44778    -2.54041   0.0255225
         191    -2.44491    -2.53991   0.0253938
         192    -2.49067    -2.53965   0.0252629
         193    -2.45579    -2.53922   0.0251357
         194     -2.4848    -2.53894   0.0250077
         195     -2.5277    -2.53888   0.0248795
         196    -2.55164    -2.53894   0.0247527
         197    -2.57319    -2.53912   0.0246276
         198    -2.61875    -2.53952   0.0245065
         199    -2.56953    -2.53967   0.0243838
         200    -2.61518    -2.54005   0.0242648
         201    -2.55641    -2.54013   0.0241443
         202    -2.52831    -2.54007   0.0240248
         203    -2.52698    -2.54001   0.0239065
         204     -2.5173    -2.53989   0.0237896
         205     -2.5068    -2.53973   0.0236741
         206    -2.50133    -2.53955   0.0235599
         207    -2.51076    -2.53941   0.0234465
         208    -2.50009    -2.53922   0.0233346
         209    -2.45966    -2.53884    0.023226
         210    -2.48446    -2.53858   0.0231169
         211    -2.46704    -2.53824   0.0230098
         212    -2.50313    -2.53807   0.0229018
         213    -2.54979    -2.53813   0.0227944
         214    -2.53673    -2.53812   0.0226879
         215    -2.56179    -2.53823   0.0225826
         216    -2.54317    -2.53826   0.0224781
         217    -2.51741    -2.53816   0.0223747
         218    -2.52709    -2.53811   0.0222721
         219    -2.47208    -2.53781   0.0221725
         220    -2.48195    -2.53755   0.0220731
         221    -2.39783    -2.53692   0.0219823
         222    -2.43765    -2.53647   0.0218878
         223    -2.44204    -2.53605   0.0217938
         224    -2.50275     -2.5359    0.021697
         225      -2.491     -2.5357   0.0216015
         226    -2.55587    -2.53579   0.0215061
         227    -2.56616    -2.53592   0.0214118
         228    -2.56744    -2.53606   0.0213183
         229    -2.60446    -2.53636   0.0212273
         230    -2.69412    -2.53705   0.0211461
         231    -2.67971    -2.53767   0.0210636
         232    -2.66587    -2.53822     0.02098
         233    -2.69165    -2.53888   0.0209003
         234    -2.73408    -2.53971   0.0208276
         235    -2.72212    -2.54049   0.0207535
         236    -2.67076    -2.54104   0.0206729
         237    -2.60962    -2.54133   0.0205877
         238    -2.59329    -2.54155   0.0205023
         239    -2.55076    -2.54159   0.0204166
         240     -2.5098    -2.54145   0.0203319
         241    -2.48847    -2.54123   0.0202487
         242     -2.4742    -2.54096    0.020167
         243    -2.50155    -2.54079   0.0200846
         244    -2.51589    -2.54069   0.0200026
         245    -2.52999    -2.54065    0.019921
         246    -2.51215    -2.54053   0.0198403
         247    -2.51514    -2.54043   0.0197603
         248     -2.5736    -2.54056    0.019681
         249    -2.60066     -2.5408   0.0196035
         250     -2.5455    -2.54082   0.0195251
         251    -2.57716    -2.54097   0.0194478
         252    -2.53653    -2.54095   0.0193707
         253    -2.54696    -2.54097   0.0192941
         254    -2.50861    -2.54085   0.0192186
         255    -2.42041    -2.54037    0.019149
         256    -2.43196    -2.53995   0.0190789
         257    -2.38358    -2.53934   0.0190144
         258    -2.45521    -2.53902   0.0189435
         259     -2.5135    -2.53892   0.0188706
         260    -2.52029    -2.53885   0.0187981
         261     -2.5218    -2.53878   0.0187262
         262    -2.62203     -2.5391   0.0186574
         263    -2.60053    -2.53933    0.018588
         264    -2.62428    -2.53965   0.0185203
