#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
   0.0942809 9.25926e-06 9.25926e-06           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702        0.01        0.01           0
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809  4.1859e-06 6.72258e-06  0.00019372
    0.282843    0.311111    0.155556     11.8794
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           0       0.005    0.381838
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809 3.12301e-05 1.48918e-05 0.000731857
    0.282843   0.0718519    0.127654     8.29298
    0.471405    0.361481    0.120494     10.6253
    0.659966     0.27037   0.0901235     7.94723
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           0  0.00333333    0.293939
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809 9.70215e-05 3.54242e-05  0.00199732
    0.282843           0   0.0957407     6.89889
    0.471405           0   0.0903704     8.45241
    0.659966    0.067037   0.0843519     5.98482
    0.848528    0.305463   0.0763657     7.14254
     1.03709     0.26787   0.0669676     6.26353
     1.22565   0.0633333   0.0158333      1.4809
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702           0      0.0025    0.233827
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809 0.000231023  7.4544e-05  0.00410283
    0.282843           0   0.0765926     5.82082
    0.471405           0   0.0722963     6.98369
    0.659966           0   0.0674815      5.0576
    0.848528           0   0.0610926     5.90143
     1.03709   0.0107407   0.0557222     5.12722
     1.22565    0.188148   0.0502963     3.53358
     1.41421    0.234444   0.0468889     4.52938
     1.60278    0.218148   0.0436296     4.21454
     1.79134   0.0488889  0.00977778    0.944515
      1.9799  0.00333333 0.000666667   0.0643988
     2.16846           0           0           0
     2.35702           0       0.002    0.193196
     2.54558           0           0           0
     2.73415           0           0           0
