#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        0.02        0.02           0
           2  0.00904155   0.0145208   0.0038744
           3   0.0674571   0.0321662   0.0146371
           4    0.209566   0.0765163   0.0399463
           5     0.49901    0.161015   0.0820567
           6    0.752903    0.259663    0.113073
           7     1.12177    0.382821    0.149648
           8     1.23027    0.488753    0.164209
           9     1.47848    0.598722    0.179039
          10      1.6543     0.70428    0.189718
          11     1.34141    0.762201    0.181096
          12     1.73828    0.843541    0.183364
          13     1.47901    0.892423    0.175654
          14     1.38602     0.92768    0.166608
          15     1.00723    0.932984    0.155585
          16    0.866718    0.928842    0.145917
          17    0.661584    0.913121    0.138177
          18    0.468389    0.888414    0.132692
          19    0.408652    0.863163    0.128088
          20    0.422152    0.841113    0.123567
          21    0.500714    0.824903    0.118741
          22    0.450974    0.807906    0.114554
          23     0.49818     0.79444    0.110362
          24    0.557739    0.784577    0.106203
          25    0.427979    0.770313    0.102909
          26    0.402522    0.756168    0.099918
          27    0.339691    0.740743   0.0974007
          28    0.348891    0.726748   0.0949222
          29    0.469946    0.717893   0.0920611
          30    0.599058    0.713931   0.0890776
          31    0.830071    0.717678   0.0862829
          32    0.901298    0.723416   0.0837771
          33    0.851312    0.727292    0.081328
          34    0.813661    0.729832   0.0789757
          35    0.766209    0.730871   0.0767261
          36    0.630196    0.728075   0.0746457
          37    0.601474    0.724653   0.0727067
          38     0.51329    0.719091   0.0710058
          39    0.580733    0.715543   0.0692737
          40     0.55526    0.711536   0.0676576
          41    0.573318    0.708165   0.0660914
          42    0.656932    0.706945    0.064529
          43    0.697284    0.706721   0.0630287
          44    0.728162    0.707208   0.0615982
          45    0.772351    0.708655   0.0602463
          46     0.78879    0.710398   0.0589618
          47    0.810385    0.712525   0.0577457
          48    0.797862    0.714303     0.05657
          49    0.761026    0.715256   0.0554235
          50    0.755806    0.716067    0.054321
          51    0.819108    0.718088   0.0532934
          52    0.796416    0.719594   0.0522898
          53    0.725477    0.719705   0.0513034
          54    0.711533    0.719554   0.0503535
          55     0.80124    0.721039   0.0494599
          56    0.693469    0.720547   0.0485791
          57    0.742882    0.720938   0.0477285
          58    0.726471    0.721034   0.0469056
          59     0.70773    0.720808   0.0461112
          60    0.781122    0.721813   0.0453536
          61     0.71887    0.721765   0.0446101
          62    0.883922    0.724381   0.0439672
          63    0.914043    0.727391   0.0433723
          64    0.814517    0.728753   0.0427159
          65    0.951301    0.732176   0.0421958
          66    0.943459    0.735378   0.0416777
          67     0.92593    0.738222   0.0411526
          68    0.948239     0.74131   0.0406631
          69    0.907852    0.743724   0.0401454
          70    0.941367    0.746547    0.039671
          71    0.907173     0.74881   0.0391767
          72    0.861429    0.750374   0.0386638
          73      0.8852    0.752221   0.0381783
          74    0.885711    0.754025   0.0377049
          75    0.881045    0.755718   0.0372402
          76    0.834497    0.756755   0.0367646
          77    0.898914    0.758601   0.0363335
          78    0.872966    0.760067   0.0358973
          79    0.900855    0.761849   0.0354871
          80    0.831652    0.762722   0.0350542
          81    0.892399    0.764323    0.034658
          82    0.916981    0.766185   0.0342853
          83    0.847681    0.767166   0.0338863
          84    0.873779    0.768436   0.0335066
          85    0.891583    0.769884   0.0331437
          86    0.805844    0.770303    0.032761
          87     0.73712    0.769921   0.0323866
          88    0.694341    0.769062     0.03203
          89    0.657122    0.767805   0.0316948
          90    0.650639    0.766503   0.0313694
          91    0.670045    0.765443   0.0310425
          92    0.632123    0.763994   0.0307389
          93    0.651325    0.762782   0.0304323
          94    0.770022    0.762859   0.0301086
          95    0.800349    0.763254   0.0297943
          96    0.775326    0.763379   0.0294842
          97    0.766814    0.763415   0.0291802
          98    0.825983    0.764053   0.0288895
          99    0.816899    0.764587   0.0286026
         100    0.837495    0.765316   0.0283258
         101    0.785576    0.765517   0.0280461
         102    0.760308    0.765466   0.0277712
         103    0.738446    0.765203   0.0275028
         104    0.732032    0.764884   0.0272402
         105    0.697115    0.764239   0.0269884
         106    0.696177    0.763597   0.0267414
         107    0.694519    0.762951   0.0264993
         108     0.71631    0.762519   0.0262575
         109    0.715534    0.762088   0.0260201
         110    0.725012    0.761751   0.0257857
         111    0.759449    0.761731   0.0255535
         112    0.742155    0.761556   0.0253259
         113    0.710115    0.761101   0.0251059
