x y z
58.7611 17.1783 38.3603
58.7611 17.1783 38.3603
59.7453 19.9536 36.7019
59.7453 19.9536 36.7019
57.5618 20.6216 35.7512
55.0034 21.0237 34.0784
53.732 23.7055 31.4894
51.7701 21.5783 33.953
51.7701 21.5783 33.953
50.2208 22.8854 32.1388
48.13 24.5151 30.1213
48.2911 25.1792 29.5455
47.441 27.3401 27.2259
47.441 27.3401 27.2259
47.441 27.3401 27.2259
47.441 27.3401 27.2259
47.441 27.3401 27.2259
47.762 29.4985 25.7829
47.762 29.4985 25.7829
47.2296 29.6432 23.8692
47.2296 29.6432 23.8692
44.4814 31.169 25.4781
46.7594 28.8911 24.8818
46.7594 28.8911 24.8818
45.9758 31.5992 26.0109
45.9758 31.5992 26.0109
45.9758 31.5992 26.0109
46.5508 34.3138 25.3839
44.1283 35.5555 24.5806
43.4653 34.9657 23.4908
42.5205 33.6417 24.8931
39.9063 31.8467 22.9617
39.9063 31.8467 22.9617
39.9063 31.8467 22.9617
40.6568 29.0906 20.1792
41.1489 27.1189 20.6788
40.0591 29.0016 17.8952
41.7165 27.8821 18.7786
40.098 27.866 19.396
38.6212 29.5671 17.6083
39.2024 27.2341 15.1238
41.0258 24.4744 16.4076
41.0258 24.4744 16.4076
41.0258 24.4744 16.4076
43.3313 22.2477 14.8453
43.3313 22.2477 14.8453
43.3313 22.2477 14.8453
46.1777 23.8294 17.7209
46.1777 23.8294 17.7209
45.3023 25.7115 15.739
42.3544 26.8848 13.4917
40.5981 24.629 15.484
41.125 22.3449 17.924
41.7889 21.7216 17.2626
41.7889 21.7216 17.2626
41.6644 23.9036 14.4894
39.633 21.9394 17.2161
38.0585 23.945 16.4857
39.3618 21.5711 14.6837
39.3618 21.5711 14.6837
36.8187 18.9747 16.2153
36.182 19.5102 14.2167
33.2644 18.997 14.5811
30.8303 20.6976 12.9678
29.15 20.2122 15.4195
29.15 20.2122 15.4195
29.15 20.2122 15.4195
29.15 20.2122 15.4195
29.15 20.2122 15.4195
29.8236 19.332 15.1746
30.1294 19.6358 17.7229
32.7264 19.2448 15.4335
32.5174 21.9821 12.7918
32.6489 22.6211 14.0598
33.7199 19.8736 11.4069
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
30.9915 20.1974 13.666
29.3384 19.5693 11.6626
29.3384 19.5693 11.6626
27.4233 20.6673 9.58934
28.1904 17.9395 11.0236
29.325 15.5248 10.4717
29.1722 16.281 9.99887
29.5047 14.4748 11.7027
26.8228 16.6302 12.2002
23.9963 15.1411 14.2335
23.9963 15.1411 14.2335
23.9963 15.1411 14.2335
22.1565 16.0877 16.528
22.3517 14.1008 17.7454
22.3517 14.1008 17.7454
24.3438 14.7408 18.2201
25.8404 12.6763 19.2495
25.8404 12.6763 19.2495
22.9595 10.8739 21.3545
20.1018 11.2951 23.9846
22.2705 10.9238 22.5594
22.2705 10.9238 22.5594
20.5768 10.6305 20.5607
17.8373 8.09548 17.9584
17.5626 6.00185 17.0014
17.5626 6.00185 17.0014
15.4632 6.49349 19.5094
15.8369 7.85037 19.3791
13.8619 5.7202 20.5882
13.8619 5.7202 20.5882
13.8619 5.7202 20.5882
13.8619 5.7202 20.5882
13.044 8.28676 20.6692
15.6696 7.50138 20.3214
18.0748 5.95719 19.0978
19.3116 7.96699 18.6429
16.9305 7.50535 18.7001
16.9305 7.50535 18.7001
16.9305 7.50535 18.7001
16.2322 7.22132 19.5987
16.8677 4.30309 17.4671
14.9873 4.68318 19.8919
14.9873 4.68318 19.8919
13.1899 2.73296 19.1032
13.1899 2.73296 19.1032
13.2546 5.59268 16.8557
13.5418 7.19255 15.7289
13.5418 7.19255 15.7289
13.6211 9.96936 13.9143
12.1938 9.02405 11.0367
10.9854 6.56178 13.2023
10.9854 6.56178 13.2023
11.7372 8.75868 10.6338
9.59603 9.9942 10.1216
8.01344 7.44876 11.7417
5.87167 9.9031 9.50869
3.01597 7.30186 9.24344
0.184499 8.09535 6.92725
-0.416865 5.97844 8.03288
-0.416865 5.97844 8.03288
-0.416865 5.97844 8.03288
-0.151077 3.09533 6.83991
1.80271 2.28752 7.2999
1.26836 1.33341 8.95334
1.26836 1.33341 8.95334
1.26836 1.33341 8.95334
1.12684 2.80144 8.52264
1.12684 2.80144 8.52264
-1.11865 0.779122 8.5566
-3.45348 -0.720828 8.4561
-0.636005 1.10417 11.1773
-0.636005 1.10417 11.1773
-2.19509 2.90453 9.69307
-0.836935 5.76668 7.33304
-0.364329 6.97932 4.98142
-0.364329 6.97932 4.98142
-0.364329 6.97932 4.98142
-0.364329 6.97932 4.98142
-0.364329 6.97932 4.98142
-0.364329 6.97932 4.98142
1.51321 9.72938 2.67287
-0.79967 11.6166 2.89251
-0.79967 11.6166 2.89251
-0.667555 9.79324 3.02353
-0.667555 9.79324 3.02353
-0.716524 11.3185 4.83995
-0.716524 11.3185 4.83995
-0.716524 11.3185 4.83995
-0.716524 11.3185 4.83995
-2.71729 9.43506 6.57852
-2.71729 9.43506 6.57852
-2.71729 9.43506 6.57852
-5.40369 8.27437 6.65442
-5.45971 6.82324 4.65636
-5.45971 6.82324 4.65636
-4.25899 5.50232 5.11942
-4.25899 5.50232 5.11942
-2.10337 4.04176 3.87872
0.779209 2.18005 2.22533
0.779209 2.18005 2.22533
-1.71722 1.10718 4.11432
-0.640157 -0.579743 2.62379
-0.640157 -0.579743 2.62379
-0.640157 -0.579743 2.62379
-0.327776 0.741512 0.865974
-0.327776 0.741512 0.865974
1.16315 -1.57259 3.61921
-0.705995 -2.67716 3.51134
-3.39603 -3.75395 1.94565
-0.614547 -2.02434 2.43619
-0.614547 -2.02434 2.43619
0.150342 0.822523 4.89621
-1.5552 1.76836 4.62397
-1.24391 1.12747 6.07099
-3.99999 2.30816 5.17477
-5.97533 0.995553 5.22932
-6.43206 3.25906 3.68363
-4.80463 3.3582 3.56476
-4.80463 3.3582 3.56476
-4.80463 3.3582 3.56476
-4.80463 3.3582 3.56476
-4.80463 3.3582 3.56476
-3.23508 3.04553 4.15887
-2.58824 2.77293 5.45363
-1.2404 2.01823 5.83584
-1.2404 2.01823 5.83584
1.49051 1.49661 5.4124
1.49051 1.49661 5.4124
2.56699 0.076672 5.44665
2.56699 0.076672 5.44665
0.554149 -0.138805 4.47337
-1.55405 -1.73697 3.60695
-0.208739 -0.433692 1.17674
-1.3929 -0.0240939 1.61873
-1.3929 -0.0240939 1.61873
1.52198 0.756536 1.44122
1.52198 0.756536 1.44122
0.222977 1.6719 1.86148
-1.74739 -0.743012 3.99268
-1.50086 -1.15619 5.7496
-2.69697 -1.04946 8.20912
-2.69697 -1.04946 8.20912
-2.69697 -1.04946 8.20912
-2.69697 -1.04946 8.20912
-0.95455 1.43402 7.01073
-3.89151 -0.685796 5.77024
-3.89151 -0.685796 5.77024
-3.89151 -0.685796 5.77024
-1.35821 -1.70797 6.97159
-1.81666 0.260571 4.40866
1.08338 -1.23635 1.65635
1.08338 -1.23635 1.65635
-0.338052 -2.2837 -0.561687
-2.01963 -1.8651 1.35669
-3.54286 -0.0539632 2.57572
-3.54286 -0.0539632 2.57572
-1.23724 -1.42292 0.589678
1.38801 -1.19696 3.53618
1.38801 -1.19696 3.53618
1.38801 -1.19696 3.53618
0.801812 0.0485397 3.78064
0.801812 0.0485397 3.78064
0.801812 0.0485397 3.78064
0.801812 0.0485397 3.78064
-1.99632 2.18216 5.5712
-1.00083 1.53738 5.69337
-1.00083 1.53738 5.69337
-1.00083 1.53738 5.69337
-0.412817 0.00901148 3.68296
-0.412817 0.00901148 3.68296
1.77316 0.075071 3.7767
1.03702 0.45784 3.3479
1.03702 0.45784 3.3479
1.26404 -0.533336 2.14529
0.601789 -1.57573 3.60705
-1.51083 1.16224 4.44018
-1.51083 1.16224 4.44018
-4.28045 -1.16487 5.62265
-6.41117 1.61613 8.5648
-8.06967 -0.316619 7.09548
-8.06967 -0.316619 7.09548
-10.2534 -0.305398 7.78575
-7.73699 0.561415 7.66643
-7.73699 0.561415 7.66643
-7.42117 -1.76673 10.1407
-8.18621 -2.44117 8.27742
-8.48784 -4.018 6.09251
