x y z
2.89903 0.0134683 5.93073
-0.323487 1.27613 3.94575
-0.323487 1.27613 3.94575
-2.67459 0.0760711 2.3834
-2.67459 0.0760711 2.3834
-0.70496 1.23077 1.61055
-0.247818 -1.70799 3.87264
-0.247818 -1.70799 3.87264
-2.12831 0.533929 2.86191
-0.402098 -0.0975108 3.39144
-3.39464 -1.59611 5.24773
-2.48867 -4.14983 5.50254
-5.73444 -3.25885 5.19507
-6.37142 -1.96536 7.29965
-5.16229 -1.74695 4.36331
-3.89562 -3.56774 2.47002
-3.89562 -3.56774 2.47002
-3.56947 -3.54316 4.2311
-3.56947 -3.54316 4.2311
-2.80601 -0.895372 5.24094
-2.80601 -0.895372 5.24094
0.550803 -0.213207 4.58646
1.02395 1.20335 7.6485
-0.580475 3.59129 4.85732
-2.10898 3.1564 3.74333
-2.10898 3.1564 3.74333
-1.82688 1.66025 7.17267
-1.36127 -1.76184 5.96352
-1.36127 -1.76184 5.96352
-4.87623 -3.92795 7.10264
-3.61184 -2.12492 4.7676
-3.61184 -2.12492 4.7676
-3.61184 -2.12492 4.7676
-2.94891 1.15592 3.15763
-2.94891 1.15592 3.15763
-3.43511 -0.189485 3.37149
0.169512 -0.247983 4.20877
0.169512 -0.247983 4.20877
-0.146081 2.4274 4.85285
-2.11628 1.27274 2.44925
-2.11628 1.27274 2.44925
-0.295648 1.34619 3.33681
-0.760211 0.13269 3.10211
-0.760211 0.13269 3.10211
-0.760211 0.13269 3.10211
-0.760211 0.13269 3.10211
-0.911662 0.708723 2.90564
-1.79909 1.00512 3.13814
-1.79909 1.00512 3.13814
-1.79909 1.00512 3.13814
-1.79909 1.00512 3.13814
-2.64688 0.606492 2.91353
-0.20879 1.08878 3.67257
-0.20879 1.08878 3.67257
-0.377449 0.417969 4.74562
1.60504 -0.661756 5.60265
0.572223 -1.21933 5.7219
-1.62608 0.000766559 6.00882
-1.62608 0.000766559 6.00882
-2.10073 -2.49865 8.28478
-2.10073 -2.49865 8.28478
-0.111084 -3.23381 7.62078
-0.23995 -7.55106 7.75816
-0.23995 -7.55106 7.75816
-1.02667 -5.73349 5.62301
-3.81501 -4.37364 5.13741
-2.81638 -3.70064 5.27441
-1.67002 -5.33196 5.17079
-1.67002 -5.33196 5.17079
-1.67002 -5.33196 5.17079
-1.67002 -5.33196 5.17079
-1.67002 -5.33196 5.17079
-1.67002 -5.33196 5.17079
-0.550338 -3.77613 3.96152
-0.550338 -3.77613 3.96152
-0.550338 -3.77613 3.96152
0.998103 -1.23501 5.73366
0.998103 -1.23501 5.73366
-2.83407 -3.52104 4.04181
-2.83407 -3.52104 4.04181
-4.3618 -4.35779 2.08573
-4.3618 -4.35779 2.08573
-3.98873 -1.44434 3.10789
-3.98873 -1.44434 3.10789
-3.98873 -1.44434 3.10789
-3.98873 -1.44434 3.10789
-2.08588 -1.40887 1.73186
-2.08588 -1.40887 1.73186
-1.30933 -3.4545 -4.31379
-1.30933 -3.4545 -4.31379
-1.30933 -3.4545 -4.31379
-0.848814 -1.41346 -4.03556
-0.848814 -1.41346 -4.03556
-0.848814 -1.41346 -4.03556
-0.848814 -1.41346 -4.03556
-0.230743 -0.794146 -4.82685
-0.230743 -0.794146 -4.82685
-0.399194 0.293145 -3.32096
-0.399194 0.293145 -3.32096
-0.399194 0.293145 -3.32096
-0.399194 0.293145 -3.32096
-0.546783 1.10361 -3.56117
-0.546783 1.10361 -3.56117
-0.546783 1.10361 -3.56117
-0.546783 1.10361 -3.56117
1.13681 0.650818 -2.40912
1.13681 0.650818 -2.40912
1.13681 0.650818 -2.40912
-0.106424 1.75587 -2.85857
-0.106424 1.75587 -2.85857
-0.106424 1.75587 -2.85857
0.190468 1.42908 -3.42991
2.12235 -0.661307 -2.91988
2.15986 -2.86369 -1.98474
2.15986 -2.86369 -1.98474
4.84693 -1.82323 1.49761
6.15588 -0.388729 3.20109
4.78345 2.10225 -0.633925
4.78345 2.10225 -0.633925
2.05845 4.3218 -1.6892
0.430476 3.84887 -2.08124
0.430476 3.84887 -2.08124
0.430476 3.84887 -2.08124
-2.28513 4.48568 -4.19476
-2.28513 4.48568 -4.19476
-3.18846 3.05927 -4.76193
-3.34453 1.86223 -2.45875
-3.34453 1.86223 -2.45875
-3.34453 1.86223 -2.45875
-3.34453 1.86223 -2.45875
-3.36909 1.78538 -6.06587
-3.4383 1.16687 -7.66957
-3.4383 1.16687 -7.66957
-3.4383 1.16687 -7.66957
-2.58321 0.0600675 -6.52209
-2.85639 1.2261 -5.56713
-1.73927 -0.232991 -5.15913
0.0332577 0.950174 -6.60142
0.0332577 0.950174 -6.60142
-0.298412 -0.388916 -4.87449
-0.298412 -0.388916 -4.87449
-1.871 1.26583 -2.23755
-3.42515 0.495737 -0.654982
-3.42515 0.495737 -0.654982
-3.42515 0.495737 -0.654982
-0.480808 2.77915 -1.3018
-0.480808 2.77915 -1.3018
-0.480808 2.77915 -1.3018
-2.77138 0.421897 -2.40226
-2.77138 0.421897 -2.40226
-2.77138 0.421897 -2.40226
-2.77138 0.421897 -2.40226
