x y z
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-1.10264 0.109328 3.91784
-1.10264 0.109328 3.91784
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
0.161391 1.58104 2.26048
0.161391 1.58104 2.26048
0.161391 1.58104 2.26048
-1.80058 -0.546136 4.7241
-1.78693 1.73673 3.4381
-1.78693 1.73673 3.4381
-1.78693 1.73673 3.4381
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.12403 0.636707 4.52007
-0.803011 2.79509 3.07706
1.26733 1.924 3.52155
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
-0.2099 0.744768 3.01007
-0.2099 0.744768 3.01007
-0.2099 0.744768 3.01007
-0.2099 0.744768 3.01007
-0.2099 0.744768 3.01007
0.282258 -1.22694 3.50966
0.282258 -1.22694 3.50966
1.93961 -2.34643 4.3931
0.32109 -2.36246 5.01046
-1.15567 -0.661362 3.22277
-1.15567 -0.661362 3.22277
-1.15567 -0.661362 3.22277
-1.15567 -0.661362 3.22277
-1.15567 -0.661362 3.22277
1.14981 -2.88802 1.66047
1.14981 -2.88802 1.66047
1.14981 -2.88802 1.66047
3.99621 -1.30634 4.5361
3.99621 -1.30634 4.5361
3.12081 0.575738 2.55413
3.12081 0.575738 2.55413
1.36454 -1.68011 4.54646
1.36454 -1.68011 4.54646
2.02844 -2.30334 3.88508
4.45276 -0.912746 3.00474
4.45276 -0.912746 3.00474
2.42133 -2.87691 5.73153
0.846836 -0.871334 5.00104
2.15015 -3.24521 3.1991
2.15015 -3.24521 3.1991
2.15015 -3.24521 3.1991
2.15015 -3.24521 3.1991
-0.767473 -3.75839 3.56347
-3.20148 -2.05783 1.95018
-3.20148 -2.05783 1.95018
-0.901794 0.480523 3.10941
0.540382 -0.18605 1.63547
0.540382 -0.18605 1.63547
0.540382 -0.18605 1.63547
0.540382 -0.18605 1.63547
0.846222 0.117796 4.18377
3.44318 -0.273218 1.89433
3.44318 -0.273218 1.89433
3.57472 0.365827 3.1623
3.57472 0.365827 3.1623
0.846305 0.68968 5.4214
0.846305 0.68968 5.4214
2.2597 3.41429 5.39986
2.2597 3.41429 5.39986
2.2597 3.41429 5.39986
2.2597 3.41429 5.39986
2.2597 3.41429 5.39986
4.6025 4.22761 7.109
2.94949 3.59949 5.10564
2.94949 3.59949 5.10564
1.03435 4.69747 3.03235
1.8014 1.96967 4.46657
2.93609 -0.445019 3.91474
2.78329 0.311168 3.44188
2.78329 0.311168 3.44188
0.101395 2.46662 3.93937
-2.72508 0.977505 5.97267
-0.226721 0.200509 4.85316
-0.226721 0.200509 4.85316
-2.06655 1.14716 7.14772
-1.87133 -0.839741 8.36512
-0.820953 -0.00428971 7.81398
1.17119 0.635638 8.2886
1.17119 0.635638 8.2886
3.79765 2.86871 5.81564
0.916687 1.06624 7.92068
0.916687 1.06624 7.92068
3.08535 0.694853 6.49549
3.08535 0.694853 6.49549
1.3917 0.401626 4.49683
-1.34784 -2.13343 1.89448
-1.34784 -2.13343 1.89448
1.2611 0.789701 1.3433
-0.838306 1.28134 3.85136
-0.464573 2.63822 3.72101
-2.4396 0.508053 4.93017
-2.4396 0.508053 4.93017
0.0187341 1.4724 5.02554
0.0187341 1.4724 5.02554
-0.799157 4.03896 5.10649
1.82648 3.25358 4.75868
4.23169 1.70939 3.53507
4.23169 1.70939 3.53507
1.85066 1.24775 3.59228
1.85066 1.24775 3.59228
1.85066 1.24775 3.59228
1.15237 0.963723 4.4909
