#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.16435     2.16435           0
           2     2.18826      2.1763  0.00845377
           3     2.19641       2.183   0.0078555
           4     2.20157     2.18764  0.00713207
           5     2.19237     2.18859  0.00576799
           6     2.18636     2.18822   0.0048186
           7     2.18664     2.18799  0.00413547
           8     2.18944     2.18817  0.00362251
           9     2.20774     2.19035  0.00381712
          10     2.19902     2.19122  0.00353247
