#VELOCITY:     AVE_POFV:     PROGR_AVE_POVF:        ERROR:
     3.86552   0.0226435   0.0224241   0.0780689
     4.05408   0.0186778   0.0199054    0.153996
     4.24264   0.0153528   0.0152006   0.0909479
      4.4312   0.0122491   0.0108654    0.131275
     4.61976  0.00751296  0.00692019   0.0577551
     4.80833   0.0053213  0.00500204    0.059192
     4.99689   0.0027037  0.00338741   0.0850228
     5.18545  0.00351852  0.00196333   0.0514788
     5.37401  0.00133889  0.00146889   0.0652695
     5.56257 0.000351852 0.000908704   0.0185153
   0.0942809   0.0010122  0.00101306  0.00024093
    0.282843  0.00302685  0.00316373   0.0727647
    0.471405  0.00984444  0.00862531   0.0664412
    0.659966   0.0128065   0.0193307     0.22213
    0.848528   0.0249574   0.0262639     0.24042
     1.03709   0.0313722   0.0407853    0.246233
     1.22565   0.0437491   0.0499841    0.257969
     1.41421   0.0540231   0.0555529    0.235371
     1.60278   0.0678278   0.0627767    0.269228
     1.79134    0.076213   0.0697998     0.29749
      1.9799   0.0781935   0.0768603    0.145782
     2.16846   0.0848481   0.0749602    0.346769
     2.35702   0.0800926   0.0695159    0.280634
     2.54558   0.0739556   0.0745764    0.272509
     2.73415   0.0633352   0.0650872    0.114701
     2.92271   0.0511167   0.0532687    0.182835
     3.11127   0.0494519   0.0523965    0.113223
     3.29983   0.0421102   0.0428569    0.150244
     3.48839   0.0382972   0.0362285    0.289012
     3.67696    0.025275   0.0283495    0.131598
     3.86552   0.0165157   0.0214394    0.116866
     4.05408   0.0210546   0.0200969    0.129712
     4.24264   0.0180056   0.0156681   0.0887044
      4.4312   0.0142593    0.011431     0.12279
     4.61976  0.00486852  0.00657824   0.0587618
     4.80833  0.00332778  0.00472299   0.0564798
     4.99689  0.00276111  0.00328302   0.0715958
     5.18545  0.00336019  0.00219614   0.0486533
     5.37401  0.00151019  0.00147577   0.0543955
     5.56257  0.00108056 0.000937346   0.0156857
   0.0942809  0.00101234  0.00101296 0.000206774
    0.282843  0.00199722  0.00299709   0.0645572
    0.471405  0.00802963  0.00854021   0.0575817
    0.659966   0.0177833   0.0191097    0.191676
    0.848528   0.0300454   0.0268041    0.213036
     1.03709   0.0508454   0.0422225    0.255332
     1.22565   0.0532454     0.05045     0.22597
     1.41421   0.0538176    0.055305    0.203263
     1.60278   0.0662565   0.0632738    0.236059
     1.79134   0.0728528    0.070236    0.258694
      1.9799   0.0783824   0.0770778    0.126833
     2.16846    0.070312   0.0742962    0.304555
     2.35702    0.063087   0.0685975    0.257476
     2.54558   0.0536685   0.0715896    0.379145
     2.73415   0.0608343   0.0644796     0.11557
     2.92271   0.0625028   0.0545878    0.204835
     3.11127   0.0490194    0.051914    0.108376
     3.29983   0.0492426   0.0437692    0.157811
     3.48839   0.0424667   0.0371197    0.263263
     3.67696   0.0320676   0.0288807    0.124676
     3.86552   0.0233806   0.0217167    0.103938
     4.05408   0.0129676   0.0190784    0.150771
     4.24264   0.0101583    0.014881     0.10943
      4.4312   0.0111778   0.0113948    0.105311
     4.61976  0.00951111  0.00699722   0.0655127
     4.80833  0.00769722  0.00514788   0.0644093
     4.99689   0.0020713  0.00310992    0.063762
     5.18545  0.00132222   0.0020713   0.0435311
     5.37401  0.00187963  0.00153347   0.0469802
