#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         159   -0.407202   -0.687917   0.0843128
         160   -0.185057   -0.684774   0.0838444
         161   -0.685015   -0.684776   0.0833236
         162   -0.302837   -0.682418   0.0828426
         163   0.0545281   -0.677897   0.0824577
         164   -0.147743   -0.674664   0.0820182
         165  -0.0681997   -0.670989   0.0816034
         166   -0.103781   -0.667572   0.0811834
         167  -0.0782685   -0.664043   0.0807739
         168   -0.126349   -0.660843   0.0803565
         169  -0.0594971   -0.657284   0.0799597
         170    0.347874   -0.651372   0.0797077
         171    0.276612   -0.645945   0.0794261
         172    0.334535   -0.640244   0.0791686
         173    0.264333   -0.635016   0.0788835
         174    0.366563   -0.629259   0.0786399
         175    0.643301   -0.621988    0.078526
         176     0.20696   -0.617278   0.0782209
         177    0.272258   -0.612252   0.0779403
         178   0.0242183   -0.608676   0.0775844
         179    0.132419   -0.604536   0.0772613
         180    0.231379   -0.599892   0.0769716
         181     0.49272   -0.593856   0.0767826
         182    0.358101   -0.588625   0.0765387
         183    0.614046   -0.582053   0.0764021
         184    0.590639    -0.57568   0.0762522
         185    0.305577   -0.570916   0.0759887
         186     0.56094   -0.564831   0.0758234
         187    0.577709   -0.558721   0.0756637
         188     0.29209   -0.554196   0.0753965
         189     0.31421   -0.549601   0.0751374
         190    0.205961   -0.545624   0.0748471
         191   0.0724202   -0.542388   0.0745252
         192    0.750711   -0.535654   0.0744407
         193    0.351855   -0.531055   0.0741969
         194    0.563664   -0.525412   0.0740287
         195    0.383588   -0.520751   0.0737957
         196    0.658031   -0.514736   0.0736638
         197    0.736585   -0.508385   0.0735633
         198    0.587357    -0.50285   0.0733996
         199    0.437306   -0.498126   0.0731826
         200    0.520957   -0.493031   0.0729939
         201  -0.0353026   -0.490753   0.0726663
         202  -0.0994723   -0.488816   0.0723323
         203  -0.0507891   -0.486659   0.0720082
         204    0.388357   -0.482369   0.0717829
         205    0.136766   -0.479349   0.0714962
         206    0.606087    -0.47408    0.071343
         207     0.87349    -0.46757   0.0712948
         208    0.724291    -0.46184   0.0711819
         209    0.653175   -0.456505    0.071041
         210    0.925168   -0.449926   0.0710067
         211    0.531038   -0.445276   0.0708222
         212    0.309778   -0.441715   0.0705776
         213   0.0813344   -0.439259    0.070289
         214   -0.133181   -0.437829   0.0699751
         215  -0.0637281   -0.436089   0.0696713
         216   -0.678197    -0.43721   0.0693577
         217   -0.517351   -0.437579   0.0690391
         218   -0.442964   -0.437604   0.0687224
         219   -0.916619   -0.439791   0.0684434
         220   -0.739106   -0.441152   0.0681458
         221   -0.241252   -0.440247   0.0678435
         222    -0.21992   -0.439255   0.0675451
         223   -0.350444   -0.438856   0.0672434
         224   -0.420122   -0.438773   0.0669433
         225   -0.450255   -0.438824   0.0666457
         226  -0.0999733   -0.437324   0.0663677
         227  -0.0703451   -0.435708    0.066095
         228    0.505475    -0.43158   0.0659339
         229     1.06124   -0.425061   0.0659675
         230    0.964384    -0.41902   0.0659567
         231     1.09832   -0.412451   0.0659974
         232    0.319571   -0.409296   0.0657883
         233    0.269794   -0.406381   0.0655705
         234    0.269819   -0.403492    0.065354
         235   -0.016647   -0.401846   0.0650966
         236    0.434147   -0.398303   0.0649171
         237    0.487496   -0.394566   0.0647506
         238    0.671942   -0.390085   0.0646335
         239    0.859866   -0.384855   0.0645743
         240    0.997807   -0.379094   0.0645617
         241    0.911655   -0.373738   0.0645156
         242    0.807993   -0.368855   0.0644335
         243    0.479487   -0.365363   0.0642629
         244    0.417641   -0.362154   0.0640796
         245    0.357661   -0.359216   0.0638853
         246    0.237753    -0.35679   0.0636717
         247    0.357578   -0.353897   0.0634796
         248    0.384645   -0.350919   0.0632934
         249     1.00397   -0.345478   0.0632727
         250     0.73014   -0.341176   0.0631657
         251     1.01961   -0.335754   0.0631463
         252     1.05603   -0.330231   0.0631368
         253    0.724818   -0.326061   0.0630248
         254    0.491472   -0.322843   0.0628588
         255    0.563965   -0.319365   0.0627084
         256    0.501347   -0.316159   0.0625454
         257    0.694116   -0.312228   0.0624254
         258     0.93407   -0.307397   0.0623701
         259     1.01998   -0.302272   0.0623395
         260     1.00011   -0.297263   0.0623006
         261     1.08491   -0.291967   0.0622866
         262     1.17814   -0.286356   0.0623011
         263    0.584808   -0.283044   0.0621522
         264    0.841907   -0.278783   0.0620627
         265    0.658953   -0.275244   0.0619293
         266       1.263   -0.269461   0.0619659
         267    0.978637   -0.264787   0.0619098
         268    0.803341   -0.260801    0.061807
         269     0.97933   -0.256191   0.0617489
         270    0.937216   -0.251771   0.0616782
         271     1.03853    -0.24701   0.0616341
         272     1.01881   -0.242356    0.061583
         273    0.855491   -0.238335   0.0614885
         274    0.994354   -0.233836   0.0614285
         275    0.878448   -0.229791   0.0613381
         276    0.515865   -0.227089   0.0611754
         277      1.2473   -0.221767   0.0611856
         278     1.55097    -0.21539   0.0612969
         279     1.39561   -0.209616   0.0613486
         280      1.2946   -0.204243   0.0613643
         281    0.829105   -0.200566    0.061256
         282     0.77305   -0.197114    0.061136
         283    0.808205   -0.193561   0.0610231
         284     0.89501   -0.189728   0.0609285
         285     1.34181   -0.184354   0.0609512
         286     1.02902   -0.180112   0.0608856
         287     1.12766   -0.175555   0.0608437
         288    0.785228   -0.172219   0.0607238
         289     0.59621    -0.16956   0.0605719
         290    0.714621   -0.166511   0.0604397
         291     1.31756   -0.161411   0.0604468
         292     1.47175   -0.155818    0.060498
         293     1.57051   -0.149926   0.0605777
         294     1.43836   -0.144524   0.0606121
         295     1.00353   -0.140632   0.0605314
         296    0.714167   -0.137744   0.0603958
         297    0.411951   -0.135894   0.0602208
         298    0.604142    -0.13341   0.0600699
         299    0.922323   -0.129879   0.0599727
         300     1.03188   -0.126007   0.0598976
         301     1.10128    -0.12193   0.0598373
         302    0.503186    -0.11986   0.0596749
         303    0.501268    -0.11781   0.0595132
         304    0.865756   -0.114574   0.0594053
         305    0.535045   -0.112444   0.0592487
         306    0.501907   -0.110437   0.0590891
         307    0.758905   -0.107605   0.0589644
         308    0.683189   -0.105037   0.0588288
         309    0.774899    -0.10219   0.0587073
         310    0.596381  -0.0999363   0.0585612
         311    0.911285  -0.0966848   0.0584631
         312    0.761697  -0.0939335   0.0583404
         313    0.283046  -0.0927291   0.0581664
         314    0.211715  -0.0917596   0.0579893
         315    0.648152  -0.0894106   0.0578527
         316    0.639613  -0.0871036   0.0577156
         317    0.684245  -0.0846703   0.0575849
         318    0.939179  -0.0814507   0.0574937
         319    0.639857  -0.0791895   0.0573579
         320     0.53636  -0.0772659   0.0572109
         321    0.762719  -0.0746491   0.0570925
         322    0.859706  -0.0717474   0.0569889
         323     1.11494  -0.0680735   0.0569308
         324    0.545311  -0.0661803   0.0567865
         325     0.87697  -0.0632783   0.0566859
         326    0.348905  -0.0620139   0.0565261
         327    0.755349  -0.0595143   0.0564085
         328     0.50081   -0.057806   0.0562624
         329    0.902817  -0.0548862   0.0561671
         330    0.992516  -0.0517123   0.0560865
         331    0.796279  -0.0491504   0.0559755
         332    0.815555  -0.0465458   0.0558675
         333    0.261894  -0.0456196   0.0557074
         334     0.42838  -0.0442004   0.0555587
         335    0.192065  -0.0434951   0.0553973
         336    0.617473   -0.041528   0.0552673
         337    0.612466  -0.0395873   0.0551374
         338    0.398698  -0.0382906   0.0549895
         339    0.424527  -0.0369254   0.0548443
         340    0.705429   -0.034742   0.0547264
         341     0.50173  -0.0331688   0.0545885
